Town/City,Clerk,Address,Phone (area code 603),Fax,E-Mail,Town Website Address,Polling Place,Polling Hours,ElectionName,,
FITZWILLIAM,HEIDI L WOOD,PO BOX 725 FITZWILLIAM 03447,585-7214,585-7744,fitzclerk@fitzwilliam-nh.gov,www.fitzwilliam-nh.gov,Fitzwilliam Town Hall 13 Templeton Tpke Fitzwilliam 03447,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
FRANCESTOWN,PAMELA A FINNELL,PO BOX 67 FRANCESTOWN 03043,547-6251,547-2622,townclerk@francestownnh.org,www.francestown-nh.gov,Town Office Building,Lower Level 27 Main St Francestown 03043,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION
FRANCONIA,CAROL  WILLS,PO BOX 900 FRANCONIA 03580,823-5237,823-5581,townclerk@franconianh.org,www.franconianh.org,Franconia Town Hall 421 Main St Franconia 03580,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
FRANKLIN WARD 01,KATIE A GARGANO,316 CENTRAL STREET FRANKLIN 03235,934-3109,934-7413,kgargano@franklinnh.org,www.franklinnh.org,WARD 01 - Thompson Hall 47 South Main St Franklin 03235,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
FRANKLIN WARD 02,KATIE A GARGANO,316 CENTRAL STREET FRANKLIN 03235,934-3109,934-7413,kgargano@franklinnh.org,www.franklinnh.org,WARD 02 - City Hall 316 Central St Franklin 03235,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
FRANKLIN WARD 03,KATIE A GARGANO,316 CENTRAL STREET FRANKLIN 03235,934-3109,934-7413,kgargano@franklinnh.org,www.franklinnh.org,WARD 03 - Franklin Middle School 200 Sanborn St Franklin 03235,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
FREEDOM,A ELIZABETH  PRIEBE,PO BOX 457 FREEDOM 03836,539-8269,539-8270,freedomtownclerk@yahoo.com,www.townoffreedom.net,Freedom Town Hall 16 Elm St Freedom 03836,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
FREMONT,NICOLE E CLOUTIER,PO BOX 120 FREMONT 03044,895-8693,895-3149,fremontclerk@comcast.net,www.fremont.nh.gov,Ellis School 432 Main St Fremont 03044,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GILFORD,DENISE M GONYER,47 CHERRY VALLEY RD GILFORD 03249,527-4713,527-4719,dgonyer@gilfordnh.org,http://www.gilfordnh.org,Gilford Community Church 19 Potter Hill Rd Gilford 03249,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GILMANTON,DEBRA A CORNETT,PO BOX 550 GILMANTON 03237,267-6726,267-6701,tctx@gilmantonnh.org,www.gilmantonnh.org,Gilmanton Academy Building 503 Province Rd Gilmanton 03237,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GILSUM,ROBIN L CANTARA,PO BOX 36 GILSUM 03448,357-0320,352-0845,robin03448@gmail.com,none available,Gilsum Community Center 640 Route 10 Gilsum 03448,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GOFFSTOWN WARD 01,CATHY  BALL,16 MAIN STREET GOFFSTOWN 03045,497-8990,497-5710,cball@goffstownnh.gov,www.goffstown.com,WARD 01 - Goffstown High School 27 Wallace Rd Goffstown 03045,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GOFFSTOWN WARD 05,CATHY  BALL,16 MAIN STREET GOFFSTOWN 03045,497-8990,497-5710,cball@goffstownnh.gov,www.goffstown.com,WARD 05 - Bartlett Elementary School 689 Mast Rd Goffstown 03102,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GORHAM,CAROL T PORTER,20 PARK STREET GORHAM 03581,466-2744,466-2744,cporter@gorhamnh.org,www.gorhamnh.org,Gorham Town Hall 20 Park St Gorham 03581,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GOSHEN,CINDY L WILLIAMS,PO BOX 58 GOSHEN 03752,863-5655,863-6139,townofgoshen@goshennh.org,www.goshennh.org,Goshen Town Hall 54 Mill Village Rd N Goshen 03752,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GRAFTON,BONNIE J HAUBRICH,PO BOX 277 GRAFTON 03240,523-7270,523-4986,graftontc2008@hotmail.com,www.townofgraftonnh.com,Millbrook Christian Church 175 Main St Grafton 03240,,9/13/2016,2016 STATE PRIMARY ELECTION,
GRANTHAM,KENNETH  STORY,PO BOX 135 GRANTHAM 03753,863-5608,863-4499,kstory@granthamnh.net,www.granthamnh.net,Grantham Town Hall 300 Route 10 S Grantham 03753,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GREENFIELD,EDITH  SLEEPER,PO BOX 256 GREENFIELD 03047,547-2782,547-3004,greenfieldnhtc@gmail.com,http://www.greenfield-nh.gov,Greenfield Meeting House 776 Forest Rd Greenfield 03047,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GREENLAND,MARGUERITE FRANCES MORGAN,PO BOX 100 GREENLAND 03840,431-7111,430-3761,mmorgan@greenland-nh.com,www.greenland-nh.com,Greenland Central School 70 Post Rd Greenland 03840,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GREEN'S GRANT,CAROL T PORTER,20 PARK STREET GORHAM 03581,466-2744,466-3100,cporter@gorhamnh.org,gorhamnh.org,Gorham Town Hall 20 Park St Green's Grant 03581,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GREENVILLE,KATHLEEN  VALLIERE,PO BOX 354 GREENVILLE 03048,878-4155,878-4951,clerk-collector@comcast.net,www.greenvillenh.org,Greenville Elementary School 16 Adams St Greenville 03048,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
GROTON,RUTH  MILLETT,754 NORTH GROTON ROAD GROTON 03241,744-8849,744-8803,townclerk@grotonnh.org,grotonnh.org,Groton Town House 754 N Groton Rd Groton 03241,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HAMPSTEAD,PATRICIA  CURRAN,PO BOX 298 HAMPSTEAD 03841,329-4100,329-7174,townclerk@hampsteadnh.us,www.hampsteadnh.us,Hampstead Middle School 28 School St Hampstead 03841,8:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HAMPTON,JANE M CYPHER,100 WINNACUNNET ROAD HAMPTON 03842,926-0406,929-5917,jcypher@town.hampton.nh.us,www.hamptonnh.gov,Marston School 4 Marston Way Hampton,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HAMPTON FALLS,HOLLY E KNOWLES,1 DRINKWATER ROAD HAMPTON FALLS 03844,926-4618,926-1848,townclerk@hamptonfalls.org,www.hamptonfalls.org,Hampton Falls Town Office 1 Drinkwater Rd Hampton Falls 03844,8:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HANCOCK,JOAN CAROL JOSEPH,PO BOX 6 HANCOCK 03449,525-4441,525-4427,clerk@hancocknh.org,www.hancocknh.org,Hancock Town Office 50 Main St Hancock 03449,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HANOVER,ELIZABETH A MCCLAIN,PO BOX 483 HANOVER 03755,640-3203,643-1720,betsy.mcclain@hanovernh.org,www.hanovernh.org,Hanover High School Gym 41 Lebanon St Hanover 03755,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HARRISVILLE,DONNA G STONE,47 PROSPECT ST  PO BOX 284 HARRISVILLE 03450,827-5546,827-2917,townclerkdonna@myfairpoint.net,www.harrisvillenh.org,Town Office Building 705 Chesham Rd Harrisville 03450,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HART'S LOCATION,EDWARD  BUTLER - DEPUTY,PO BOX 540 HARTS LOCATION 03812,374-2436,,board@hartslocation.com,,Town Hall 979 Route 302 Hart's Location 03812,12:00 AM - 12:15 AM,9/13/2016,2016 STATE PRIMARY ELECTION,
HAVERHILL,CHRISTINA C HEBERT,2975 DARTMOUTH COLLEGE HWY N HAVERHILL 03774,787-6200,787-2226,townclerk@haverhill-nh.com,www.haverhill-nh.com,Town Municipal Building 2975 Dartmouth College Hwy Haverhill 03774,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HEBRON,TRACEY  STEENBERGEN,PO BOX 55 HEBRON 03241,744-7999,744-9994,clerk@hebronnh.org,http://hebronnh.org,Community Hall - Basement Of Union Congregational Church 16 Church Ln Hebron 03241,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HENNIKER,KIMBERLY I JOHNSON,18 DEPOT HILL ROAD HENNIKER 03242,428-3240,428-4366,hennikertc@tds.net,www.henniker.org,Henniker Community School 51 Western Ave Henniker 03242,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HILL,DESIREE L MAHURIN,30 CRESCENT STREET HILL 03243,934-3951,934-2011,hilltwnclk@comcast.net,www.townofhillnh.org,Hill Public Library 30 Crescent St Hill 03243,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HILLSBOROUGH,DEBORAH J MCDONALD,PO BOX 1699 HILLSBOROUGH 03244,464-3877,464-4270,debbie@hillsboroughnh.net,www.town.hillsborough.nh.us,Hillsboro-Deering Middle School Auditorium 6 Hillcat Dr Hillsborough 03244,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HINSDALE,JUDITH JODY  MOREAU,PO BOX 31 HINSDALE 03451,336-5719,336-5711,tchinsdale.nh@myfairpoint.net,,Hinsdale Community Center 19 Main St Hinsdale 03451,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOLDERNESS,ELLEN  KING,PO BOX 203 HOLDERNESS 03245,968-7536,968-9954,townclerk-taxcollector@holderness-nh.gov,www.holderness-nh.gov,Holderness Town Hall 1089 Us Rt 3 Holderness 03245,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOLLIS,LISA I CLAIRE,7 MONUMENT SQUARE HOLLIS 03049,465-2064,465-2964,townclerk@hollisnh.org,http://www.hollis.nh.us,Hollis/Brookline Co-Operative High School 24 Cavalier Ct Hollis 03049,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOOKSETT WARD 01,TODD  RAINIER,35 MAIN STREET HOOKSETT 03106,485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,WARD 01 - Cawley Middle School 89 Ward 01 Whitehall Rd Hooksett 03106,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOOKSETT WARD 02,TODD  RAINIER,35 MAIN STREET HOOKSETT 03106,485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,WARD 02 - Cawley Middle School 89 Ward 02 Whitehall Rd Hooksett 03106,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOOKSETT WARD 03,TODD  RAINIER,35 MAIN STREET HOOKSETT 03106,485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,WARD 03 - Cawley Middle School 89 Ward 03 Whitehall Rd Hooksett 03106,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOOKSETT WARD 04,TODD  RAINIER,35 MAIN STREET HOOKSETT 03106,485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,WARD 04 - Cawley Middle School 89 Ward 04 Whitehall Rd Hooksett 03106,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOOKSETT WARD 05,TODD  RAINIER,35 MAIN STREET HOOKSETT 03106,485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,WARD 05 - Cawley Middle School 89 Ward 05 Whitehall Rd Hooksett 03106,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOOKSETT WARD 06,TODD  RAINIER,35 MAIN STREET HOOKSETT 03106,485-9534,485-4423,trainier@hooksett.org,www.hooksett.org,WARD 06 - Cawley Middle School 89 Ward 06 Whitehall Rd Hooksett 03106,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HOPKINTON,CHARLES F GANGEL,PO BOX 446 CONTOOCOOK 03229,746-3180,746-4011,clerkcollector@hopkinton-nh.gov,www.hopkinton-nh.gov,Hopkinton High School 297 Park Ave Hopkinton 03229,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
HUDSON,PATRICIA  BARRY,12 SCHOOL STREET HUDSON 03051,886-6003,812-1292,pbarry@hudsonnh.gov,www.hudsonnh.gov,Hudson Community Center 12 Lions Ave Hudson 03051,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
JACKSON,KAREN  BURTON,PO BOX 336 JACKSON 03846,383-6248,,jxntctc@jackson-nh.org,www.jacksonvillage.net,Whitney Community Center 16 Black Mountain Rd Jackson 03846,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
JAFFREY,KELLY  ROLLINS,10 GOODNOW ST JAFFREY 03452,532-7861,532-7862,krollins@townofjaffrey.com,www.townofjaffrey.com,Jaffrey Vfw 12 Hathorn Rd Jaffrey 03452,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
JEFFERSON,OPAL L BRONSON,84 STAG HOLLOW RD,586-4553,586-4553,jeffersontownclerk@live.com,www.jeffersonnh.org,Jefferson Town Hall 698 Presidential Hwy Jefferson 03583,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
KEENE WARD 01,PATRICIA  LITTLE,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,plittle@ci.keene.nh.us,www.ci.keene.nh.us,WARD 01 - Michael E.J. Blastos Community Room 400 Marlboro St Keene 03431,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
KEENE WARD 02,PATRICIA  LITTLE,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,plittle@ci.keene.nh.us,www.ci.keene.nh.us,WARD 02 - Keene Parks And Recreation Center 312 Washington St Keene 03431,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
KEENE WARD 03,PATRICIA  LITTLE,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,plittle@ci.keene.nh.us,www.ci.keene.nh.us,WARD 03 - Keene Middle School 167 Maple Ave Keene 03431,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
KEENE WARD 04,PATRICIA  LITTLE,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,plittle@ci.keene.nh.us,www.ci.keene.nh.us,WARD 04 - Symonds School 79 Park Ave Keene 03431,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
KEENE WARD 05,PATRICIA  LITTLE,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,plittle@ci.keene.nh.us,www.ci.keene.nh.us,WARD 05 - Crossway Church 28 Arch St Keene 03431,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
KENSINGTON,DAWN  FROST,95 AMESBURY RD KENSINGTON 03833,772-5423,772-6841,townclerk@kensingtontown.com,www.town.kensington.nh.us,Kensington Elementary School 122 Amesbury Rd Kensington 03833,8:00 AM - 7:30 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
KINGSTON,MELISSA JEAN BEAL,163 MAIN ST/PO BOX 657 KINGSTON 03848,642-3112,642-3204,tc-tc@kingstonnh.org,www.kingstonnh.org,Swasey Gym 178 Main St Kingston 03848,8:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LACONIA WARD 01,MARY A REYNOLDS,PO BOX 489 LACONIA 03247,527-1265,524-1766,voter@city.laconia.nh.us,www.city.laconia.nh.us,WARD 01 - Belknap County Nursing Home 30 County Dr Laconia 03246,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LACONIA WARD 02,MARY A REYNOLDS,PO BOX 489 LACONIA 03247,527-1265,524-1766,voter@city.laconia.nh.us,www.city.laconia.nh.us,WARD 02 - St Andre Besset Parish Hall 12 Gilford Ave Laconia 03246,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LACONIA WARD 03,MARY A REYNOLDS,PO BOX 489 LACONIA 03247,527-1265,524-1766,voter@city.laconia.nh.us,www.city.laconia.nh.us,WARD 03 - Laconia Middle School - Multi-Purpose Room 150 Mcgrath St Laconia 03246,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LACONIA WARD 04,MARY A REYNOLDS,PO BOX 489 LACONIA 03247,527-1265,524-1766,voter@city.laconia.nh.us,www.city.laconia.nh.us,WARD 04 - New Covenant Christian Church @ Memorial Park Clubhouse 31 Lindsay Ct Laconia 03246,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LACONIA WARD 05,MARY A REYNOLDS,PO BOX 489 LACONIA 03247,527-1265,524-1766,voter@city.laconia.nh.us,www.city.laconia.nh.us,WARD 05 - Woodland Heights Elementary School 225 Winter St Laconia 03246,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LACONIA WARD 06,MARY A REYNOLDS,PO BOX 489 LACONIA 03247,527-1265,524-1766,voter@city.laconia.nh.us,www.city.laconia.nh.us,WARD 06 - Leavitt Park Clubhouse 334 Elm St Laconia 03246,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LANCASTER,JEAN E OLESON,25 MAIN STREET LANCASTER 03584,788-2306,788-2114,townclerk@lancasternh.org,http://lancasternh.org,Lancaster Town Hall Auditorium 25 Main St Lancaster 03584,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LANDAFF,GAYLE M CLEMENT,12 CENTER HILL ROAD LANDAFF 03585,838-6220,838-5225,townclerk@landaffnh.org,www.landaffnh.org,Landaff Town Hall 12 Center Hill Rd Landaff 03585,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LANGDON,JESSICA A JARVIS,122 NH ROUTE 12A LANGDON 03602,835-2389,835-6055,langdontownclerk@gmail.com,http://langdonnh.org/,Langdon Municipal Building 122 Nh Route 12A Langdon 03602,11:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LEBANON WARD 01,SANDRA L ALLARD,51 NORTH PARK STREET LEBANON 03766,448-3054,442-6148,cityclerk@lebcity.com,www.lebnh.net,WARD 01 - Kilton Public Library 80 Main St Lebanon 03784,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LEBANON WARD 02,SANDRA L ALLARD,51 NORTH PARK STREET LEBANON 03766,448-3054,442-6148,cityclerk@lebcity.com,www.lebnh.net,WARD 02 - United Methodist Church Of Lebanon 18 School St Lebanon 03766,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LEBANON WARD 03,SANDRA L ALLARD,51 NORTH PARK STREET LEBANON 03766,448-3054,442-6148,cityclerk@lebcity.com,www.lebnh.net,WARD 03 - Lebanon City Hall 51 North Park St Lebanon 03766,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LEE,LINDA R REINHOLD,7 MAST ROAD LEE 03824,659-2964,659-7202,lreinhold@leenh.org,www.leenh.org,Lee Safety Complex 20 George Bennett Rd Lee 03861,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LEMPSTER,GAYLE S NEWTON,PO BOX 33 LEMPSTER 03605,863-3213,863-8105,lempstertownclerk@myfairpoint.net,www.lempsternh.org,Lempster Town Office 856 Us Route 10 Lempster 03605,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LINCOLN,JOHNNA T HART,PO BOX 39 LINCOLN 03251,745-8971,745-6743,townclerk@lincolnnh.org,www.lincolnnh.org,Lincoln  Town Hall 148 Main St Lincoln 03251,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LISBON,JENNIFER  TRELFA,46 SCHOOL STREET LISBON 03585,838-2862,838-6790,lisbonnhtc@ne.twcbc.com,www.lisbonnh.org,Lisbon Regional School 25 Highland Ave Lisbon 03585,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LITCHFIELD,THERESA L BRIAND,2 LIBERTY WAY LITCHFIELD 03052,424-4045,424-8154,tbriand@litchfieldnh.gov,www.litchfieldnh.gov,Campbell High School 1 Highlander Ct Litchfield 03052,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LITTLETON,JUDITH FAYE WHITE,125 MAIN ST,SUITE 202 LITTLETON 03561,444-3995,444-0735,jwhite@townoflittleton.org,www.townoflittleton.org,Littleton Highway Garage 240 W Main St Littleton 03561,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION
LONDONDERRY,SHARON ANN FARRELL,268 B MAMMOTH RD LONDONDERRY 03053,432-1100,421-9617,sfarrell@londonderrynh.org,www.londonderrynh.org,Londonderry High School Gym 295 Mammoth Rd Londonderry 03053,7:00 AM - 8:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LOUDON,WENDY L YOUNG,PO BOX 7837 LOUDON 03307,798-4542,798-3539,townclerk@loudonnh.org,www.loudonnh.org,Arthur Colby Safety Complex - Loudon Fire Dept 7 Cooper St Loudon 03307,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LYMAN,CAROL M MESSNER,65 PARKER HILL ROAD LYMAN 03585,838-6113,838-6818,lymantc@myfairpoint.net,www.lymannh.org,Lyman Town Hall 65 Parker Hill Rd Lyman 03585,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LYME,PATRICIA G JENKS,PO BOX 342 LYME 03768,795-2535,795-2117,patty@lymenh.gov,www.lymenh.gov,Lyme Community Gymnasium 35 Union St Lyme 03768,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
LYNDEBOROUGH,PATRICIA H SCHULTZ,9 CITIZENS HALL ROAD LYNDEBOROUGH 03082,654-5955,654-5777,tschultz@lyndeboroughnh.us,www.lyndeboroughnh.us,Citizens' Hall 9 Citizens Hall Rd Lyndeborough 03082,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MADBURY,KATHERINE K CORNWELL,13 TOWN HALL RD MADBURY 03823,742-5131,742-2505,tcmadbury@comcast.net,http://www.townofmadbury.com,Madbury Town Hall 13 Town Hall Rd Madbury 03823,7:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MADISON,MICHAEL R BROOKS,PO BOX 248 MADISON 03849,367-9931,367-4765,clerk@madison-nh.org,www.madison-nh.org,Madison Elementary School Gym 2069 Village Rd Madison 03849,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 01,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 01 - Webster School 2519 Elm St Manchester 03104,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 02,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 02 - Hillside Middle School 112 Reservoir Ave Manchester 03104,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 03,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 03 - Carol M. Rines Center 1528 Elm St Manchester 03101,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 04,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 04 - Mcdonough School 550 Lowell St Manchester 03104,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 05,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 05 - Beech Street School 333 Beech St Manchester 03103,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 06,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 06 - St. Pius Ccd Center 167 Sarto St Manchester 03109,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 07,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 07 - St. Anthony Community Center 148 Belmont St Manchester 03103,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 08,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 08 - Memorial High School 1 Crusader Way Manchester 03103,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 09,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 09 - Bishop Leo E. O'neil Youth Center 30 S Elm St Manchester 03103,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 10,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 10 - Parker Varney School 223 James A Pollock Dr Manchester 03102,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 11,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 11 - Gossler School 145 Parkside St Manchester 03102,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MANCHESTER WARD 12,MATTHEW  NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,cityclerk@manchesternh.gov,www.manchesternh.gov,WARD 12 - Northwest Elementary School 300 Youville St Manchester 03102,6:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MARLBOROUGH,ELLEN J ORKINS,PO BOX 487 MARLBOROUGH 03455,876-4529,876-4703,townclerk@marlboroughnh.org,www.marlboroughnh.org,Marlborough Community House 160 Main St Marlborough 03455,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION,
MARLOW,MARY  AVERY,167 NH RT 123 MARLOW 03456,446-2245,446-8306,marlowclerk@marlownh.gov,www.marlownh.gov,John D. Perkins,Sr. Academy Of Marlow 919 Nh Rt 10 Marlow 03456,8:00 AM - 7:00 PM,9/13/2016,2016 STATE PRIMARY ELECTION
