countyName,name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_date,end_date,days_times_open,id,COMMENTS
Sandoval,"""Zia Pueblo Community Center""","""Zia Pueblo Community Center""","""135 Capitol Square Dr""",,,Zia Pueblo,NM,87053,,Early Voting,10/27/2016,10/28/2016,October 27 - October 28 Thu - Fri 10 AM - 7 PM,,
Santa Fe,"""Edgewood Fire Station""","""Edgewood Fire Station""","""25 East Frontage Road""",,,Edgewood,NM,87015,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
Santa Fe,"""Eldorado Senior Center""","""Eldorado Senior Center""","""16 Avenida Torreon""",,,Eldorado,NM,87508,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
Santa Fe,"""Pojoaque County Satellite Office""","""Pojoaque County Satellite Office""","""5 W. Gutierrez Ste. 9, Pojoaque Pueblo Plaza""",,,Pojoaque,NM,87506,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
Santa Fe,"""Santa Fe County Fair Building""","""Santa Fe County Fair Building""","""3229 Rodeo Rd""",,,Santa Fe,NM,87507,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
Santa Fe,"""Christian Life Church""","""Christian Life Church""","""121 Siringo Rd.""",,,Santa Fe,NM,87505,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Tue - Fri 12 PM - 8 PM, Sat 10 AM - 6 PM",,
Santa Fe,"""Santa Fe County Clerk's Office""","""Santa Fe County Clerk's Office""","""102 Grant Ave""",,,Santa Fe,NM,87504,,Absentee,10/11/2016,11/05/2016,October 22 - November 5 Mon - Fri 8 AM - 5 PM; November 1 Sat 10 AM - 6 PM,,
Sierra,"""Sierra County Clerk's Office""","""Sierra County Clerk's Office""","""100 N. Date St.""",,,T or C,NM,87901,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - November 5 Mon - Fri 8 AM - 5 PM, Sat 10 AM - 6 PM",,
Socorro,"""Magdalena Senior Center""","""Magdalena Senior Center""","""500 9th St.""",,,Magdalena,NM,87825,,Early Voting,10/22/2016,11/05/2016,"October 22 - November 5 Tue - Fri 10 AM - 6 PM, Sat 9 AM - 5 PM",,
Taos,"""Penasco Community Center""","""Penasco Community Center""","""14136 State Road 75""",,,Penasco,NM,87553,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Fri 10 AM - 6 PM,,
Taos,"""Questa Municipal Hall""","""Questa Municipal Hall""","""2500 Old St Rd 3""",,,Questa,NM,87566,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
Taos,"""Taos County Courthouse - Clerk's Office""","""Taos County Courthouse - Clerk's Office""","""105 Albright Street, Suite D""",,,Taos,NM,87571,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - October 21 Mon - Fri 8 AM - 5 PM; October 22 - November 5 Mon - Fri 8 AM - 5 PM, Sat 8 AM - 5 PM",,
Taos,"""Old Armory""","""Old Armory""","""489 Blueberry Hill Rd""",,,Taos,NM,87571,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
Torrance,"""Torrance County Clerk's Office""","""Torrance County Clerk's Office""","""205 9th St""",,,Estancia,NM,87016,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,"October 11 - November 5 Mon - Thu 7:30 AM - 5:30 PM, Sat 10 AM - 6 PM",,
Valencia,"""Valencia County Courthouse - Clerk's Office""","""Valencia County Courthouse - Clerk's Office""","""444 Luna Ave""",,,Los Lunas,NM,87031,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/2016,11/05/2016,October 11 - October 21 Tue - Fri 8 AM - 5 PM; October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
Valencia,"""Belen Community Center""","""Belen Community Center""","""305 Eagle Lane""",,,Belen,NM,87002,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
Valencia,"""Bosque Farms Public Library""","""Bosque Farms Public Library""","""1455 W. Bosque Loop""",,,Bosque Farms,NM,87068,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
Union,"""Union County Clerk's Office""","""Union County Clerk's Office""","""200 Court St""",,,Clayton,NM,88415,,Absentee,10/11/2016,11/05/2016,October 11 - November 5 Mon - Fri 8 AM - 5 PM (Closed during noon hour),,
Torrance,"""Moriarty Civic Center""","""Moriarty Civic Center""","""202 Broadway Ave.""",,,Moriarty,NM,87035,,Early Voting,10/22/2016,11/05/2016,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
Socorro,"""Socorro County Clerk's Office""","""Socorro County Clerk's Office""","""200 Church Street""",,,Socorro,NM,87801,,Absentee,10/11/2016,11/05/2016,October 11 - November 4 Mon - Fri 8 AM - 5 PM; November 5 Sat 9 AM - 5 PM,,
