office-name,official-title,,homepage-url,phone,email,PRECINCT,location name,address1,directions,city,state,zip,start time,end time,start_date,end_date
Deuel County,Duel County Auditor,ocd-division/country:us/state:sd/county:deuel,,(605) 874-2312,pam.lynde@state.sd.us,8,GARY FIRE HALL,114 1ST AVE,,GARY,SD ,57237,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Deuel County,Duel County Auditor,ocd-division/country:us/state:sd/county:deuel,,(605) 874-2312,pam.lynde@state.sd.us,10,AMERICAN LEGION,341 MAIN ST,,ASTORIA,SD ,57213,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Deuel County,Duel County Auditor,ocd-division/country:us/state:sd/county:deuel,,(605) 874-2312,pam.lynde@state.sd.us,4,Cleak Lake Community Center,218 3RD AVE S,,CLEAR LAKE,SD ,57226,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Deuel County,Duel County Auditor,ocd-division/country:us/state:sd/county:deuel,,(605) 874-2312,pam.lynde@state.sd.us,5,Cleak Lake Community Center,218 3RD AVE S,,CLEAR LAKE,SD ,57226,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Deuel County,Duel County Auditor,ocd-division/country:us/state:sd/county:deuel,,(605) 874-2312,pam.lynde@state.sd.us,6,Cleak Lake Community Center,218 3RD AVE S,,CLEAR LAKE,SD ,57226,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Deuel County,Duel County Auditor,ocd-division/country:us/state:sd/county:deuel,,(605) 874-2312,pam.lynde@state.sd.us,9,Cleak Lake Community Center,218 3RD AVE S,,CLEAR LAKE,SD ,57226,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,8,White Horse Community Center,1 West Main Avenue,,White Horse,SD ,57661,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,6,Isabel Senior Center,412 N Main,,Isabel,SD ,57633,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,4,Timber Lake Community Center,700 Main Street,,Timber Lake,SD ,57656-0431,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,5,Dewey Co. Courthouse,710 C St,,Timber Lake,SD ,57656,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,7,CRST Senior Nutrition Site,East Knott's Landing Rd,,Eagle Butte,SD ,57625,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,11,UCC Church Hall,Virgin Creek Road,,Eagle Butte,SD ,57625,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,2,Trail City Community Hall,N Hwy 20,,Trail City,SD ,57657,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,15,Eagle Butte Volunteer Fire Hall,301 Willow St,,Eagle Butte,SD ,57625,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,12,Lakota Wesleyan Chapel,N Hwy 212,,Eagle Butte,SD ,57625,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,13,Lakota Wesleyan Chapel,N Hwy 212,,Eagle Butte,SD ,57625,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,9,St. Catherine Hall,Promise Rd ,,Promise,SD ,57601,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Dewey County,Dewey County Deputy Auditor,ocd-division/country:us/state:sd/county:dewey,,(605) 865-3672,kyrie.lemburg@state.sd.us,14,Landmkark Hall,Main Street,,Eagle Butte,SD ,57625,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Douglas County,Douglas County Auditor,ocd-division/country:us/state:sd/county:douglas,,(605) 724-2423,phyllis.barker@state.sd.us,1,Harrison Community Church,38146 272nd St. ,,Corsica,SD,57328,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Douglas County,Douglas County Auditor,ocd-division/country:us/state:sd/county:douglas,,(605) 724-2423,phyllis.barker@state.sd.us,2,Corsica Community Building,260 E. Main St,,Corsica,SD,57328,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Douglas County,Douglas County Auditor,ocd-division/country:us/state:sd/county:douglas,,(605) 724-2423,phyllis.barker@state.sd.us,3,Delmont Community Center,105 W MAIN St,,Delmont,SD,57330,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Douglas County,Douglas County Auditor,ocd-division/country:us/state:sd/county:douglas,,(605) 724-2423,phyllis.barker@state.sd.us,4,Armour Fire Hall,1103 Braddock Avenue,,Armour,SD,57313,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Douglas County,Douglas County Auditor,ocd-division/country:us/state:sd/county:douglas,,(605) 724-2423,phyllis.barker@state.sd.us,5,4-H Center,706 Braddock St,,Armour,SD,57313,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Edmunds County,Auditor,ocd-division/country:us/state:sd/county:edmunds,,(605) 426-6762,keith.schurr@state.sd.us,1,The M Station,800 Nesbitt Drive,,Mina,SD,57451,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Edmunds County,Auditor,ocd-division/country:us/state:sd/county:edmunds,,(605) 426-6762,keith.schurr@state.sd.us,2,Ipswich 4-H Building,515 7th St.,,Ipswich,SD,57451,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Edmunds County,Auditor,ocd-division/country:us/state:sd/county:edmunds,,(605) 426-6762,keith.schurr@state.sd.us,3,Ipswich 4-H Building,515 7th St.,,Ipswich,SD,57451,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Edmunds County,Auditor,ocd-division/country:us/state:sd/county:edmunds,,(605) 426-6762,keith.schurr@state.sd.us,4,Roscoe Fire Hall,208 N. Mitchell St.,,Roscoe,SD,57451,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Edmunds County,Auditor,ocd-division/country:us/state:sd/county:edmunds,,(605) 426-6762,keith.schurr@state.sd.us,5,Bowdle Multi-Purpose Center,8001 5th St.,,Bowdle,SD,57428,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Edmunds County,Auditor,ocd-division/country:us/state:sd/county:edmunds,,(605) 426-6762,keith.schurr@state.sd.us,6,Hosmer Fire Hall,315 South Chapman Ave.,,Hosmer,SD,57448,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,BEA,Oral School,27600 W Oral Rd,,Oral,SD,57766,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,CAS,Cascade Fire Department,27974 Cascade Road,,Hot Springs,SD,57747,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,EDA,St. James Parish,306 3rd Ave,,Edgemont,SD,57735,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,HS 1,Mueller Center,801 S 6th St,,Hot Springs,SD,57747,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,HS2,Mueller Center,801 S 6th St,,Hot Springs,SD,57747,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,HS3,Mueller Center,801 S 6th St,,Hot Springs,SD,57747,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,HS4,Mueller Center,801 S 6th St,,Hot Springs,SD,57747,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,JAC,Mueller Center,801 S 6th St,,Hot Springs,SD,57747,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Fall River County,Town Clerk,ocd-division/country:us/state:sd/county:fall_river,,(605) 745-5130,sue.ganje@state.sd.us,OEL,Oelrichs Community Center,108 E 6th St.,,Oelrichs,SD,57763,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Faulk County,Auditor's Office,ocd-division/country:us/state:sd/county:faulk,,(605) 598-6224,kelly.toennies@state.sd.us,3,Seneca Community Center,100 Pine St.,,Seneca,SD,57473,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Faulk County,Auditor's Office,ocd-division/country:us/state:sd/county:faulk,,(605) 598-6224,kelly.toennies@state.sd.us,6,Faulkton Community Ctr.,1130 Court St.,,Faulkton,SD,57438,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Faulk County,Auditor's Office,ocd-division/country:us/state:sd/county:faulk,,(605) 598-6224,kelly.toennies@state.sd.us,7,Faulkton Community Ctr.,1130 Court St.,,Faulkton,SD,57438,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Faulk County,Auditor's Office,ocd-division/country:us/state:sd/county:faulk,,(605) 598-6224,kelly.toennies@state.sd.us,2,Farmers Union,15314 Wecota Ave,974 Freedom,Wecota,SD,57438,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Faulk County,Auditor's Office,ocd-division/country:us/state:sd/county:faulk,,(605) 598-6224,kelly.toennies@state.sd.us,1,Cresbard Community Center,204 Main St.,,Cresbard,SD,57435,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Faulk County,Auditor's Office,ocd-division/country:us/state:sd/county:faulk,,(605) 598-6224,kelly.toennies@state.sd.us,5,Rockham Community Center,Main St.,,Rockham,SD,57470,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Faulk County,Auditor's Office,ocd-division/country:us/state:sd/county:faulk,,(605) 598-6224,kelly.toennies@state.sd.us,4,Orient Community Center,Main St.,,Orient,SD,57467,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,41,Revillo Community Center,310 N 2nd Ave.,,Revillo,SD,57259,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,42,Milbank Airport,14871 482nd Ave,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,43,Big Stone City Office,400 Washington St,,Big Stone City,SD,57216,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,44,New Township Hall ,15050 455th Ave.,,Summit,SD,57266,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,45,LaBolt Mini Mall,109 Main St,, LaBolt,SD,57246,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,46,Whetstone Valley Electric Meeting Room,1101 E 4th Ave,, Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,47,Otter Tail Building,404 S. 2nd St,, Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,49,Marvin Hall,204 S. Church St,, Marvin,SD,57251,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,52,Community Center,400 E. Johnson,, Stockholm,SD,57264,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,53,Strandburg Branch Library,118 N. Main St,, Strandburg,SD,57265,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,54,Twin Brooks Community Center,502 Lasell St,, Twin Brooks,SD,57269,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,11,City Office Community Room,1001 E. 4th Ave.,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,12,City Office Community Room,1001 E. 4th Ave.,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,21,City Office Community Room,1001 E. 4th Ave.,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,22,City Office Community Room,1001 E. 4th Ave.,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,31,City Office Community Room,1001 E. 4th Ave.,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,32,City Office Community Room,1001 E. 4th Ave.,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Grant County,Auditor's Office,ocd-division/country:us/state:sd/county:grant,,(605) 432-6711,karen.layher@state.sd.us,33,City Office Community Room,1001 E. 4th Ave.,,Milbank,SD,57252,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Gregory County,Gregory County Auditor,ocd-division/country:us/state:sd/county:gregory,,(605) 775-2664,jim.waterbury@state.sd.us,3,Bonesdale Community Room,400 Mellette Street,,Bonesdale,SD,57317,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Gregory County,Gregory County Auditor,ocd-division/country:us/state:sd/county:gregory,,(605) 775-2664,jim.waterbury@state.sd.us,2,Burke Civic Center,822 Main Street,,Burke,SD,57523,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Gregory County,Gregory County Auditor,ocd-division/country:us/state:sd/county:gregory,,(605) 775-2664,jim.waterbury@state.sd.us,1,Gregory Memorial Auditorium,222 Main Street,,Gregory,SD,57533,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Haakon County,Auditor's Office,ocd-division/country:us/state:sd/county:haakon,,(605) 859-2800,haakon2@gwtc.net,17,Bad River Senior Citizens Center,115 S Center Ave,,Philip,SD,57567,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Haakon County,Auditor's Office,ocd-division/country:us/state:sd/county:haakon,,(605) 859-2800,haakon2@gwtc.net,16,Haakon County Courthouse,140 S Howard St.,,Philip,SD,57567,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Haakon County,Auditor's Office,ocd-division/country:us/state:sd/county:haakon,,(605) 859-2800,haakon2@gwtc.net,19,Haakon County Courthouse,140 S Howard St.,,Philip,SD,57567,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Haakon County,Auditor's Office,ocd-division/country:us/state:sd/county:haakon,,(605) 859-2800,haakon2@gwtc.net,4,Milesville Community Hall,22101 203rd St.,,Milesville,SD,57553-3013,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Haakon County,Auditor's Office,ocd-division/country:us/state:sd/county:haakon,,(605) 859-2800,haakon2@gwtc.net,1,Deep Creek Church,24191 Deep Creek Rd,,Midland ,SD,57552,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Haakon County,Auditor's Office,ocd-division/country:us/state:sd/county:haakon,,(605) 859-2800,haakon2@gwtc.net,20,Midland Fire Hall,509 Main St.,,Midland ,SD,57552,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hamlin County,County Auditor,ocd-division/country:us/state:sd/county:hamlin,,(605) 783-3201,dixie.opdahl@state.sd.us,2,Bryant city Auditorium,115 E Main St,,Bryant,SD,57221,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hamlin County,County Auditor,ocd-division/country:us/state:sd/county:hamlin,,(605) 783-3201,dixie.opdahl@state.sd.us,21,Oxford township Hall,18097 450 Ave,,Thomas,SD,57221,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hamlin County,County Auditor,ocd-division/country:us/state:sd/county:hamlin,,(605) 783-3201,dixie.opdahl@state.sd.us,22,Hazel Fire Hall,19 W William Ave,,Hazel,SD,57242,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hamlin County,County Auditor,ocd-division/country:us/state:sd/county:hamlin,,(605) 783-3201,dixie.opdahl@state.sd.us,23,Castlewood Fire Hall,204 E Main St,,Castlewood,SD,57223,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hamlin County,County Auditor,ocd-division/country:us/state:sd/county:hamlin,,(605) 783-3201,dixie.opdahl@state.sd.us,24,Hayti Fire Hall ,214 Main Ave,,Hayti,SD,57241,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hamlin County,County Auditor,ocd-division/country:us/state:sd/county:hamlin,,(605) 783-3201,dixie.opdahl@state.sd.us,25,Estelline community Center,215 Main St N,,Estelline,SD,57234,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hamlin County,County Auditor,ocd-division/country:us/state:sd/county:hamlin,,(605) 783-3201,dixie.opdahl@state.sd.us,26,Lake Norden Community Center,520 Main Ave,,Lake Norden,SD,57248,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,1,Polo School,17989 Polo Dr,,Orient,SD ,57467-5508,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,10,Sunshine Bible Academy,400 Sunshine Dr,,Miller,SD ,57362,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,11,First United Methodist Church,610 E. 4th Ave,,Miller,SD ,57362,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,12,Courthouse,415 W. 1st Ave ,#11,Miller,SD ,57362,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,2,St. Mary's Church Hall,37295 US Hwy 212,,Zell,SD ,57469,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,3,Polo School,17989 Polo Dr,,Orient,SD ,57467-5508,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,4,St. Lawrence Fire Hall,106 N. Commercial Ave,,St Lawrence,SD ,57373,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,5,Ree Heights Auditorium,209 S. Dakota Ave,,Ree Heights,SD ,57371,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,6,St. Lawrence Fire Hall,106 N. Commercial Ave,,St Lawrence,SD ,57373,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,7,Doug Schiltz Garage,19951 369th Ave,,Wessington,SD ,57381,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,8,Ree Heights Auditorium,209 S. Dakota Ave,,Ree Heights,SD ,57371,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hand County,Hand County Auditor,ocd-division/country:us/state:sd/county:hand,,(605) 239-4714,auditor.handcoem@midconetwork.com,9,Sunshine Bible Academy,400 Sunshine Dr,,Miller,SD ,57362,07:00:00 - 07:00,19:00:00 - 07:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3313,lesa.trabing@state.sd.us,3,Ralph Lutheran Church,1126 Ralph Rd,,Ralph,SD ,57650,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3313,lesa.trabing@state.sd.us,7,Ludlow Community Club,13598 Ludlow Rd,,Ludlow,SD ,57755-5016,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3313,lesa.trabing@state.sd.us,2,Camp Crook Area Community Center,203 Main St,,Camp Crook,SD ,57724,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3313,lesa.trabing@state.sd.us,1,Harding County Rec Center,204 Hodge St.,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3314,lesa.trabing@state.sd.us,5,Harding County Rec Center,204 Hodge St.,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3315,lesa.trabing@state.sd.us,8,Harding County Rec Center,204 Hodge St.,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3316,lesa.trabing@state.sd.us,9,Reva Hall,14753 SD Hwy 20,,Reva,SD,57651,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Hanson County,Auditor's Office,ocd-division/country:us/state:sd/county:hanson,,(605) 375-3317,lesa.trabing@state.sd.us,4,Ladner Lutheran Church,11460 Ladner Rd,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Harding County,Harding County Auditor,ocd-division/country:us/state:sd/county:harding,,(605) 853-2182,kathy.glines@state.sd.us,1,Harding County Memorial Rec Center,204 Hodge St.,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Harding County,Harding County Auditor,ocd-division/country:us/state:sd/county:harding,,(605) 853-2182,kathy.glines@state.sd.us,2,Camp Crook Area Community Center,203 Main St,,Camp Crook,SD ,57724,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Harding County,Harding County Auditor,ocd-division/country:us/state:sd/county:harding,,(605) 853-2182,kathy.glines@state.sd.us,3,Ralph Lutheran Church,1126 Ralph Rd,,Ralph,SD ,57650,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Harding County,Harding County Auditor,ocd-division/country:us/state:sd/county:harding,,(605) 853-2182,kathy.glines@state.sd.us,4,Harding County Memorial Rec Center,204 Hodge St.,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Harding County,Harding County Auditor,ocd-division/country:us/state:sd/county:harding,,(605) 853-2182,kathy.glines@state.sd.us,6,Ladner Evangelical Lutheran Church,11460 Ladner Rd,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Harding County,Harding County Auditor,ocd-division/country:us/state:sd/county:harding,,(605) 853-2182,kathy.glines@state.sd.us,7,Ludlow Community Club,13598 Ludlow Rd,,Ludlow,SD ,57755-5016,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
Harding County,Harding County Auditor,ocd-division/country:us/state:sd/county:harding,,(605) 853-2182,kathy.glines@state.sd.us,5,Harding County Memorial Rec Center,204 Hodge St.,,Buffalo,SD ,57720,07:00:00 - 06:00,19:00:00 - 06:00,11-08-16,11-08-16
