county,officer,email,blank,phone,fax,address_one,address_two,city,state,zip,start_time,end_time,start_date,end_date,time_zone,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
CRAWFORD,Don Pyle,countyclerk@ckt.net,,6207246115,6207246007,111 E Forest Avenue,,Girard,KS,66743-0249,8:30:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,100,"111 E Forest Avenue, Girard, KS 66743-0249",,08:30 AM - 04:30 PM,,ho44314876,false,true,,,,poll44314876
DONIPHAN,Peggy Franken,dpcoclerk@rainbowtel.net,,7859853513,7859853723,120 E Chestnut St,,Troy,KS,66087,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,101,"120 E Chestnut St, Troy, KS 66087",,08:30 AM - 05:00 PM,,ho28018905,false,true,,,,poll28018905
GEARY,Rebecca Bossemeyer,rebecca.bossemeyer@gearycounty.org,,7852383912,7852385419,200 E. 8th Street,,Junction City,KS,66441,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,102,"200 E. 8th Street, Junction City, KS 66441",,08:30 AM - 05:00 PM,,ho39936985,false,true,,,,poll39936985
GRAHAM,Jana Irby,grahcocl@ruraltel.net,,7854213453,7854216374,410 N Pomeroy,,Hill City,KS,67642,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,107,"410 N Pomeroy, Hill City, KS 67642",,08:30 AM - 05:00 PM,,ho55790840,false,true,,,,poll55790840
HAMILTON,Angie Moser,hmcoclerk@gmail.com,,6203845629,6203845853,219 N Main St,,Syracuse,KS,67878,8:30:00 - 06:00,16:30:00 - 06:00,10/11/2016,10/14/2016,mountain,108,"219 N Main St, Syracuse, KS 67878",,08:30 AM - 04:30 PM,,ho73486943,false,true,,,,poll73486943
MARION,Tina Spencer,tspencer@marioncoks.net,,6203822185,6203828815,Marion County Courthouse,"200 South Third, Suite 104",Marion,KS,66861,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,111,"Marion County Courthouse 200 South Third, Suite 104, Marion, KS 66861",,08:30 AM - 05:00 PM,,ho14727303,false,true,,,,poll14727303
MARSHALL,Sonya L. Stohs,msctyclk@bluevalley.net,,7855625361,7855625262,1201 Broadway,,Marysville,KS,66508,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,112,"1201 Broadway, Marysville, KS 66508",,08:30 AM - 05:00 PM,,ho43927063,false,true,,,,poll43927063
MITCHELL,Chris Treaster,mitchell_co@nckcn.com,,7857383652,7857385524,111 S Hersey,,Beloit,KS,67420,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,113,"111 S Hersey, Beloit, KS 67420",,08:30 AM - 05:00 PM,,ho39808350,false,true,,,,poll39808350
OSBORNE,Vienna Janis,OB_county_clerk@wan.kdor.state.ks.us,,7853462431,7853465252,423 W Main St,,Osborne,KS,67473,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,115,"423 W Main St, Osborne, KS 67473",,08:30 AM - 05:00 PM,,ho3045406,false,true,,,,poll3045406
PAWNEE,Ruth M. Searight,PN_county_clerk@wan.kdor.state.ks.us,,6202853721,6202852559,715 Broadway,,Larned,KS,67550,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,116,"715 Broadway, Larned, KS 67550",,08:30 AM - 05:00 PM,,ho70160908,false,true,,,,poll70160908
POTTAWATOMIE,Nancy McCarter,nmccarter@Pottcounty.org,,7854573314,7854573507,207 N 1st St,,Westmoreland,KS,66549,8:30:00 - 05:00,16:30:00 - 05:00,10/11/2016,10/14/2016,central,117,"207 N 1st St, Westmoreland, KS 66549",,08:30 AM - 04:30 PM,,ho20735871,false,true,,,,poll20735871
RUSSELL,Mary Nuss,RS_county_clerk@wan.kdor.state.ks.us,,7854834641,7854835725,401 N Main St,,Russell,KS,67665,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,119,"401 N Main St, Russell, KS 67665",,08:30 AM - 05:00 PM,,ho47284691,false,true,,,,poll47284691
TREGO,Lori Augustine,TR_county_clerk@wan.kdor.state.ks.us,,7857435773,7857435594,216 Main St,,WaKeeney,KS,67672,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,120,"216 Main St, WaKeeney, KS 67672",,08:30 AM - 05:00 PM,,ho23730737,false,true,,,,poll23730737
WILSON,Rhonda Willard,wilsoncoclerk1@twinmounds.com,,6203782186,6203783841,615 Madison,,Fredonia,KS,66736,8:30:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,121,"615 Madison, Fredonia, KS 66736",,08:30 AM - 05:00 PM,,ho84042329,false,true,,,,poll84042329
FORD,Debbie Cox,dcox@fordcounty.net,,6202274550,6202274699,100 Gunsmoke,,Dodge City,KS,67801,9:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,123,"100 Gunsmoke, Dodge City, KS 67801",,09:00 AM - 05:00 PM,,ho97354625,false,true,,,,poll97354625
GRANT,Sheila Brown,clerk@pld.com,,6203561335,6203563081,108 S Glenn,,Ulysses,KS,67880,9:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,124,"108 S Glenn, Ulysses, KS 67880",,09:00 AM - 05:00 PM,,ho36308365,false,true,,,,poll36308365
MORTON,Gina Castillo,mortoncountyclerk@elkhart.com,,6206972157,6206972159,1025 Morton St,,Elkhart,KS,67950,9:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,127,"1025 Morton St, Elkhart, KS 67950",,09:00 AM - 05:00 PM,,ho10227693,false,true,,,,poll10227693
RAWLINS,Rachel Finley,rachelfinley12@yahoo.com,,7856263351,7856269019,607 Main,,Atwood,KS,67730,9:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,128,"607 Main, Atwood, KS 67730",,09:00 AM - 05:00 PM,,ho80890185,false,true,,,,poll80890185
SEWARD,Stacia D. Long,slong@sewardcountyks.org,,6206263355,6206263211,515 N Washington,Ste 100,Liberal,KS,67901,9:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,129,"515 N Washington Ste 100, Liberal, KS 67901",,09:00 AM - 05:00 PM,,ho25374915,false,true,,,,poll25374915
STEVENS,Pam Bensel,SV_county_clerk@wan.kdor.state.ks.us,,6205442541,6205444094,200 E 6th,,Hugoton,KS,67951,9:00:00 - 05:00,17:00:00 - 05:00,10/11/2016,10/14/2016,central,131,"200 E 6th, Hugoton, KS 67951",,09:00 AM - 05:00 PM,,ho58413211,false,true,,,,poll58413211
HASKELL,Pam Carrion,hspc@unitedwireless.com,,6206752263,6206752681,300 Inman St,,Sublette,KS,67877,9:00:00 - 06:00,17:00:00 - 06:00,11/7/2016,11/7/2016,central,625,"300 Inman St, Sublette, KS 67877",,09:00 AM - 05:00 PM,,ho24914065,false,true,,,,poll24914065
