countyname,sitename,location_name,address,address2,address3,city,state,zip,directions,voterservices,start_date,end_date,days_times_open
Gulf County,Wewahitcka,Wewa Branch Library,314 N 2nd St,,,Wewahitchka,FL,32465,,,10/29/16,11/5/16,From 2016-10-29 to 2016-10-29 - 7:00 AM CDT to 4:00 PM CDTFrom 2016-11-05 to 2016-11-05 - 7:00 AM CDT to 4:00 PM CDTFrom 2016-10-30 to 2016-10-30 - 9:00 AM CDT to 5:00 PM CDTFrom 2016-10-31 to 2016-11-04 - 6:30 AM CDT to 5:00 PM CDT
Hamilton County,SOE Office,Courthouse Anexx,1153 US HWY 41 NW,,,Jasper,FL,32052,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 08:30 AM EDT to 05:00 PM EDT
Hardee County,Supervisor of Elections,Supervisor of Elections,311 N. 6th Ave.,,,Wauchula,FL,33873,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 08:30 AM EDT to 05:00 PM EDT
Hendry County,Clewiston Election Office,Hendry County Government Complex,1100 S. Olympia St.,,In the same building as the Driver`s License Office,Clewiston,FL,33440,,http://hendryelections.org,10/24/16,11/5/16,From 2016-10-24 to 2016-10-28 - 07:00 AM EDT to 07:00 PM EDTFrom 2016-10-29 to 2016-10-30 - 07:00 AM EDT to 05:00 PM EDTFrom 2016-10-31 to 2016-11-04 - 07:00 AM EDT to 07:00 PM EDTFrom 2016-11-05 to 2016-11-05 - 07:00 AM EDT to 05:00 PM EDT
Hendry County,LaBelle Election Office,Courthouse Complex,25 E. Hickpochee Ave.,,1st Floor,LaBelle,FL,33935,corner of Hickpochee and Bridge St,http://hendryelections.org,10/24/16,11/5/16,From 2016-10-24 to 2016-10-28 - 07:00 AM EDT to 07:00 PM EDTFrom 2016-10-29 to 2016-10-30 - 07:00 AM EDT to 05:00 PM EDTFrom 2016-10-31 to 2016-11-04 - 07:00 AM EDT to 07:00 PM EDTFrom 2016-11-05 to 2016-11-05 - 07:00 AM EDT to 05:00 PM EDT
Hernando County,East Hernando Branch Library,East Hernando Branch Library,6457 Windmere Rd,,,Brooksville,FL,34602,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Hernando County,South Brooksville Community Center,South Brooksville Community Center,601 E Dr. Martin Luther King Blvd.,,,Brooksville,FL,34601,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Hernando County,Spring Hill Branch Library ,Spring Hill Branch Library,9220 Spring Hill Dr,,,Spring Hill,FL,34608,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Hernando County,Supervisor of Elections Branch Office,Supervisor of Elections Branch Office Forest Oaks,7443 Forest Oaks Blvd,,,Spring Hill,FL,34606,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Highlands County,Avon Park City Hall Council Chambers,Avon Park City Hall Council Chambers,123 E Pine St,,,Avon Park,FL,33825,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 08:30 AM EDT to 06:00 PM EDTFrom 2016-10-30 to 2016-10-30 - 08:30 AM EDT to 4:30 PM EDT
Highlands County,Kenilworth Operations Center,Kenilworth Operations Center,4500 Kenilworth Blvd,,,Sebring,FL,33870,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 8:30 AM EDT to 6:00 PM EDTFrom 2016-10-30 to 2016-10-30 - 8:30 AM EDT to 4:30 PM EDT
Highlands County,Lake Placid Town Hall Council Chambers,Lake Placid Town Hall Council Chambers,311 W Interlake Blvd,,,Lake Placid,FL,33852,,,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 8:30 AM EDT to 06:00 p.m. EDTFrom 2016-10-30 to 2016-10-30 - 8:30 AM EDT to 4:30 PM EDT
Hillsborough County,,Bloomingdale Regional Public Library ,1906 Bloomingdale Ave ,,,Valrico,FL,33596,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Bruton Memorial Library ,302 W McLendon St,,,Plant City,FL,33563,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,C. Blythe Andrews Jr. Public Library ,2607 E Dr. Martin Luther King Jr. Blvd,,,Tampa,FL,33610,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Fred B. Karl County Center,601 E Kennedy Blvd,,,Tampa,FL,33602,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Jan Kaminis Platt Regional Library ,3910 S Manhattan Ave,,,Tampa,FL,33611,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Jimmie B. Keel Regional Library ,2902 West Bearss Avenue,,,Tampa,FL,33618,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Keystone Community Center,17928 Gunn Hwy,,,Odessa,FL,33556,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,New Tampa Regional Library ,10001 Cross Creek Blvd,,,Tampa,FL,33647,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,North Tampa Branch Library ,8916 North Blvd,,,Tampa,FL,33604,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Riverview Branch Library ,10509 Riverview Dr,,,Riverview,FL,33578,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Robert L. Gilder Elections Service Center ,2514 N Falkenburg Rd,,,Tampa,FL,33619,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,SouthShore Regional Library ,15816 Beth Shields Way,,,Ruskin,FL,33573,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Temple Terrace Public Library ,202 Bullard Parkway,,,Temple Terrace,FL,33617,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Town `N Country Regional Public Library ,"7606 Paula Drive, Suite 120",,,Tampa,FL,33615,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,Upper Tampa Bay Regional Public Library ,11211 Countryway Blvd,,,Tampa,FL,33626,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Hillsborough County,,West Tampa Branch Library ,2312 W Union St,,,Tampa,FL,33607,,,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Holmes County,Supervisor of Elections Office,Holmes County Courthouse,"201 N. Oklahoma St., Suite 102",,,Bonifay,FL,32425,,,10/24/16,11/5/16,From 2016-10-30 to 2016-10-30 - 10:00 AM EDT to 06:00 PM EDTFrom 2016-10-31 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDTFrom 2016-10-24 to 2016-10-29 - 07:00 AM EDT to 07:00 PM EDT
Indian River County,Sebastian City Hall Council Chambers,Sebastian City Hall Council Chambers,1225 Main Street,,,Sebastian,FL,32958,,www.voteindianriver.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 04:00 PM EDT
Indian River County,Supervisor of Elections Office,Supervisor of Elections Office,4375 43rd Avenue,,,Vero Beach,FL,32967,,www.voteindianriver.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 04:00 PM EDT
Indian River County,Vero Beach Main Library,Vero Beach Main Library,1600 21st Street,,,Vero Beach,FL,32960,,www.voteindianriver.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 04:00 PM EDT
Jackson County,Graceville City Hall,Graceville City Hall,5348 Cliff Street,,,Graceville,FL,32440,,www.jacksoncountysoe.org,10/24/16,11/5/16,From 2016-10-30 to 2016-10-30 - 10:00 AM CST to 06:00 PM CSTFrom 2016-10-31 to 2016-11-05 - 08:00 AM CST to 06:00 PM CSTFrom 2016-10-24 to 2016-10-29 - 08:00 AM CST to 06:00 PM CST
Jackson County,Sneads City Hall,Sneads City Hall,2028 Third Avenue,,,Sneads,FL,32460,,www.jacksoncountysoe.org,10/24/16,11/5/16,From 2016-10-24 to 2016-10-29 - 08:00 AM CST to 06:00 PM CSTFrom 2016-10-30 to 2016-10-30 - 10:00 AM CST to 06:00 PM CSTFrom 2016-10-31 to 2016-11-05 - 08:00 AM CST to 06:00 PM CST
Jackson County,Supervisor of Elections Office,Supervisor of Elections Office,2851 Jefferson Street,,,Marianna,FL,32448,,www.jacksoncountysoe.org,10/24/16,11/5/16,From 2016-10-24 to 2016-10-29 - 08:00 AM CST to 06:00 PM CSTFrom 2016-10-30 to 2016-10-30 - 10:00 AM CST to 06:00 PM CSTFrom 2016-10-31 to 2016-11-05 - 08:00 AM CST to 06:00 PM CST
Jefferson County,Supervisor of Elections Office,Supervisor of Elections,380 W Dogwood Street,,,Monticello,FL,32344,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:30 AM EDT to 04:30 PM EDT
Lafayette County,Supervisor of Elections Office,Lafayette County Courthouse,120 W Main St,RM 129,,Mayo,FL,32066,,www.lafayettevotes.net,10/29/16,11/5/16,From 2016-10-29 to 2016-11-05 - 08:30 AM EDT to 05:30 PM EDT
Lake County,Cagan,Cagan Crossings Community Library,16729 Cagan Oaks,,,Clermont,FL,34714,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Cooper,Cooper Memorial Library,2525 Oakley Seaver Dr,,,Clermont,FL,34711,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Eustis,Eustis Memorial Library,120 N Center St,,,Eustis,FL,32726,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Lady Lake,Lady Lake Public Library,225 W Guava St,,,Lady Lake,FL,32159,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Leesburg,Leesburg Public Library,100 E Main St,,,Leesburg,FL,34748,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Minneola,Minneola City Hall,800 N US Hwy 27,,,Minneola,FL,34755,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Mt. Dora,W.T. Bland Public Library,1995 N Donnelly St,,,Mount Dora,FL,32757,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Tavares,Lake County Administration Bldg,315 W Main St,2nd Floor,,Tavares,FL,32778,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lake County,Umatilla,Southside Community Bldg,17107 Ball Park Rd,,,Umatilla,FL,32784,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 09:00 AM EDT to 06:00 PM EDT
Lee County,Cape Coral-Lee County Library,Cape Coral-Lee County Library,921 SW 39th  Terrace,,,Cape Coral,FL,33993,"The Cape Coral Library is on SW 39th Ter, west of Skyline Blvd and North of Mohawk Pkwy.",www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,East County Regional Library,East County Regional Library,881 Gunnery Road N,Voting is in the Meeting Room,,Lehigh Acres,FL,33971,"The Library is located on the west side of Gunnery Rd, north of Lee Blvd, next to Varsity Lakes Middle School",www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,Estero Recreation Center,Estero Recreation Center,9200 Corkscrew Palms Boulevard,"Vote in Multi-Purpose Room, to right as you enter building",,Estero,FL,33928,"Traveling south on Three Oaks Pkwy, turn right onto Corkscrew Road and proceed to Corkscrew Palms Blvd. Turn left onto Corkscrew Palms.  At stop sign, turn right onto road that circles park.  Follow road around left-hand curve to entrance of Rec Center",www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,Lee County Elections,Bonita Springs Branch Office,25987 S Tamiami Trail #105,Bonita Commons,,Bonita Springs,FL,34134,The Bonita Branch Office is located on the east side of S. Tamiami Trail just beyond Spring Creek across from Bonita Bay Golf Course,www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,Lee County Elections,Cape Coral Branch Office,1039 SE 9th Avenue,Inside the Lee County Government Center,1st Floor,Cape Coral,FL,33990,"From the Intersection of Del Prado Blvd and Viscaya Pkwy, drive west on Viscaya Pkwy.  Continue around the curve to the left onto Country Club Blvd and turn right onto either SE 10th St (at traffic light) or SE 12th St. Turn onto SE 9th Ave.",www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,Lee County Elections Center,Lee County Elections Center,13180 S Cleveland Avenue,Accross from the Bell Tower Shops,,Fort Myers,FL,33907,"From Cypress Lake Dr/Daniels Pkwy, go north on S. Cleveland Ave to next traffic light (Bell Tower/Cypress Trace). Turn left, by Robb & Stucky. Park in the lot to the right of the Elections Ctr.",www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,North Fort Myers Recreation Center,North Fort Myers Recreation Center,2000 N Recreation Park Way,Just north of the North Fort Myers Public Library,,North Fort Myers,FL,33903,The entrance to North Fort Myers Recreation Center is located just north of North Fort Myers Public Library on N. Recreation Way On The west side of N. Tamiami Trail Just beyond the intersection of N. Tamiami Trail and Bayshore Rd.,www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,Northwest Regional Library,Northwest Regional Library,519 Chiquita Boulevard N,Vote in the Meeting Room,,Cape Coral,FL,33993,"From the intersection of Pine Island Rd and Chiquita Blvd, go north on Chiquita, Past Embers Pkwy. The library is on the right side of the road, between Mariner Middle and Mariner High School",www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,Schandler Hall Community Park,Schandler Hall Community Park,419 Royal Palm Park Road,Reverend Suarez Hall,Voting is in Rev. Suarex Hall,Fort Myers,FL,33905,Schandler Hall Community Park Is located on the north side of Palm Beach Blvd. across from the intersection of Ortiz Ave. and Palm Beach Blvd.  The entrance is on Royal Palm Park Rd. off Palm Beach Blvd.,www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Lee County,Veterans Park Recreation Center,Veterans Park Recreation Center,55 S Homestead Road,,,Lehigh Acres,FL,33936,"From the intersection of Alabama Rd and Homestead Rd, go southeast on Homestead, past the intersection with Arthur Ave and past the fire station to Veterans Park, on the left side of Homestead",www.lee.vote,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 10:00 AM EDT to 7:00 PM EDT
Leon County,,Dr. B.L. Perry Jr. Branch Library,2817 S. Adams Street,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 10:00 AM EDT to 06:00 PM EDT
Leon County,,Eastside Branch Library,1583 Pedrick Road,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 10:00 AM EDT to 06:00 PM EDT
Leon County,,Fort Braden Branch Library,16327 Blountstown Highway,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 10:00 AM EDT to 06:00 PM EDT
Leon County,,Lake Jackson Community Center,3840 N. Monroe Street,Suite 301,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 10:00 AM EDT to 06:00 PM EDT
Leon County,,Leon County Courthouse,301 S. Monroe Street,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 08:00 AM EDT to 04:00 PM EDT
Leon County,,Northeast Branch Library,5513 Thomasville Road,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 10:00 AM EDT to 06:00 PM EDT
Leon County,,Woodville Community Center,8000 Old Woodville Rd,,,Tallahassee,FL,,,http://www.leonvotes.org/Early-Voting/Early-Voting-Information,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 10:00 AM EDT to 06:00 PM EDT
Levy County,Levy County Supervisor of Elections Office,Levy County Supervisor of Elections Office,421 S Court St,,,Bronson,FL,32621,,www.votelevy.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Liberty County,Liberty County Courthouse,Liberty County Courthouse,10818 NW State Rd 20,,Early Voting Office,Bristol,FL,32321,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 04:00 PM EDT
Madison County,Greenville Senior Citizens Building,Greenville Senior Citizens Building,166 S.W. Onslow St.,,,Greenville,FL,32331,,,10/29/16,11/5/16,From 2016-10-29 to 2016-10-30 - 07:00 AM EDT to 03:00 PM EDTFrom 2016-10-31 to 2016-11-04 - 10:00 AM EDT to 06:00 PM EDTFrom 2016-11-05 to 2016-11-05 - 07:00 AM EDT to 03:00 PM EDT
Madison County,Lee City Hall,Lee City Hall,286 N.E. CR 255,,,Lee,FL,32059,,,10/29/16,11/5/16,From 2016-11-05 to 2016-11-05 - 07:00 AM EDT to 03:00 PM EDTFrom 2016-10-29 to 2016-10-30 - 0700 AM EDT to 03:00 PM EDTFrom 2016-10-31 to 2016-11-04 - 10:00 AM EDT to 06:00 PM EDT
Madison County,Madison County Board Room    Annex ,Madison County Board Room    Annex ,229 SW Pinckney St Rm.107 ,,,Madison,FL,32340,,,10/29/16,11/5/16,From 2016-10-29 to 2016-10-30 - 07:00 AM EDT to 03:00 PM EDTFrom 2016-10-31 to 2016-11-04 - 08:00 AM EDT to 06:00 PM EDTFrom 2016-11-05 to 2016-11-05 - 07:00 AM EDT to 03:00 PM EDT
Madison County,Pinetta Vol. Fire Dept,Pinetta Vol. Fire Dept,509 N.E. Persimmon Dr. ,,,Pinetta,FL,32350,,,10/29/16,11/5/16,From 2016-10-31 to 2016-11-04 - 10:00 AM EDT to 06:00 PM EDTFrom 2016-10-29 to 2016-10-30 - 07:00 AM EDT to 03:00 PM EDTFrom 2016-11-05 to 2016-11-05 - 07:00 AM EDT to 03:00 PM EDT
Manatee County,Lakewood Ranch Town Hall,Lakewood Ranch Town Hall,8175 Lakewood Ranch Blvd,,,Lakewood Ranch,FL,34202,,,10/24/16,11/5/16,From 2016-10-24 to 2016-10-30 - 08:00 AM EDT to 05:00 PM EDTFrom 2016-10-31 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Manatee County,Palmetto Library,Palmetto Library,923 6th St W,,,Palmetto,FL,34221,,,10/24/16,11/5/16,From 2016-10-24 to 2016-10-30 - 08:00 AM EDT to 05:00 PM EDTFrom 2016-10-31 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Manatee County,Rocky Bluff Library,Rocky Bluff Library,6750 US Hwy 301,,,Ellenton,FL,34222,,,10/24/16,11/5/16,From 2016-10-24 to 2016-10-30 - 08:00 AM EDT to 05:00 PM EDTFrom 2016-10-31 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Manatee County,Supervisor of Elections Office,Supervisor of Elections Office,"600 301 Blvd W., Suite 118",,,Bradenton,FL,34205,,,10/24/16,11/5/16,From 2016-10-24 to 2016-10-30 - 08:00 AM EDT to 05:00 PM EDTFrom 2016-10-31 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Manatee County,West Manatee Fire & Rescue Administration,West Manatee Fire & Rescue Administration,6417 3rd Ave W,,,Bradenton,FL,34209,,,10/24/16,11/5/16,From 2016-10-24 to 2016-10-30 - 08:00 AM EDT to 05:00 PM EDTFrom 2016-10-31 to 2016-11-05 - 07:00 AM EDT to 07:00 PM EDT
Marion County,Belleview,Belleview Public Library,13145 SE HWY 484,,,Belleview,FL,34420,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Deputy Litz Building,Deputy Brian Litz Building,9048 SW HWY 200,,,Ocala,FL,34481,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Dunnellon,Dunnellon Public Library,20351 Robinson Road,,,Dunnellon,FL,34431,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Election Center,Marion County Election Center,981 NE 16th Street,,,Ocala,FL,34470,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Forest,Forest Public Library,905 S HWY 314A,,,Ocklawaha,FL,32179,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Freedom,Freedom Public Library,5870 SW 95th Street,,,Ocala,FL,34476,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Reddick,Reddick Community Center,4345 NW 152nd Street,,,Reddick,FL,32686,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Shores,Silver Springs Shores Community Center,590 Silver Road,,,Ocala,FL,34472,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Marion County,Villages,The Villages Mulberry Center,8445 SE 165th Mulberry Lane,,,The Villages,FL,32162,,www.VoteMarion.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 8:00 AM EDT to 6:00 PM EDT
Martin County,County Line Civic Center,County Line Civic Center,18530 SE County Line Rd,,,Tequesta,FL,33469,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 05:00 PM EDT
Martin County,Elections Center,Elections Center,"135 SE Martin Luther King, Jr. Blvd",,,Stuart,FL,34994,,MartinVotes.com,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 05:00 PM EDT
Martin County,Elisabeth Lahti Library,Elisabeth Lahti Library,15200 SW Adams Ave,,,Indiantown,FL,34956,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 05:00 PM EDT
Martin County,Hobe Sound Library,Hobe Sound Library,10595 SE Federal Hwy,,,Hobe Sound,FL,33455,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 05:00 PM EDT
Martin County,Hoke Library,Hoke Library,1150 NE Jack Williams Way,,,Jensen Beach,FL,34957,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 05:00 PM EDT
Martin County,Peter & Julie Cummings Library,Peter & Jule Cummings Library,2551 SW Matheson Ave,,,Palm City,FL,34990,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 05:00 PM EDT
Martin County,Robert Morgade Library,Robert Morgade Library,5851 SE Community Dr,,,Stuart,FL,34997,,,10/24/16,11/5/16,From 2016-10-24 to 2016-11-05 - 08:00 AM EDT to 05:00 PM EDT
Miami-Dade County,Adrienne Arsht Center ,Adrienne Arsht Center ,1300 Biscayne Blvd,,,Miami,FL,33132,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Arcola Lakes Branch Library ,Arcola Lakes Branch Library ,8240 NW 7TH  Avenue,,,Miami,FL,33150,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Betty T. Ferguson,Betty T. Ferguson,3000 NW 199TH St,,,Miami Gardens,FL,33056,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Carrie P. Meek Senior & Cultural Center,Carrie P. Meek Senior & Cultural Center,1350 NW 50TH Street,,,Miami,FL,33142,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Coral Gables Branch Library,Coral Gables Branch Library,3443 Segovia Street,,,Coral Gables,FL,33134,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Coral Reef Branch Library,Coral Reef Branch Library,9211 SW 152nd Street,,,Miami,FL,33157,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Elections Department - Main Office,Elections Department - Main Office,2700 NW 87th Avenue ,,,Doral,FL,33172,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Historic Garage ,Historic Garage ,3250 S Miami Avenue,Same property as the old museum of science,,Miami,FL,33129,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,Homestead Community Center,Homestead Community Center,1601 N. Krome Avenue,"William F. ""Bill"" Dickinson Comm. Center",,Homestead,FL,33030,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,International Mall Branch Library ,International Mall Branch Library ,10315 NW 12TH Street,,,Doral,FL,33172,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
Miami-Dade County,John F. Kennedy Library,John F. Kennedy Library,190 W 49th Street,,,Hialeah,FL,33012,,http://www.miamidade.gov/elections/voter-registration.asp,10/24/16,11/6/16,From 2016-10-24 to 2016-11-06 - 07:00 AM EDT to 07:00 PM EDT
