office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,owner,contacted?,start_time,end_time,start_date,end_date,notes
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,12:00:00,10/7/16,10/7/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,10/10/16,10/10/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,10/12/16,10/12/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,18:00:00,10/13/16,10/13/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,12:00:00,10/14/16,10/14/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,10/17/16,10/17/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,10/19/16,10/19/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,18:00:00,10/20/16,10/20/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,12:00:00,10/21/16,10/21/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,10/24/16,10/24/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,10/26/16,10/26/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,18:00:00,10/27/16,10/27/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,12:00:00,10/28/16,10/28/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,10/31/16,10/31/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,16:00:00,11/2/16,11/2/16,
Gray Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,4039,,,8:30:00,18:00:00,11/3/16,11/3/16,
Hermon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hermon,Hermon Town ME,,(207) 848-1010,,333 Billings Road,Hermon,ME,4401,,yes,8:00:00,17:00:00,10/7/16,10/7/16,
Hermon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hermon,Hermon Town ME,,(207) 848-1010,,333 Billings Road,Hermon,ME,4401,,yes,8:00:00,17:00:00,10/10/16,10/14/16,
Hermon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hermon,Hermon Town ME,,(207) 848-1010,,333 Billings Road,Hermon,ME,4401,,yes,8:00:00,17:00:00,10/17/16,10/21/16,
Hermon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hermon,Hermon Town ME,,(207) 848-1010,,333 Billings Road,Hermon,ME,4401,,yes,8:00:00,17:00:00,10/24/16,10/28/16,
Hermon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hermon,Hermon Town ME,,(207) 848-1010,,333 Billings Road,Hermon,ME,4401,,yes,8:00:00,17:00:00,10/31/16,11/3/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/11/16,10/11/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,12:00:00,20:00:00,10/12/16,10/12/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/13/16,10/13/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/14/16,10/14/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/18/16,10/18/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,12:00:00,20:00:00,10/19/16,10/19/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/20/16,10/20/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/21/16,10/21/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/25/16,10/25/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,12:00:00,20:00:00,10/26/16,10/26/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/27/16,10/27/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,10/28/16,10/28/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,11/1/16,11/1/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,12:00:00,20:00:00,11/2/16,11/2/16,
Hollis Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,4042,,,9:00:00,16:00:00,11/3/16,11/3/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,10/7/16,10/7/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,10/11/16,10/12/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,12:00:00,18:00:00,10/13/16,10/13/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,10/14/16,10/14/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,10/18/16,10/19/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,12:00:00,18:00:00,10/20/16,10/20/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,10/21/16,10/21/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,10/25/16,10/26/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,12:00:00,18:00:00,10/27/16,10/27/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,10/28/16,10/28/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,7:30:00,16:30:00,11/1/16,11/2/16,
Hope Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,4847,,yes,12:00:00,18:00:00,11/3/16,11/3/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,yes,8:00:00,16:00:00,10/7/16,10/7/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,,8:00:00,16:00:00,10/10/16,10/13/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,,8:00:00,16:00:00,10/14/16,10/14/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,,8:00:00,16:00:00,10/17/16,10/20/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,,8:00:00,16:00:00,10/21/16,10/21/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,,8:00:00,16:00:00,10/24/16,10/27/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,,8:00:00,16:00:00,10/28/16,10/28/16,
Howland Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,4448,,,8:00:00,16:00:00,10/31/16,11/3/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,yes,9:00:00,17:00:00,10/7/16,10/7/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,17:00:00,10/10/16,10/11/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,13:00:00,10/12/16,10/12/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,10:00:00,18:00:00,10/13/16,10/13/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,17:00:00,10/14/16,10/14/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,17:00:00,10/17/16,10/18/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,13:00:00,10/19/16,10/19/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,10:00:00,18:00:00,10/20/16,10/20/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,17:00:00,10/21/16,10/21/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,17:00:00,10/24/16,10/25/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,13:00:00,10/26/16,10/26/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,10:00:00,18:00:00,10/27/16,10/27/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,17:00:00,10/31/16,11/1/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,9:00:00,13:00:00,11/2/16,11/2/16,
Kenduskeag Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,4450,,,10:00:00,18:00:00,11/3/16,11/3/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,yes,8:30:00,16:00:00,10/7/16,10/7/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,10/10/16,10/11/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,10/13/16,10/14/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,10/17/16,10/18/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,10/20/16,10/21/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,10/24/16,10/25/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,10/27/16,10/28/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,10/31/16,11/1/16,
Livermore Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,4254,,,8:30:00,16:00:00,11/3/16,11/3/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,yes,8:30:00,16:00:00,10/7/16,10/7/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,10/10/16,10/10/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,16:00:00,10/11/16,10/11/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,10/13/16,10/13/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,16:00:00,10/14/16,10/14/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,10/17/16,10/17/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,16:00:00,10/18/16,10/18/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,10/20/16,10/20/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,16:00:00,10/21/16,10/21/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,10/24/16,10/24/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,16:00:00,10/25/16,10/25/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,10/27/16,10/27/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,16:00:00,10/28/16,10/28/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,10/31/16,10/31/16,
Livermore Falls Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,4253,,,8:30:00,18:00:00,11/3/16,11/3/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,yes,9:00:00,16:00:00,10/7/16,10/7/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,10/10/16,10/11/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,12:00:00,19:00:00,10/12/16,10/12/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,10/13/16,10/14/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,10/17/16,10/18/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,12:00:00,19:00:00,10/19/16,10/19/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,10/20/16,10/21/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,10/24/16,10/25/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,12:00:00,19:00:00,10/26/16,10/26/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,10/27/16,10/28/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,10/31/16,11/1/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,12:00:00,19:00:00,11/2/16,11/2/16,
Lyman Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lyman,Lyman Town ME,,(207) 499-7562,,11 South Waterboro Road,Lyman,ME,4002,,,9:00:00,16:00:00,11/3/16,11/3/16,
Madison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:madison,Madison Town ME,,(207) 764-3754,,26 Weston Avenue,Madison,ME,4950,,yes,7:30:00,16:00:00,10/4/16,10/7/16,
Madison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:madison,Madison Town ME,,(207) 764-3754,,26 Weston Avenue,Madison,ME,4950,,,7:30:00,16:00:00,10/10/16,10/14/16,
Madison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:madison,Madison Town ME,,(207) 764-3754,,26 Weston Avenue,Madison,ME,4950,,,7:30:00,16:00:00,10/17/16,10/21/16,
Madison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:madison,Madison Town ME,,(207) 764-3754,,26 Weston Avenue,Madison,ME,4950,,,7:30:00,16:00:00,10/24/16,10/28/16,
Madison Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:madison,Madison Town ME,,(207) 764-3754,,26 Weston Avenue,Madison,ME,4950,,,7:30:00,16:00:00,10/31/16,11/3/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,yes,8:00:00,16:00:00,10/7/16,10/7/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,,8:00:00,16:30:00,10/10/16,10/13/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,,8:00:00,16:00:00,10/14/16,10/14/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,,8:00:00,16:30:00,10/17/16,10/20/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,,8:00:00,16:00:00,10/21/16,10/21/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,,8:00:00,16:30:00,10/24/16,10/27/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,,8:00:00,16:00:00,10/28/16,10/28/16,
Mars Hill Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:mars_hill,Mars Hill Town ME,,(207) 425-3731,,37 Main Street,Mars Hill,ME,4758,,,8:00:00,16:30:00,10/31/16,11/3/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,yes,8:00:00,16:00:00,10/11/16,10/12/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,,10:00:00,18:00:00,10/13/16,10/13/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,,8:00:00,13:00:00,10/14/16,10/14/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,,8:00:00,16:00:00,10/17/16,10/19/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,,10:00:00,18:00:00,10/20/16,10/20/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,,8:00:00,13:00:00,10/21/16,10/21/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,,8:00:00,16:00:00,10/24/16,10/26/16,
Minot Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:minot,Minot Town ME,,(207) 345-3305,,329 Woodman Hill Road,Minot,ME,4258,,,10:00:00,18:00:00,10/27/16,10/27/16,
