office-name,official-title,ocd-division,homepage-url,phone,email,street,city,state,zip,start time,end time,start_date,end_date
Grantham Town,Town Clerk,ocd-division/country:us/state:nh/place:grantham,www.granthamnh.net,(603) 863-5608,rfriedman@granthamnh.net,300 Route 10 South,Grantham,NH,3753,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Greenfield Town,Town Clerk,ocd-division/country:us/state:nh/place:greenfield,http://www.greenfield-nh.gov,(603) 547-2782,greenfieldnhtc@yahoo.com,776 Forest Rd,Greenfield,NH,3047,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Greenland Town,Town Clerk,ocd-division/country:us/state:nh/place:greenland,www.greenland-nh.com,(603) 431-7111,mmorgan@greenland-nh.com,70 Post Road,Greenland,NH,3840,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Green's Grant Township,Town Clerk,ocd-division/country:us/state:nh/place:greens_grant,,(603) 466-2744,cporter@gorhamnh.org,20 Park Street,Gorham,NH,3581,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Greenville Town,Town Clerk,ocd-division/country:us/state:nh/place:greenville,www.greenvillenh.org,(603) 878-4155,clerk-collector@comcast.net,16 Adams St,Greenville,NH,3048,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Groton Town,Town Clerk,ocd-division/country:us/state:nh/place:groton,grotonnh.org,(603) 744-8849,townclerk@grotonnh.org,754 North Groton Road,Groton,NH,3241,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hampstead Town,Town Clerk,ocd-division/country:us/state:nh/place:hampstead,www.hampsteadnh.us,(603) 329-4100,townclerk@hampsteadnh.us," Hampstead Middle School, 28 School St",Hampstead,NH,3841,08:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Hampton Town,Town Clerk,ocd-division/country:us/state:nh/place:hampton,www.hamptonnh.gov,(603) 926-0406,townclerk@hamptonnh.gov,"Winnacunnet High School, 1 Alumni Dr",Hampton,NH,3842,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Hampton Falls Town,Town Clerk,ocd-division/country:us/state:nh/place:hampton_falls,www.hamptonfalls.org,(603) 926-4618,townclerk@hamptonfalls.org,1 Drinkwater Road,Hampton Falls,NH,3844,08:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Hancock Town,Town Clerk,ocd-division/country:us/state:nh/place:hancock,www.hancocknh.org,(603) 525-4441,clerk@hancocknh.org,50 Main Street,Hancock,NH,3449,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hanover Town,Town Clerk,ocd-division/country:us/state:nh/place:hanover,www.hanovernh.org,(603) 640-3203,betsy.mcclain@hanovernh.org,"Hanover High School, 41 Lebanon St",Hanover,NH,3755,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Harrisville Town,Town Clerk,ocd-division/country:us/state:nh/place:harrisville,www.harrisvillenh.org,(603) 827-5546,townclerkdonna@myfairpoint.net,705 Chesham Rd,Harrisville,NH,3450,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hart's Location Town,Town Clerk,ocd-division/country:us/state:nh/place:hart~s_location,,(603) 374-2436,board@hartslocation.com,979 Route 302,Hart's Location,NH,3812,08:00:00 - 05:00,19:05:00 - 05:00,11-08-16,11-08-16
Haverhill Town,Town Clerk,ocd-division/country:us/state:nh/place:haverhill,www.haverhill-nh.com,(603) 787-6200,townclerk@haverhill-nh.com,2975 Dartmouth College Hwy,N Haverhill,NH,3774,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hebron Town,Town Clerk,ocd-division/country:us/state:nh/place:hebron,http://hebronnh.org,(603) 744-7999,clerk@hebronnh.org,16 Church Lane,Hebron,NH,3241,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Henniker Town,Town Clerk,ocd-division/country:us/state:nh/place:henniker,www.henniker.org,(603) 428-3240,townclerk@henniker.org,51 Western Ave,Henniker,NH,3242,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hill Town,Town Clerk,ocd-division/country:us/state:nh/place:hill,www.townofhillnh.org,(603) 934-3951,hilltwnclk@comcast.net,30 Crescent St.,Hill,NH,3243,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hillsborough Town,Town Clerk,ocd-division/country:us/state:nh/place:hillsborough,www.town.hillsborough.nh.us,(603) 464-3877,debbie@hillsboroughnh.net,6 Hillcat Drive,Hillsborough,NH,3244,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hinsdale Town,Town Clerk,ocd-division/country:us/state:nh/place:hinsdale,,(603) 336-5719,tchinsdale.nh@myfairpoint.net,"Hinsdale Community Center, 19 Main Street",Hinsdale,NH,3451,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Holderness Town,Town Clerk,ocd-division/country:us/state:nh/place:holderness,www.holderness-nh.gov,(603) 968-7536,townclerk-taxcollector@holderness-nh.gov,1089 Us Route 3,Holderness,NH,3245,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hollis Town,Town Clerk,ocd-division/country:us/state:nh/place:hollis,http://www.hollisnh.org/townclerk/townclerk_main.htm,(603) 465-2064,townclerk@hollisnh.org,24 Cavalier Court,Hollis,NH,3049,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hooksett Town,Town Clerk,ocd-division/country:us/state:nh/place:hooksett,www.hooksett.org,(603) 485-9534,trainier@hooksett.org,89 Ward 04 Whitehall Road ,Hooksett,NH,3106,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hopkinton Town,Town Clerk,ocd-division/country:us/state:nh/place:hopkinton,www.hopkinton-nh.gov,(603) 746-3180,clerkcollector@hopkinton-nh.gov,297 Park Ave,Hopkinton,NH,3229,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Hudson Town,Town Clerk,ocd-division/country:us/state:nh/place:hudson,www.hudsonnh.gov,(603) 886-6003,pbarry@hudsonnh.gov,12 Lions Ave,Hudson,NH,3051,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Jackson Town,Town Clerk,ocd-division/country:us/state:nh/place:jackson,www.jacksonvillage.net,(603) 383-6248,jxntctc@jackson-nh.org,16 Black Mountain Road,Jackson,NH,3846,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Jaffrey Town,Town Clerk,ocd-division/country:us/state:nh/place:jaffrey,www.townofjaffrey.com,(603) 532-7861,krollins@townofjaffrey.com,12 Hathorn Rd,Jaffrey,NH,3452,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Jefferson Town,Town Clerk,ocd-division/country:us/state:nh/place:jefferson,www.jeffersonnh.org,(603) 586-4553,jeffersontownclerk@live.com,698 Presidential Hwy,Jefferson,NH,3583,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Keene City,City Clerk,ocd-division/country:us/state:nh/place:keene,www.ci.keene.nh.us,(603) 352-0133,plittle@ci.keene.nh.us,400 Marlborough St,Keene,NH,3431,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Keene City,City Clerk,ocd-division/country:us/state:nh/place:keene,www.ci.keene.nh.us,(603) 352-0133,plittle@ci.keene.nh.us,312 Washington St. ,Keene,NH,3431,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Keene City,City Clerk,ocd-division/country:us/state:nh/place:keene,www.ci.keene.nh.us,(603) 352-0133,plittle@ci.keene.nh.us,167 Maple Ave,Keene,NH,3431,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Keene City,City Clerk,ocd-division/country:us/state:nh/place:keene,www.ci.keene.nh.us,(603) 352-0133,plittle@ci.keene.nh.us,79 Park Ave ,Keene,NH,3431,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Keene City,City Clerk,ocd-division/country:us/state:nh/place:keene,www.ci.keene.nh.us,(603) 352-0133,plittle@ci.keene.nh.us,43 Arch St,Keene,NH,3431,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Kensington Town,Town Clerk,ocd-division/country:us/state:nh/place:kensington,www.town.kensington.nh.us,(603) 772-5423,townclerk@kensingtontown.com,122 Amesbury Road,Kensington,NH,3833,08:00:00 - 05:00,19:30:00 - 05:00,11-08-16,11-08-16
Kingston Town,Town Clerk,ocd-division/country:us/state:nh/place:kingston,www.kingstonnh.org,(603) 642-3112,tc-tc@kingstonnh.org,178 Main St,Kingston,NH,3848,08:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Laconia City,City Clerk,ocd-division/country:us/state:nh/place:laconia,www.city.laconia.nh.us,(603) 527-1265,voter@city.laconia.nh.us,"Belknap County Nursing Home, 30 County Drive",Laconia,NH,3246,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Laconia City,City Clerk,ocd-division/country:us/state:nh/place:laconia,www.city.laconia.nh.us,(603) 527-1265,voter@city.laconia.nh.us,31 Gilford Avenue ,Laconia,NH,3246,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Laconia City,City Clerk,ocd-division/country:us/state:nh/place:laconia,www.city.laconia.nh.us,(603) 527-1265,voter@city.laconia.nh.us,"Laconia Middle School, 150 McGrath Street",Laconia,NH,3246,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Laconia City,City Clerk,ocd-division/country:us/state:nh/place:laconia,www.city.laconia.nh.us,(603) 527-1265,voter@city.laconia.nh.us,31 Lindsay Court,Laconia,NH,3246,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Laconia City,City Clerk,ocd-division/country:us/state:nh/place:laconia,www.city.laconia.nh.us,(603) 527-1265,voter@city.laconia.nh.us,"Woodland Heights Elementary School,  225 Winter Street Ext.",Laconia,NH,3246,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Laconia City,City Clerk,ocd-division/country:us/state:nh/place:laconia,www.city.laconia.nh.us,(603) 527-1265,voter@city.laconia.nh.us,"Leavitt Park Club House, 334 Elm Street",Laconia,NH,3246,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lancaster Town,Town Clerk,ocd-division/country:us/state:nh/place:lancaster,http://lancasternh.org,(603) 788-2306,townclerk@lancasternh.org,25 Main Street,Lancaster,NH,3584,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Landaff Town,Town Clerk,ocd-division/country:us/state:nh/place:landaff,www.landaffnh.org,(603) 838-6220,townclerk@landaffnh.org,12 Center Hill Road,Landaff,NH,3585,11:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Langdon Town,Town Clerk,ocd-division/country:us/state:nh/place:langdon,http://langdonnh.org/,(603) 835-2389,langdontownclerk@gmail.com,122 Route 12a,Langdon,NH,3602,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lebanon City,City Clerk,ocd-division/country:us/state:nh/place:lebanon,www.lebnh.net,(603) 448-3054,cityclerk@lebcity.com,51 North Park Street,Lebanon,NH,3766,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lebanon City,City Clerk,ocd-division/country:us/state:nh/place:lebanon,www.lebnh.net,(603) 448-3054,cityclerk@lebcity.com,"Kilton Public Library, 80 Main St",West Lebanon,NH,3784,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lebanon City,City Clerk,ocd-division/country:us/state:nh/place:lebanon,www.lebnh.net,(603) 448-3054,cityclerk@lebcity.com,"Methodist Church, 18 School St",Lebanon,NH,3766,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lee Town,Town Clerk,ocd-division/country:us/state:nh/place:lee,www.leenh.org,(603) 659-2964,lreinhold@leenh.org,20 George Bennett Rd,Lee,NH,3824,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lempster Town,Town Clerk,ocd-division/country:us/state:nh/place:lempster,www.lempsternh.org,(603) 863-3213,lempstertownclerk@myfairpoint.net,856 Rte 10,Lempster,NH,3605,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lincoln Town,Town Clerk,ocd-division/country:us/state:nh/place:lincoln,www.lincolnnh.org,(603) 745-8971,townclerk@lincolnnh.org,148 Main St,Lincoln,NH,3251,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lisbon Town,Town Clerk,ocd-division/country:us/state:nh/place:lisbon,www.lisbonnh.org,(603) 838-2862,lisbonnhtc@ne.twcbc.com,25 Highland Avenue,Lisbon,NH,3585,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Litchfield Town,Town Clerk,ocd-division/country:us/state:nh/place:litchfield,www.litchfieldnh.gov,(603) 424-4045,tbriand@litchfieldnh.gov,"Campbell High School, 1 Highlander Court",Litchfield,NH,3052,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Littleton Town,Town Clerk,ocd-division/country:us/state:nh/place:littleton,www.townoflittleton.org,(603) 444-3995,jwhite@townoflittleton.org,240 W Main St.,Littleton,NH,3561,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Londonderry Town,Town Clerk,ocd-division/country:us/state:nh/place:londonderry,www.londonderrynh.org,(603) 432-1100,sfarrell@londonderrynh.org,295 Mammoth Rd,Londonderry,NH,3053,07:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Loudon Town,Town Clerk,ocd-division/country:us/state:nh/place:loudon,www.loudonnh.org,(603) 798-4542,townclerk@loudonnh.org,29 South Village Rd,Loudon,NH,3307,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lyman Town,Town Clerk,ocd-division/country:us/state:nh/place:lyman,www.lymannh.org,(603) 838-6113,lymantc@myfairpoint.net,"Lyman Town Hall, 65 Parker Hill Road",Lyman,NH,3585,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lyme Town,Town Clerk,ocd-division/country:us/state:nh/place:lyme,www.lymenh.gov,(603) 795-2535,patty@lymenh.gov,35 Union Street,Lyme,NH,3768,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Lyndeborough Town,Town Clerk,ocd-division/country:us/state:nh/place:lyndeborough,www.lyndeboroughnh.us,(603) 654-5955,tschultz@lyndeboroughnh.us,9 Citizens Hall Road,Lyndeborough,NH,3082,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Madbury Town,Town Clerk,ocd-division/country:us/state:nh/place:madbury,http://www.townofmadbury.com,(603) 742-5131,tcmadbury@comcast.net,"Madbury Town Hall, 13 Town Hall Rd",Madbury,NH,3823,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Madison Town,Town Clerk,ocd-division/country:us/state:nh/place:madison,www.madison-nh.org,(603) 367-9931,clerk@madison-nh.org,"Madison Elementary School, 2069 Village Road",Madison,NH,3849,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"WEBSTER SCHOOL, 2519 Elm Street",Manchester,NH,3104,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"HILLSIDE MIDDLE SCHOOL, 112 Reservoir Avenue ",Manchester,NH,3104,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"CAROL M. RINES CENTER, 1528 Elm Street",Manchester,NH,3101,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"MCDONOUGH SCHOOL, 550 Lowell Street",Manchester,NH,3104,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"BEECH STREET SCHOOL, 333 Beech Street",Manchester,NH,3103,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,575 Candia Road,Manchester,NH,3103,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"ST. ANTHONY COMMUNITY CENTER, 148 Belmont Street",Manchester,NH,3103,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"MEMORIAL HIGH SCHOOL, One Crusader Way",Manchester,NH,3103,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"BISHOP LEO E. O'NEIL YOUTH CENTER, 30 South Elm Street",Manchester,NH,3103,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"PARKER-VARNEY SCHOOL, 223 James Pollock Drive",Manchester,NH,3102,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"GOSSLER SCHOOL, 145 Parkside Avenue",Manchester,NH,3102,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Manchester City,City Clerk,ocd-division/country:us/state:nh/place:manchester,www.manchesternh.gov,(603) 624-6455,cityclerk@manchesternh.gov,"NORTHWEST ELEMENTARY SCHOOL, 300 Youville Street",Manchester,NH,3102,06:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Marlborough Town,Town Clerk,ocd-division/country:us/state:nh/place:marlborough,www.marlboroughnh.org,(603) 876-4529,townclerk@marlboroughnh.org,"Marlborough School, 41 Fitz Court",Marlborough,NH,3455,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Marlow Town,Town Clerk,ocd-division/country:us/state:nh/place:marlow,www.marlownh.gov,(603) 446-2245,marlowclerk@myfairpoint.net,919 Nh Rt 10,Marlow,NH,3456,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Mason Town,Town Clerk,ocd-division/country:us/state:nh/place:mason,www.masonnh.us,(603) 878-3768,masontownclerk@gmail.com,13 Darling Hill Rd,Mason,NH,3048,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Meredith Town,Town Clerk,ocd-division/country:us/state:nh/place:meredith,www.meredithnh.org,(603) 677-4203,kparker@meredithnh.org,1 Circle Drive,Meredith,NH,3253,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Merrimack Town,Town Clerk,ocd-division/country:us/state:nh/place:merrimack,www.merrimacknh.gov,(603) 424-3651,dtrippett@merrimacknh.gov,26 Baboosic Lake Road,Merrimack,NH,3054,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Merrimack Town,Town Clerk,ocd-division/country:us/state:nh/place:merrimack,www.merrimacknh.gov,(603) 424-3651,dtrippett@merrimacknh.gov,31 Madeline Bennett Lane,Merrimack,NH,3054,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Merrimack Town,Town Clerk,ocd-division/country:us/state:nh/place:merrimack,www.merrimacknh.gov,(603) 424-3651,dtrippett@merrimacknh.gov,"708 Milford Road, 101A",Merrimack,NH,3054,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Middleton Town,Town Clerk,ocd-division/country:us/state:nh/place:middleton,www.middletonnh.gov,(603) 473-5210,tctx@middletonnh.gov,200 Kings Hwy,Middleton,NH,3887,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Milan Town,Town Clerk,ocd-division/country:us/state:nh/place:milan,www.townofmilan.org,(603) 449-3461,milantownclerk@gmail.com,11 Bridge Street,Milan,NH,3588,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Milford Town,Town Clerk,ocd-division/country:us/state:nh/place:milford,http://www.milford.nh.gov/,(603) 249-0650,plangell@milford.nh.gov,33 Osgood Road,Milford,NH,3055,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Millsfield Township,Town Clerk,ocd-division/country:us/state:nh/place:millsfield,,(603) 482-3294,caploghaven@aol.com,469 Us Route 26,Errol,NH,3579,06:00:00 - 05:00,20:05:00 - 05:00,11-08-16,11-08-16
Milton Town,Town Clerk,ocd-division/country:us/state:nh/place:milton,www.miltonnh-us.com,(603) 652-4501,townclerktaxcollecter@miltonnh-us.com,370 White Mountain Hwy,Milton,NH,3851,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Monroe Town,Town Clerk,ocd-division/country:us/state:nh/place:monroe,monroenh.org,(603) 638-2644,monroetc@roadrunner.com,50 Main Street,Monroe,NH,3771,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Mont Vernon Town,Town Clerk,ocd-division/country:us/state:nh/place:mont_vernon,http://montvernonnh.us,(603) 673-9126,mvtownclerk@comcast.net,"Mont Vernon Village School, Harwood Road ",Mont Vernon,NH,3057,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Moultonborough Town,Town Clerk,ocd-division/country:us/state:nh/place:moultonborough,www.moultonboroughnh.gov,(603) 476-2347,townclerk@moultonboroughnh.gov,1135 Whittier Hwy,Moultonborough,NH,3254,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Broad Street Elementary School, 390 Broad Street",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Charlotte Avenue Elementary School, 48 Charlotte Avenue",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Amherst Street Elementary School, 71 Amherst Street",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Ledge Street Elementary School, 139 Ledge Street",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Main Dunstable Elementary School,  20 Whitford Road",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Fairgrounds Middle School, 27 Cleveland Street",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Dr. Normand Crisp Elementary School, 50 Arlington Street",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"Bicentennial Elementary School, 296 East Dunstable Road",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nashua City,City Clerk,ocd-division/country:us/state:nh/place:nashua,www.nashuanh.gov,(603) 589-3010,cityclerkdept@nashuanh.gov,"New Searles Elementary School, 39 Shady Lane",Nashua,NH,3060,06:00:00 - 05:00,20:00:00 - 05:00,11-08-16,11-08-16
Nelson Town,Town Clerk,ocd-division/country:us/state:nh/place:nelson,www.townofnelson.com,(603) 847-9043,townclerk@nelsonnh.us,7 Nelson Common Rd,Nelson,NH,3457,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
New Boston Town,Town Clerk,ocd-division/country:us/state:nh/place:new_boston,www.newbostonnh.gov,(603) 487-2500,i.baudreau@newbostonnh.gov,15 Central School Rd,New Boston,NH,3070,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
New Castle Town,Town Clerk,ocd-division/country:us/state:nh/place:new_castle,www.newcastlenh.org,(603) 431-6710,phnewcastle@yahoo.com,301 Wentworth Rd,New Castle,NH,3854,09:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
New Durham Town,Town Clerk,ocd-division/country:us/state:nh/place:new_durham,www.newdurhamnh.us,(603) 859-2091,ndclerk@metrocast.net,7 Old Bay Road,New Durham,NH,3855,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
New Hampton Town,Town Clerk,ocd-division/country:us/state:nh/place:new_hampton,www.new-hampton.nh.us,(603) 744-8454,ctorsey@new-hampton.nh.us,86 Town House Road,New Hampton,NH,3256,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
New Ipswich Town,Town Clerk,ocd-division/country:us/state:nh/place:new_ipswich,www.townofnewipswich.org,(603) 878-2772,townclerk@townofnewipswich.org,175 Turnpike Road,New Ipswich,NH,3071,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
New London Town,Town Clerk,ocd-division/country:us/state:nh/place:new_london,www.nl-nh.com,(603) 526-4821,tctc@nl-nh.com,429 Main Street,New London,NH,3257,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Newbury Town,Town Clerk,ocd-division/country:us/state:nh/place:newbury,www.newburynh.org,(603) 763-5326,linda@newburynh.org,937 Route 103,Newbury,NH,3255,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Newfields Town,Town Clerk,ocd-division/country:us/state:nh/place:newfields,www.newfieldsnh.gov,(603) 772-5070,townclerk@newfieldsnh.gov,65 Main Street,Newfields,NH,3856,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Newington Town,Town Clerk,ocd-division/country:us/state:nh/place:newington,www.newington.nh.us,(603) 436-7640,lcoleman@townofnewingtonnh.com,205 Nimble Hill Rd,Newington,NH,3801,08:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
Newmarket Town,Town Clerk,ocd-division/country:us/state:nh/place:newmarket,www.newmarketnh.gov,(603) 659-3073,tlittlefield@newmarketnh.gov,213 South Main St,Newmarket,NH,3857,07:00:00 - 05:00,19:00:00 - 05:00,11-08-16,11-08-16
