office_name,ocd_division,description,homepage,phone,email,street,dirs,city,state,zip,start_time,end_time,start_date,end_date,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8410 Farm Road,, Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,67,"8410 Farm Road,  Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho39777224,false,true,,,,poll89807843
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6885 E Lake Mead Blvd ,, Las Vegas,NV,89156,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,68,"6885 E Lake Mead Blvd,  Las Vegas, NV 89156",,09:00 AM - 07:00 PM,,ho38679679,false,true,,,,poll80705745
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2835 S. Nellis Bl.,, Las Vegas,NV,89121,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,69,"2835 S. Nellis Bl.,  Las Vegas, NV 89121",,09:00 AM - 07:00 PM,,ho43427463,false,true,,,,poll15093532
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5975 W. Tropicana Avenue,, Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,70,"5975 W. Tropicana Avenue,  Las Vegas, NV 89103",,09:00 AM - 07:00 PM,,ho80548908,false,true,,,,poll705828
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6200 W Lone Mountain Rd,,Las Vegas,NV,89130,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,71,"6200 W Lone Mountain Rd, Las Vegas, NV 89130",,09:00 AM - 07:00 PM,,ho94763748,false,true,,,,poll89205836
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10360 Sun City Blvd,,Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,72,"10360 Sun City Blvd, Las Vegas, NV 89134",,09:00 AM - 07:00 PM,,ho39720934,false,true,,,,poll91389391
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd,,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,73,"Dr. William U. Pearson Comm. Ctr. 1625 W. Carey Ave. @ M.L. King Blvd, Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho12218854,false,true,,,,poll1891662
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2671 Las Vegas Blvd,,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,74,"2671 Las Vegas Blvd, Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho62848825,false,true,,,,poll68899416
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7390 Aliante Pkwy ,,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/28/16,10/28/16,75,"7390 Aliante Pkwy, North Las Vegas, NV 89084",,08:00 AM - 06:00 PM,,ho37566262,false,true,,,,poll89353140
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"1970 VILLAGE CENTER CIRCLE, STE. 7, ",, Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/28/16,10/28/16,76,"1970 VILLAGE CENTER CIRCLE, STE. 7,  Las Vegas, NV 89134",,09:00 AM - 07:00 PM,,ho86920050,false,true,,,,poll11013398
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5881 E. Charleston Blvd,, Las Vegas,NV,89142,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,77,"5881 E. Charleston Blvd,  Las Vegas, NV 89142",,09:00 AM - 07:00 PM,,ho39120860,false,true,,,,poll12041917
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd,, Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16,78,"10250 West Charleston Blvd,  Las Vegas, NV 89135",,08:00 AM - 06:00 PM,,ho8743303,false,true,,,,poll79049591
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,575 College Drive,,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16,79,"575 College Drive, Henderson, NV 89015",,08:00 AM - 06:00 PM,,ho4423028,false,true,,,,poll46641654
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 7271 S. Eastern Avenue,, Las Vegas,NV,89119,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16,80,"7271 S. Eastern Avenue,  Las Vegas, NV 89119",,08:00 AM - 06:00 PM,,ho23822181,false,true,,,,poll59800692
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8410 Farm Road,, Las Vegas,NV,89131,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,81,"8410 Farm Road,  Las Vegas, NV 89131",,09:00 AM - 07:00 PM,,ho39777224,false,true,,,,poll89807843
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6885 E Lake Mead Blvd ,, Las Vegas,NV,89156,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,82,"6885 E Lake Mead Blvd,  Las Vegas, NV 89156",,09:00 AM - 07:00 PM,,ho38679679,false,true,,,,poll80705745
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2835 S. Nellis Bl.,, Las Vegas,NV,89121,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,83,"2835 S. Nellis Bl.,  Las Vegas, NV 89121",,09:00 AM - 07:00 PM,,ho43427463,false,true,,,,poll15093532
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5975 W. Tropicana Avenue,, Las Vegas,NV,89103,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,84,"5975 W. Tropicana Avenue,  Las Vegas, NV 89103",,09:00 AM - 07:00 PM,,ho80548908,false,true,,,,poll705828
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4215 Spring Mountain Rd ,, Las Vegas,NV,89102,10:00:00  - 07:00,18:00:00 - 07:00,10/29/16,10/29/16,85,"4215 Spring Mountain Rd,  Las Vegas, NV 89102",,10:00 AM - 06:00 PM,,ho54925870,false,true,,,,poll4826968
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1950 J St (Lake Mead Blvd),, Las Vegas,NV,89106,09:00:00 - 07:00,17:00:00  - 07:00,10/29/16,10/29/16,86,"1950 J St (Lake Mead Blvd),  Las Vegas, NV 89106",,09:00 AM - 05:00 PM,,ho48292767,false,true,,,,poll43731164
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2671 Las Vegas Blvd,,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,87,"2671 Las Vegas Blvd, Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho62848825,false,true,,,,poll68899416
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2570 E Craig Rd,",,North Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,88,"2570 E Craig Rd, North Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho4315632,false,true,,,,poll63244356
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 9107 Del Webb Blvd ,,Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,89,"9107 Del Webb Blvd, Las Vegas, NV 89134",,09:00 AM - 07:00 PM,,ho17275828,false,true,,,,poll41968044
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9125 S Buffalo Dr,,Las Vegas,NV,89113,09:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16,90,"9125 S Buffalo Dr, Las Vegas, NV 89113",,09:00 AM - 06:00 PM,,ho94101298,false,true,,,,poll6820255
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7390 Aliante Pkwy ,,North Las Vegas,NV,89084,08:00:00 - 07:00,18:00:00 - 07:00,10/29/16,10/29/16,91,"7390 Aliante Pkwy, North Las Vegas, NV 89084",,08:00 AM - 06:00 PM,,ho37566262,false,true,,,,poll89353140
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"1970 VILLAGE CENTER CIRCLE, STE. 7, ",, Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/29/16,10/29/16,92,"1970 VILLAGE CENTER CIRCLE, STE. 7,  Las Vegas, NV 89134",,09:00 AM - 07:00 PM,,ho86920050,false,true,,,,poll11013398
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5881 E. Charleston Blvd,, Las Vegas,NV,89142,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16,93,"5881 E. Charleston Blvd,  Las Vegas, NV 89142",,09:00 AM - 07:00 PM,,ho39120860,false,true,,,,poll12041917
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10250 West Charleston Blvd,, Las Vegas,NV,89135,08:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,94,"10250 West Charleston Blvd,  Las Vegas, NV 89135",,08:00 AM - 06:00 PM,,ho8743303,false,true,,,,poll79049591
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,575 College Drive,,Henderson,NV,89015,08:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,95,"575 College Drive, Henderson, NV 89015",,08:00 AM - 06:00 PM,,ho4423028,false,true,,,,poll46641654
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 6885 E Lake Mead Blvd ,, Las Vegas,NV,89156,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16,96,"6885 E Lake Mead Blvd,  Las Vegas, NV 89156",,09:00 AM - 07:00 PM,,ho38679679,false,true,,,,poll80705745
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4215 Spring Mountain Rd ,, Las Vegas,NV,89102,10:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,97,"4215 Spring Mountain Rd,  Las Vegas, NV 89102",,10:00 AM - 06:00 PM,,ho54925870,false,true,,,,poll4826968
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,25 E. Shelbourne Ave..,, Las Vegas,NV,89123,10:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,98,"25 E. Shelbourne Ave..,  Las Vegas, NV 89123",,10:00 AM - 06:00 PM,,ho93013516,false,true,,,,poll25645060
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2671 Las Vegas Blvd,,Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16,99,"2671 Las Vegas Blvd, Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho62848825,false,true,,,,poll68899416
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2570 E Craig Rd,",,North Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16,100,"2570 E Craig Rd, North Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho4315632,false,true,,,,poll63244356
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 9107 Del Webb Blvd ,,Las Vegas,NV,89134,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16,101,"9107 Del Webb Blvd, Las Vegas, NV 89134",,09:00 AM - 07:00 PM,,ho17275828,false,true,,,,poll41968044
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,9125 S Buffalo Dr,,Las Vegas,NV,89113,09:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,102,"9125 S Buffalo Dr, Las Vegas, NV 89113",,09:00 AM - 06:00 PM,,ho94101298,false,true,,,,poll6820255
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 3150 N. Buffalo Dr,,Las Vegas,NV,89128,10:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,103,"3150 N. Buffalo Dr, Las Vegas, NV 89128",,10:00 AM - 06:00 PM,,ho7555695,false,true,,,,poll42151842
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10590 Southern Highlands Pkwy ,,Las Vegas,NV,89141,09:00:00 - 07:00,19:00:00 - 07:00,10/30/16,10/30/16,104,"10590 Southern Highlands Pkwy, Las Vegas, NV 89141",,09:00 AM - 07:00 PM,,ho94104279,false,true,,,,poll55804321
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2450 Hampton Rd,,Henderson,NV,89052,09:00:00 - 07:00,18:00:00 - 07:00,10/30/16,10/30/16,105,"2450 Hampton Rd, Henderson, NV 89052",,09:00 AM - 06:00 PM,,ho32491222,false,true,,,,poll29333200
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5175 E Tropicana Ave,,Las Vegas,NV,89122,10:30:00 - 07:00,17:30:00 - 07:00,10/30/16,10/30/16,106,"5175 E Tropicana Ave, Las Vegas, NV 89122",,10:30 AM - 05:30 PM,,ho45782703,false,true,,,,poll87627973
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4055 South Durango Drive,,Las Vegas,NV,89147,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,10/31/16,107,"4055 South Durango Drive, Las Vegas, NV 89147",,08:00 AM - 06:00 PM,,ho40640384,false,true,,,,poll63108187
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,190 N Boulder Hwy,,Henderson,NV,89015,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,108,"190 N Boulder Hwy, Henderson, NV 89015",,09:00 AM - 07:00 PM,,ho10113401,false,true,,,,poll92315722
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,401 California Ave,,Boulder City,NV,89005,7:00:00 - 07:00,18:00:00 - 07:00,10/31/16,10/31/16,109,"401 California Ave, Boulder City, NV 89005",,07:00 AM - 06:00 PM,,ho83817282,false,true,,,,poll36659412
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6601 N Buffalo Dr,,Las Vegas,NV,89131,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,10/31/16,110,"6601 N Buffalo Dr, Las Vegas, NV 89131",,08:00 AM - 06:00 PM,,ho86156047,false,true,,,,poll14918830
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,700 College Dr,,Henderson,NV,89002,09:00:00 - 07:00,16:30:00 - 07:00,10/31/16,10/31/16,111,"700 College Dr, Henderson, NV 89002",,09:00 AM - 04:30 PM,,ho92212670,false,true,,,,poll15477191
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1950 J St (Lake Mead Blvd),,Las Vegas,NV,89106,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,112,"1950 J St (Lake Mead Blvd), Las Vegas, NV 89106",,09:00 AM - 07:00 PM,,ho18610126,false,true,,,,poll60198549
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,25 E Shelbourne Ave,,Las Vegas,NV,89123,10:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,113,"25 E Shelbourne Ave, Las Vegas, NV 89123",,10:00 AM - 07:00 PM,,ho50923978,false,true,,,,poll70543168
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,8200 W Sahara Ave,,Las Vegas,NV,89117,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,114,"8200 W Sahara Ave, Las Vegas, NV 89117",,09:00 AM - 07:00 PM,,ho74359974,false,true,,,,poll27249242
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2570 E Craig Rd,",,North Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,115,"2570 E Craig Rd, North Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho4315632,false,true,,,,poll63244356
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,320 N Moapa Valley Blvd ,,Overton,NV,89040,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,10/31/16,116,"320 N Moapa Valley Blvd, Overton, NV 89040",,08:00 AM - 06:00 PM,,ho4693055,false,true,,,,poll89773122
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 3150 N. Buffalo Dr,,Las Vegas,NV,89128,10:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,117,"3150 N. Buffalo Dr, Las Vegas, NV 89128",,10:00 AM - 07:00 PM,,ho7555695,false,true,,,,poll42151842
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10590 Southern Highlands Pkwy ,,Las Vegas,NV,89141,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,118,"10590 Southern Highlands Pkwy, Las Vegas, NV 89141",,09:00 AM - 07:00 PM,,ho94104279,false,true,,,,poll55804321
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2450 Hampton Rd,,Henderson,NV,89052,09:00:00 - 07:00,18:00:00 - 07:00,10/31/16,10/31/16,119,"2450 Hampton Rd, Henderson, NV 89052",,09:00 AM - 06:00 PM,,ho32491222,false,true,,,,poll29333200
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,5175 E Tropicana Ave,,Las Vegas,NV,89122,10:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,120,"5175 E Tropicana Ave, Las Vegas, NV 89122",,10:00 AM - 07:00 PM,,ho45782703,false,true,,,,poll87627973
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,7290 W Lake Mead Blvd ,,Las Vegas,NV,89128,09:00:00 - 07:00,19:00:00 - 07:00,10/31/16,10/31/16,121,"7290 W Lake Mead Blvd, Las Vegas, NV 89128",,09:00 AM - 07:00 PM,,ho69813537,false,true,,,,poll71208103
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4055 South Durango Drive,,Las Vegas,NV,89147,08:00:00 - 07:00,18:00:00 - 07:00,11/1/16,11/1/16,122,"4055 South Durango Drive, Las Vegas, NV 89147",,08:00 AM - 06:00 PM,,ho40640384,false,true,,,,poll63108187
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,401 California Ave,,Boulder City,NV,89005,7:00:00 - 07:00,18:00:00 - 07:00,11/1/16,11/1/16,123,"401 California Ave, Boulder City, NV 89005",,07:00 AM - 06:00 PM,,ho83817282,false,true,,,,poll36659412
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,6601 N Buffalo Dr,,Las Vegas,NV,89131,08:00:00 - 07:00,18:00:00 - 07:00,11/1/16,11/1/16,124,"6601 N Buffalo Dr, Las Vegas, NV 89131",,08:00 AM - 06:00 PM,,ho86156047,false,true,,,,poll14918830
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,700 College Dr,,Henderson,NV,89002,09:00:00 - 07:00,16:30:00 - 07:00,11/1/16,11/1/16,125,"700 College Dr, Henderson, NV 89002",,09:00 AM - 04:30 PM,,ho92212670,false,true,,,,poll15477191
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,1950 J St (Lake Mead Blvd),,Las Vegas,NV,89106,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,126,"1950 J St (Lake Mead Blvd), Las Vegas, NV 89106",,09:00 AM - 07:00 PM,,ho18610126,false,true,,,,poll60198549
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,"2570 E Craig Rd,",,North Las Vegas,NV,89030,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,127,"2570 E Craig Rd, North Las Vegas, NV 89030",,09:00 AM - 07:00 PM,,ho4315632,false,true,,,,poll63244356
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,150 N Yucca St ,,Mesquite,NV,89027,08:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,128,"150 N Yucca St, Mesquite, NV 89027",,08:00 AM - 07:00 PM,,ho36526216,false,true,,,,poll33495099
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 3150 N. Buffalo Dr,,Las Vegas,NV,89128,10:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,129,"3150 N. Buffalo Dr, Las Vegas, NV 89128",,10:00 AM - 07:00 PM,,ho7555695,false,true,,,,poll42151842
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,4025 Allen Lane,,North Las Vegas,NV,89031,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,130,"4025 Allen Lane, North Las Vegas, NV 89031",,09:00 AM - 07:00 PM,,ho46136884,false,true,,,,poll68568067
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov, 1951 Silver Springs Pkwy,,Las Vegas,NV,89074,08:00:00 - 07:00,18:00:00 - 07:00,11/1/16,11/1/16,131,"1951 Silver Springs Pkwy, Las Vegas, NV 89074",,08:00 AM - 06:00 PM,,ho77601018,false,true,,,,poll15067507
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,10590 Southern Highlands Pkwy ,,Las Vegas,NV,89141,09:00:00 - 07:00,19:00:00 - 07:00,11/1/16,11/1/16,132,"10590 Southern Highlands Pkwy, Las Vegas, NV 89141",,09:00 AM - 07:00 PM,,ho94104279,false,true,,,,poll55804321
Clark County,ocd-division/country:us/state:nv/county:clark,Clark County NV,http://www.clarkcountynv.gov/vote,(702) 455-8683,elinfo@clarkcountynv.gov,2450 Hampton Rd,,Henderson,NV,89052,09:00:00 - 07:00,18:00:00 - 07:00,11/1/16,11/1/16,133,"2450 Hampton Rd, Henderson, NV 89052",,09:00 AM - 06:00 PM,,ho32491222,false,true,,,,poll29333200
