name,county,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_time,end_time,start_date,end_date,days_times_open,id
Tooele County Clerk's Office,Tooele,Tooele County Clerk's Office,47 So. Main,Room #310 And #318,,Tooele,UT,84074,,,08:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 08:00 AM to 06:00 PM<br>10/26/2016 08:00 AM to 06:00 PM<br>10/27/2016 08:00 AM to 06:00 PM<br>10/28/2016 08:00 AM to 06:00 PM<br>10/31/2016 08:00 AM to 06:00 PM<br>11/01/2016 08:00 AM to 06:00 PM<br>11/02/2016 08:00 AM to 06:00 PM<br>11/03/2016 08:00 AM to 06:00 PM<br>11/04/2016 08:00 AM to 05:00 PM<br>,1.60E+11
Tooele County Clerk's Office,Tooele,Tooele County Clerk's Office,47 So. Main,Room #310 And #318,,Tooele,UT,84074,,,08:00:00 - 07:00,18:00:00 - 07:00,10/31/16,11/3/16,,
Tooele County Clerk's Office,Tooele,Tooele County Clerk's Office,47 So. Main,Room #310 And #318,,Tooele,UT,84074,,,08:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Taylorsville City Hall (EV) AM,Salt Lake,Taylorsville City Hall,2600 W Taylorsville Blvd,5325 S,,Taylorsville,UT,84129,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Taylorsville City Hall (EV) AM,Salt Lake,Taylorsville City Hall,2600 W Taylorsville Blvd,5325 S,,Taylorsville,UT,84129,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
West Valley City Hall (EV) PM,Salt Lake,West Valley City Hall,3600 S Constitution Blvd,2700 W,,West Valley City,UT,84119,,,15:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>11/02/2016 03:00 PM to 07:00 PM<br>11/03/2016 03:00 PM to 07:00 PM<br>11/04/2016 03:00 PM to 05:00 PM<br>,1.60E+11
West Valley City Hall (EV) PM,Salt Lake,West Valley City Hall,3600 S Constitution Blvd,2700 W,,West Valley City,UT,84119,,,15:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16,,
Salt Lake County Gov Bldg (EV),Salt Lake,Salt Lake County Gov Bldg,2001 S State St 100 E,,,Salt Lake City,UT,84114,,,08:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 08:00 AM to 05:00 PM<br>10/26/2016 08:00 AM to 05:00 PM<br>10/27/2016 08:00 AM to 05:00 PM<br>10/28/2016 08:00 AM to 05:00 PM<br>10/29/2016 10:00 AM to 02:00 PM<br>10/31/2016 08:00 AM to 05:00 PM<br>11/01/2016 08:00 AM to 05:00 PM<br>11/02/2016 08:00 AM to 05:00 PM<br>11/03/2016 08:00 AM to 05:00 PM<br>11/04/2016 08:00 AM to 05:00 PM<br>,1.60E+11
Salt Lake County Gov Bldg (EV),Salt Lake,Salt Lake County Gov Bldg,2001 S State St 100 E,,,Salt Lake City,UT,84114,,,08:00:00 - 07:00,14:00:00 - 07:00,10/29/16,10/29/16,,
Salt Lake County Gov Bldg (EV),Salt Lake,Salt Lake County Gov Bldg,2001 S State St 100 E,,,Salt Lake City,UT,84114,,,08:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
Lehi City Hall,Utah,Lehi City Hall,153 N 100 E,,,Lehi,UT,84043,,,10:00:00 - 07:00,18:00:00 - 07:00,10/25/16,10/27/16,10/25/2016 10:00 AM to 04:00 PM<br>10/26/2016 10:00 AM to 06:00 PM<br>10/27/2016 10:00 AM to 06:00 PM<br>10/28/2016 10:00 AM to 05:00 PM<br>10/31/2016 10:00 AM to 06:00 PM<br>11/01/2016 10:00 AM to 04:00 PM<br>11/02/2016 10:00 AM to 06:00 PM<br>11/03/2016 10:00 AM to 06:00 PM<br>11/04/2016 10:00 AM to 05:00 PM<br>,1.60E+11
Lehi City Hall,Utah,Lehi City Hall,153 N 100 E,,,Lehi,UT,84043,,,10:00:00 - 07:00,17:00:00 - 07:00,10/28/16,10/28/16,,
Lehi City Hall,Utah,Lehi City Hall,153 N 100 E,,,Lehi,UT,84043,,,10:00:00 - 07:00,18:00:00 - 07:00,10/31/16,10/31/16,,
Lehi City Hall,Utah,Lehi City Hall,153 N 100 E,,,Lehi,UT,84043,,,10:00:00 - 07:00,16:00:00 - 07:00,11/1/16,11/1/16,,
Lehi City Hall,Utah,Lehi City Hall,153 N 100 E,,,Lehi,UT,84043,,,10:00:00 - 07:00,18:00:00 - 07:00,11/2/16,11/3/16,,
Lehi City Hall,Utah,Lehi City Hall,153 N 100 E,,,Lehi,UT,84043,,,10:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Lindon Community Center,Utah,Lindon Community Center,25 N Main St,,,Lindon,UT,84042,,,13:00:00 - 07:00,17:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 01:00 PM to 05:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 01:00 PM to 05:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11
Lindon Community Center,Utah,Lindon Community Center,25 N Main St,,,Lindon,UT,84042,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,11/4/16,,
UFA Fire Station Rosecrest 123 (EV) PM,Salt Lake,UFA Fire Station Rosecrest 123,4850 W Patriot Ridge Dr,14620 S,,Herriman,UT,84096,,,15:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>11/02/2016 03:00 PM to 07:00 PM<br>11/03/2016 03:00 PM to 07:00 PM<br>11/04/2016 03:00 PM to 05:00 PM<br>,1.60E+11
UFA Fire Station Rosecrest 123 (EV) PM,Salt Lake,UFA Fire Station Rosecrest 123,4850 W Patriot Ridge Dr,14620 S,,Herriman,UT,84096,,,15:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16,,
UFA Fire Station Rosecrest 123 (EV) PM,Salt Lake,UFA Fire Station Rosecrest 123,4850 W Patriot Ridge Dr,14620 S,,Herriman,UT,84096,,,15:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
Kearns Senior Center (EV) AM,Salt Lake,Kearns Senior Center (EV) AM,4850 W 4715 S,,,Kearns,UT,84118,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Kearns Senior Center (EV) AM,Salt Lake,Kearns Senior Center (EV) AM,4850 W 4715 S,,,Kearns,UT,84118,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Holladay City Hall (EV) AM,Salt Lake,Holladay City Hall,4580 S 2300 E,,,Holladay,UT,84117,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Holladay City Hall (EV) AM,Salt Lake,Holladay City Hall,4580 S 2300 E,,,Holladay,UT,84117,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Millcreek Senior Center (EV) AM,Salt Lake,Millcreek Senior Center,2266 E Evergreen Ave,3435 S,,Millcreek,UT,84109,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Millcreek Senior Center (EV) AM,Salt Lake,Millcreek Senior Center,2266 E Evergreen Ave,3435 S,,Millcreek,UT,84109,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Murray City Hall (EV) AM,Salt Lake,Murray City Hall,5025 S State St (100 E),100 E,,Murray,UT,84107,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Murray City Hall (EV) AM,Salt Lake,Murray City Hall,5025 S State St (100 E),,,Murray,UT,84107,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
South Jordan City Fire Station 62 (EV) PM,Salt Lake,South Jordan City Fire Station 62,4022 W South Jordan Pkwy (10400 S),,,South Jordan,UT,84095,,,15:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>11/02/2016 03:00 PM to 07:00 PM<br>11/03/2016 03:00 PM to 07:00 PM<br>11/04/2016 03:00 PM to 05:00 PM<br>,1.60E+11
South Jordan City Fire Station 62 (EV) PM,Salt Lake,South Jordan City Fire Station 62,4022 W South Jordan Pkwy (10400 S),,,South Jordan,UT,84095,,,15:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16,,
South Jordan City Fire Station 62 (EV) PM,Salt Lake,South Jordan City Fire Station 62,4022 W South Jordan Pkwy (10400 S),,,South Jordan,UT,84095,,,15:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
River's Bend Northwest Senior Center (EV) AM,Salt Lake,River's Bend Northwest Senior Center,1300 W 300 N,,,Salt Lake City,UT,84116,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
River's Bend Northwest Senior Center (EV) AM,Salt Lake,River's Bend Northwest Senior Center,1300 W 300 N,,,Salt Lake City,UT,84116,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Sandy Library (EV) AM,Salt Lake,Sandy Library,10100 S Petunia Way (1410 E),,,Sandy,UT,84092,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Sandy Library (EV) AM,Salt Lake,Sandy Library,10100 S Petunia Way (1410 E),,,Sandy,UT,84092,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Cottonwood Heights City Hall (EV) AM,Salt Lake,Cottonwood Heights City Hall,2277 E Bengal Blvd (7600 S),,,Cottonwood Heights,UT,84121,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
Cottonwood Heights City Hall (EV) AM,Salt Lake,Cottonwood Heights City Hall,2277 E Bengal Blvd (7600 S),,,Cottonwood Heights,UT,84121,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
West Jordan City Hall (EV) AM,Salt Lake,West Jordan City Hall,8000 S Redwood Rd (1700 W),,,West Jordan,UT,84088,,,10:00:00 - 07:00,14:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 10:00 AM to 02:00 PM<br>10/27/2016 10:00 AM to 02:00 PM<br>10/28/2016 10:00 AM to 02:00 PM<br>11/02/2016 10:00 AM to 02:00 PM<br>11/03/2016 10:00 AM to 02:00 PM<br>11/04/2016 10:00 AM to 02:00 PM<br>,1.60E+11
West Jordan City Hall (EV) AM,Salt Lake,West Jordan City Hall,8000 S Redwood Rd (1700 W),,,West Jordan,UT,84088,,,10:00:00 - 07:00,14:00:00 - 07:00,11/2/16,11/4/16,,
Draper City Hall (EV) PM,Salt Lake,Draper City Hall,1020 E Pioneer Rd (12450 S),,,Draper,UT,84020,,,15:00:00 - 07:00,19:00:00 - 07:00,10/26/16,10/28/16,10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>11/02/2016 03:00 PM to 07:00 PM<br>11/03/2016 03:00 PM to 07:00 PM<br>11/04/2016 03:00 PM to 05:00 PM<br>,1.60E+11
Draper City Hall (EV) PM,Salt Lake,Draper City Hall,1020 E Pioneer Rd (12450 S),,,Draper,UT,84020,,,15:00:00 - 07:00,19:00:00 - 07:00,11/2/16,11/3/16,,
Draper City Hall (EV) PM,Salt Lake,Draper City Hall,1020 E Pioneer Rd (12450 S),,,Draper,UT,84020,,,15:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,
