office-name,official-title,ocd-division,homepage-url,phone,email,Preceinct (if noted),Location Name,street,directions,city,state,zip,start_time,end_time,
Davidson County,County Election Commission,ocd-division/country:us/state:tn/county:davidson,http://nashville.gov/vote,(615) 862-8800,vote.questions@nashville.gov,3502,South Harpeth Church of Christ,8727 Old Harding Pike,,Nashville,TN,37221,,,
Davidson County,County Election Commission,ocd-division/country:us/state:tn/county:davidson,http://nashville.gov/vote,(615) 862-8800,vote.questions@nashville.gov,3503,Harpeth Valley Elementary School,7840 Old Harding Pike,,Nashville,TN,37221,,,
Davidson County,County Election Commission,ocd-division/country:us/state:tn/county:davidson,http://nashville.gov/vote,(615) 862-8800,vote.questions@nashville.gov,3504,Bellevue United Methodist Church,7501 Old Harding Pike,,Nashville,TN,37221,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,11,Bath Springs Community Center,3625 Highway 114 West,,Bath Springs,TN,38311,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,21,Liberty Methodist Church,6448 Liberty Road,,Scotts Hill,TN,38374,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,22,Scotts Hill Elementary School,1 Highway 114 South,,Scotts Hill,TN,38374,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,31,Beacon Pentecostal Church,3116 Highway 412 West,,Parsons,TN,38363,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,32,Decatursville Elementary School,820 South West Street,,Decatursville,TN,38329,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,41,Decatursville Elementary School,820 South West Street,,Decatursville,TN,38329,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,51,Parsons Municipal Building,535 Tennessee Avenue,,Parsons,TN,38363,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,61,Parsons Municipal Building,535 Tennessee Avenue,,Parsons,TN,38363,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,71,North Utility District Building,6448 Highway 641 North,,Parsons,TN,38363,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,72,Perryville Community Center,57 Cody Lane,,Parsons,TN,38363,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,81,Parsons Municipal Building,535 Tennessee Avenue,,Parsons,TN,38363,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,91,Bear Creek Baptist Church,61 Bear Creek Access Road,,Parsons,TN,38363,,,
Decatur County,County Election Commission,ocd-division/country:us/state:tn/county:decatur,,(731) 852-2911,decatur.commission@tn.gov,92,Hydro Community Center,3568 Holladay Road,,Holladay,TN,38341,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,01-1,"Sandlin Building,","102 Fairgrounds Rd,",,Alexandria,,37012,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,01-2,Temperance Hall Community Center,2760 Temperence Hall Rd.,,Liberty,,37095,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,01-3,Edgar Evins State Park,1630 Edgar Evins Park Rd.,,Silver Point,,38582,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,02-1,Liberty Community Center,140 W. Main St.,,Liberty,,37095,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,02-2,Dowelltown Community Center,41 Church St.,,Dowelltown,,37059,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,02-3,Snow Hill Community Centers,821 Snow Hill Rd.,,Dowelltown,,37059,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,03-1,Smithville Church of God,801 W. Broad St.,,Smithville,,37166,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,04-2,Rock Castle,9430 Goff Ridge Rd.,Austin Bottom Fire Hall,Baxter,,38544,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,04-3,Courthouse,1 Public Square,Basement Courtroom,Smithville,,37166,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,05-1,Johnson Chapel Community Center,1143 Johnson Chapel Rd.,,Sparta,,38583,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,05-2,County Complex,"732 S. Congress Blvd.,",,Smithville,,37166,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,06-1,Belk Community Center,483 Wright Bend Rd.,,Smithville,,37166,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,06-2,Keltonburg Community Center,3561 Keltonburg Rd,,Smithville,,37166,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,06-3,"Blue Springs Community Center,",3059 Blue Springs Rd.,,Smithville,,37166,,,
Dekalb County,County Election Commission,ocd-division/country:us/state:tn/county:dekalb,http://dekalbelections.com/,(615) 597-4146,dekalbelections@dtccom.net,07-1,Church of Christ Annex,520 Dry Creek Rd.,,Smithville,,37166,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,11,Collier House,Court Square,,Charlotee,TN,37036,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,12,Sylvia Baptist Church,1415 Old Sylvia Rd.,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,21,Eno Community Center,801 Eno Rd.,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,22,Tennessee City Firehall,4605 Hwy 70 West,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,31,Calvary Chapel,11546 Yellow Creek Road ,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,32,Vanleer Town Hall,4455 Hwy 49 West,,Vanleer,TN,37181,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,41,Jackson Chapel Community Center,Hwy 49 E & Bowker Rd.,,Charlotte,TN,37036,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,51,Bibb Civic Center,1054 Old Charlotte Rd.,,White Bluff,TN,37187,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,61,Burns Church of Christ,2718 Church St.,,Burns,TN,37029,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,62,Porter Community Center,1600 Abiff Rd.,,Dickson,TN,37025,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,71,Pomona Baptist Church,974 Pomona Rd.,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,81,Senior Citizens Center,206 West Walnut St.,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,91,Restoration Church,600 Henslee Dr.,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,101,First Baptist Church,2501 E Highway 70,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,111,Tennsco Community Center,115 Tennsco Drive,,Dickson,TN,37055,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,121,White Bluff Community Center,4365 Hwy 70 E,,White Bluff,TN,37187,,,
Dickson County,County Election Commission,ocd-division/country:us/state:tn/county:dickson,http://www.dicksoncountyelection.com/,(615) 671-1146,rhagewood@dicksoncountytn.gov,122,Greater Things Baptist Church,2612 White Bluff Rd.,,Burns,TN,37029,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,1,Bonicord Fire Department,161 Firehouse Lane,,Dyersburg,TN,38034,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,2,Fowlkes Fire Department,645 Hwy 210 South,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,4,Oakview Recreational Center,614 Oakview Drive,,Newbern,TN,38059,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,5,Tatumville Fire Department,1030 Tatumville Rd.,,Newbern,TN,38059,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,6,Trimble Community Center,40 South Street,,Trimble,TN,38259,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,7,Roellen Baptist Church,5868 Hwy 104 E,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,8,Millsfield Fire Department,5819 Millsfield Hwy,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,9,Old Elementary School,78 Sandy Lane,,Bogata,TN,38080,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,10,Baptist Church,9 Magnolia St.,,Finley,TN,38030,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,11,Lenox Fire Department,255 Boothspoint Rd.,,Lenox,TN,38047,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,12,Old Dyer County Central School,1400 Hornbrook St.,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,15,First United Methoidist Church New Family Life Center on Elm Avenue,415 Elm St.,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,16,County Complex,151 Everett Avenue,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,17,Community Center,1102 Shelby Dr.,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,18,Family Living Center Fairgrounds,296 James H Rice Rd.,,Dyersburg,TN,38024,,,
Dyer County,County Election Commission,ocd-division/country:us/state:tn/county:dyer,http://dyervote.com/,(731) 286-4268,dcelect1@bellsouth.net,19,First Baptist Church New Family Living Center on McGaughey St.,220 McGaughey St.,,Dyersburg,TN,38024,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,1,1st Methodist Church CAC,205 S. East St.,,Somerville,TN,36068,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,2,Fire Department,905 Mt. Moriah Dr.,,Somerville,TN,36068,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,3,Jefferson Elemenary School,13955 Hwy. 59,,Somerville,TN,36068,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,4,Braden United Methodist Church,230 Hwy 59,,Mason,TN,38049,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,5,Gallaway 1st Baptist Church,377 Main St.,,Gallaway,TN,38036,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,6,West Jr. High School,13100 Hwy 194,,Oakland,TN,38060,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,7,First Baptist Church,17675 Hwy 196,,Eads,TN,38028,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,8,Sheriff's Sub Station,11410 Hwy 196,,Piperton,TN,38017,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,9,Piperton City Hall,3575 Highway 196,,Piperton,TN,38017,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,10,Rossville City Hall,360 Morrison Rd.,,Rossville,TN,38066,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,11,Southwest Elementary School,8095 Hwy 194,,Williston,TN,38076,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,12,Williston City Hall,15415 Hwy 193,,Williston,TN,38076,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,13,LaGrange Moscow Elementary School,15655 Hwy 57,,Moscow,TN,38057,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,14,Dist. 15 Fire Dept,10225 Jernigan Dr.,,Somerville,TN,36068,,,
Fayette County,County Election Commission,ocd-division/country:us/state:tn/county:fayette,http://fayettetn.us/,(901) 465-5223,fayetteco@bellsouth.net,15,LaGrange Civic Center,14600 Lagrange Rd.,,LaGrange,TN,38046,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,ALR,Allardt Elementary School,220 Portland Ave.,,Alladrt,TN,38504,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,ART,Allardt Elementary School,220 Portland Ave.,,Alladrt,TN,38504,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,BAN,South Fentress Elementary School,5018 Wilder Rd.,,Grimsley,TN,38565,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,CCT,Jamestown Community Center,629 N Main St.,,Jamestown,TN,38556,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,CHS,Fentress County Library,306 S Main St.,,Jamestown,TN,38556,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,CLR,South Fentress Elementary School,5018 Wilder Rd.,,Grimsley,TN,38565,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,CRO,Pine Haven Elementary School,800 N. York Hwy,,Jamestown,TN,38556,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,EJT,Pine Haven Elementary School,800 N. York Hwy,,Jamestown,TN,38556,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,GRM,South Fentress Elementary School,5018 Wilder Rd.,,Grimsley,TN,38565,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,PHA,Pine Haven Elementary School,800 N. York Hwy,,Jamestown,TN,38556,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,PMA,Pall Mall Fire Hall,2831 N. York Hwy,,Pall Mall,TN,38577,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,TIN,Allardt Elementary School,220 Portland Ave.,,Alladrt,TN,38504,,,
Fentress County,County Election Commission,ocd-division/country:us/state:tn/county:fentress,,(931) 879-7162,fentress.commission@tn.gov,WFE,West Fentress Fire Hall,3128 Livingston Hwy,,Jamestown,TN,38556,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,101,Franklin County Annex,839 Dinah Shore Blvd.,Suite 1,Winchester,TN,37398,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,201,Clark Memorial School,500 North Jefferson,,Winchester,TN,37398,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,301,Broadview School,4980 Lynchburg Rd.,,Winchester,TN,37398,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,302,Huntland Community Center,100 Moore Lane,,Huntland,TN,37345,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,303,Walnut Grove  United Methodist Church Gym,980 Walnut Grove Rd.,,Belvidere,TN,37306,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,401,Belvidere Community Center,349 Belvidere Rd.,,Belvidere,TN,37306,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,402,Cowan Elementary School,501 Cumberland St. E,,Cowan,TN,37318,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,403,Liberty Community Center,3251 Holders Cemetary Rd.,,Winchester,TN,37398,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,501,Keith Springs Community Center,219 Iron Gap Rd.,,Belvidere,TN,37306,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,502,Sewanee Elementary School,209 University Ave.,,Sewanee,TN,37375,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,503,Sherwood Community Center,10225 Sherwood Rd.,,Sherwood,TN,37376,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,601,Alto/ Oak Grive Fire Dept,8375 Old Alto Hwy,,Decherd,TN,37324,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,602,Capitol Hill Community Center,5601 AEDC Rd.,,WINCHESTER,TN,37398,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,603,UTSI / FC Business Development Center,1940 Elk River Dam Rd.,,Tullahoma,TN,37388,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,701,North Lake Elementary School,10626 Old Tullahoma Hwy,,Tullahoma,TN,37388,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,702,Center Grove / Winchester Springs Water District,40 Pleasant Grove Rd.,,Estill Springs,TN,37330,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,801,Decherd Elementary School,401 S Bratten St.,,Decherd,TN,37341,,,
Franklin County,County Election Commission,ocd-division/country:us/state:tn/county:franklin,http://www.franklincotn.us/departments/election_commission/index.html,(931) 967-1893,margaret.ottley@franklincotn.us,802,Estill Springs Community Center,202 Eastbrook Rd.,,Estill Springs,TN,37330,,,
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,1,Medina 1st Methodist Church,500 West Church St.,,Medina,TN,38355,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,2,Sitka Church of Christ,13 Sitka Rd.,,Milan,TN,38358,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,4,Gibson High School Gym ,Parker St,,Gibson,TN,38343,,,doesn't have an address in google maps or anywhere else
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,6,Humboldt Church of Christ,1515 North 30th Avenue,,Humboldt,TN,38343,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,7,Bailey Park,22nd Avenue,,Humboldt,TN,38343,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,8,St. James Baptist Church,701 Main St.,,Humboldt,TN,38343,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,9,Lane Chapel Church,1265 Gibson Wells Rd.,,Humboldt,TN,38343,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,10,Humboldt High School,2600 Viking Drive,,Humboldt,TN,38343,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,12,Oak Grove CME Church,1 Peter Smith Rd.,,Humboldt,TN,38343,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,13,Fruitland Fire Department,34 Fruitland - Eldad Rd.,,Humboldt,TN,38343,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,14,Brazil Fire Dept,383 Gibson Wells Brazil Rd.,,Trenton,TN,38382,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,17,Yorkville Community Park,111 Newbern Hwy,,Newbern,TN,38059,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,18,Kenton Youth Center,411 West College St.,,Kenton,TN,38233,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,20,Gibson County Courthouse,1 Court Square,,Trenton,TN,38382,,,confirmed via website
Gibson County,County Election Commission,ocd-division/country:us/state:tn/county:gibson,http://gibsonelections.com/,(731) 855-7669,votegibsontn@co.gibson.tn.us,22,Ed Jones Agri-Plex Building,1252 Manufacturers Row,,Trenton,TN,38382,,,confirmed via website
