office-name,official-title,ocd-division,division - description,homepage - url,phone,email,location name,street,city,state,zip,start_time,end_time,start_date,end_date
Payne County,County Clerk,ocd-division/country:us/state:ok/county:payne,Payne County OK,,405-747-8350,,,315 W 6th Ave,Stillwater,OK,74074,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Payne County,County Clerk,ocd-division/country:us/state:ok/county:payne,Payne County OK,,405-747-8350,,,315 W 6th Ave,Stillwater,OK,74074,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Pittsburg County,County Clerk,ocd-division/country:us/state:ok/county:pittsburg,Pittsburg County OK,,918-423-3877,,,109 E Carl Albert Pkwy,McAlester,OK,74501,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Pittsburg County,County Clerk,ocd-division/country:us/state:ok/county:pittsburg,Pittsburg County OK,,918-423-3877,,,109 E Carl Albert Pkwy,McAlester,OK,74501,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Pontotoc County,County Clerk,ocd-division/country:us/state:ok/county:pontotoc,Pontotoc County OK,,580-332-4534,,,131 W 13th St,Ada,OK,74820,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Pontotoc County,County Clerk,ocd-division/country:us/state:ok/county:pontotoc,Pontotoc County OK,,580-332-4534,,,131 W 13th St,Ada,OK,74820,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Pottawatomie County,County Clerk,ocd-division/country:us/state:ok/county:pottawatomie,Pottawatomie County OK,,405-273-8376,,,14101 Acme Rd,Shawnee,OK,74804,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Pottawatomie County,County Clerk,ocd-division/country:us/state:ok/county:pottawatomie,Pottawatomie County OK,,405-273-8376,,,14101 Acme Rd,Shawnee,OK,74804,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Pushmataha County,County Clerk,ocd-division/country:us/state:ok/county:pushmataha,Pushmataha County OK,,580-298-3292,,,204 SW 4th St,Tuttle,OK,73089,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Pushmataha County,County Clerk,ocd-division/country:us/state:ok/county:pushmataha,Pushmataha County OK,,580-298-3292,,,204 SW 4th St,Tuttle,OK,73089,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Roger Mills County,County Clerk,ocd-division/country:us/state:ok/county:roger_mills,Roger Mills County OK,,580-497-3330,,County Courthouse ,504 E Broadway,Hammon,OK,73650,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Roger Mills County,County Clerk,ocd-division/country:us/state:ok/county:roger_mills,Roger Mills County OK,,580-497-3330,,County Courthouse ,504 E Broadway,Hammon,OK,73650,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Rogers County,County Clerk,ocd-division/country:us/state:ok/county:rogers,Rogers County OK,,918-341-2965,,,415 W 1st St,Edmond,OK,73003,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Rogers County,County Clerk,ocd-division/country:us/state:ok/county:rogers,Rogers County OK,,918-341-2965,,,415 W 1st St,Edmond,OK,73003,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Seminole County,County Clerk,ocd-division/country:us/state:ok/county:seminole,Seminole County OK,,405-257-2786,,County Courthouse,110 S Wewoka Ave,Wewoka,OK,74884,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Seminole County,County Clerk,ocd-division/country:us/state:ok/county:seminole,Seminole County OK,,405-257-2786,,County Courthouse,110 S Wewoka Ave,Wewoka,OK,74884,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Sequoyah County,County Clerk,ocd-division/country:us/state:ok/county:sequoyah,Sequoyah County OK,,918-775-2614,,,110 E Creek Ave,Sallisaw,OK,74955,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Sequoyah County,County Clerk,ocd-division/country:us/state:ok/county:sequoyah,Sequoyah County OK,,918-775-2614,,,110 E Creek Ave,Sallisaw,OK,74955,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Stephens County,County Clerk,ocd-division/country:us/state:ok/county:stephens,Stephens County OK,,580-255-8782,,County Courthouse,101 S 11th St,Duncan,OK,73533,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Stephens County,County Clerk,ocd-division/country:us/state:ok/county:stephens,Stephens County OK,,580-255-8782,,County Courthouse,101 S 11th St,Duncan,OK,73533,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Texas County,County Clerk,ocd-division/country:us/state:ok/county:texas,Texas County OK,,580-338-7644,,Courthouse Annex,301 N Main St,Guymon,OK,73942,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Texas County,County Clerk,ocd-division/country:us/state:ok/county:texas,Texas County OK,,580-338-7644,,Courthouse Annex,301 N Main St,Guymon,OK,73942,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Tillman County,County Clerk,ocd-division/country:us/state:ok/county:tillman,Tillman County OK,,580-335-2287,,County Courthouse ,201 N Main St,Frederick,OK,73542,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Tillman County,County Clerk,ocd-division/country:us/state:ok/county:tillman,Tillman County OK,,580-335-2287,,County Courthouse ,201 N Main St,Frederick,OK,73542,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Tulsa County,County Clerk,ocd-division/country:us/state:ok/county:tulsa,Tulsa County OK,,918-596-5780,,,555 N Denver Ave,Tulsa,OK,74103,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Tulsa County,County Clerk,ocd-division/country:us/state:ok/county:tulsa,Tulsa County OK,,918-596-5780,,,555 N Denver Ave,Tulsa,OK,74103,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Wagoner County,County Clerk,ocd-division/country:us/state:ok/county:wagoner,Wagoner County OK,,918-485-2142,,,208 N Lee Ave,Wagoner,OK,74467,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Wagoner County,County Clerk,ocd-division/country:us/state:ok/county:wagoner,Wagoner County OK,,918-485-2142,,,208 N Lee Ave,Wagoner,OK,74467,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Washington County,County Clerk,ocd-division/country:us/state:ok/county:washington,Washington County OK,,918-337-2850,,,420 S Johnstone Ave,Bartlesville,OK,74003,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Washington County,County Clerk,ocd-division/country:us/state:ok/county:washington,Washington County OK,,918-337-2850,,,420 S Johnstone Ave,Bartlesville,OK,74003,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Washita County,County Clerk,ocd-division/country:us/state:ok/county:washita,Washita County OK,,580-832-3658,,,111 E Main St,Stroud,OK,74079,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Washita County,County Clerk,ocd-division/country:us/state:ok/county:washita,Washita County OK,,580-832-3658,,,111 E Main St,Stroud,OK,74079,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Woods County,County Clerk,ocd-division/country:us/state:ok/county:woods,Woods County OK,,580-327-1452,,,410 4th St,Weleetka,OK,74880,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Woods County,County Clerk,ocd-division/country:us/state:ok/county:woods,Woods County OK,,580-327-1452,,,410 4th St,Weleetka,OK,74880,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
Woodward County,County Clerk,ocd-division/country:us/state:ok/county:woodward,Woodward County OK,,580-256-3609,,County Courthouse ,1600 Main St,Woodward,OK,73801,08:00:00 - 05:00,18:00:00 - 05:00,11/3/16,11/4/16
Woodward County,County Clerk,ocd-division/country:us/state:ok/county:woodward,Woodward County OK,,580-256-3609,,County Courthouse ,1600 Main St,Woodward,OK,73801,09:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16
