office-name,official-title,types,ocd-division,division-description,homepage-url,phone,email,street,city,state,zip,mailing-street,mailing-city,mailing-state,mailing-zip
Dover-Foxcroft Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:dover-foxcroft,Dover-Foxcroft Town ME,,(207) 564-3318,,"48 Morton Avenue, Suite A",Dover-Foxcroft,ME,04426,,,,
Dresden Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dresden,Dresden Town ME,,(207) 737-4335,,534 Gardiner Road,Dresden,ME,04342,PO Box 30,Dresden,ME,04342
Drew Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:drew,Drew Plantation ME,,(207) 456-7337,,267 Center Street,Drew Plt.,ME,04497,,,,
Durham Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:durham,Durham Town ME,,(207) 353-2561,,630 Hallowell Rd,Durham,ME,04222,,,,
Dyer Brook Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:dyer_brook,Dyer Brook Town ME,,(207) 757-8302,,864 Dyer Brook Rd,Dyer Brook,ME,04747,,,,
Eagle Lake Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:eagle_lake,Eagle Lake Town ME,,(207) 444-5125,,,,ME,,PO Box 287,Eagle Lake,ME,04739
East Machias Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:east_machias,East Machias Town ME,,(207) 255-8598,,32 Cutler Road,East Machias,ME,04630,PO Box 117,East Machias,ME,04630
East Millinocket Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:east_millinocket,East Millinocket Town ME,,(207) 746-3551,,53 Main Street,East Millinocket,ME,04430,,,,
Eastbrook Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:eastbrook,Eastbrook Town ME,,(207) 565-3307,,959 Eastbrook Road,Eastbrook,ME,04634,,,,
Easton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:easton,Easton Town ME,,(207) 488-6652,,Station Road,Easton,ME,04740,PO Box 127,Easton,ME,04740
Eastport City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:eastport,Eastport City ME,,(207) 853-2300,,78 High Street,Eastport,ME,04631,,,,
Eddington Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,04428,,,,
Eddington Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:eddington,Eddington Town ME,,(207) 843-5233,,906 Main Road,Eddington,ME,04428,,,,
Edgecomb Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:edgecomb,Edgecomb Town ME,,(207) 882-7018,,PO Box 139,Edgecomb,ME,04556,,,,
Edinburg Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:edinburg,Edinburg Town ME,,(207) 732-4038,,711 Edinburg Road,Edinburg,ME,04448,,,,
Edmunds Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:edmunds,Edmunds Township ME,,(207) 726-3904,,99 Shipyard Road,Dennysville,ME,04628,,,,
Eliot Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:eliot,Eliot Town ME,,(207) 439-1817,,1333 State Road,Eliot,ME,03903,,,,
Ellsworth City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:ellsworth,Ellsworth City ME,,(207) 667-2563,,1 City Hall Plaza,Ellsworth,ME,04605,,,,
Embden Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:embden,Embden Town ME,,(207) 566-5551,,809 Embden Pond Road,Embden,ME,04958,,,,
Enfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:enfield,Enfield Town ME,,(207) 732-4270,,789 Hammett Road,Enfield,ME,04493,,,,
Etna Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:etna,Etna Town ME,,(207) 269-3551,,17 Shadow Lane,Etna,ME,04434,PO Box G,Etna,ME,04434
Eustis Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:eustis,Eustis Town ME,,(207) 246-4401,,88 Main St.,Stratton,ME,04982,PO Box 350,Stratton,ME,04982
Exeter Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:exeter,Exeter Town ME,,(207) 379-2191,,,,ME,,PO Box 59,Exeter,ME,04435
Fairfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:fairfield,Fairfield Town ME,,(207) 453-7346,,19 Lawrence Avenue,Fairfield,ME,04937,,,,
Falmouth Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:falmouth,Falmouth Town ME,,(207) 781-5253,,271 Falmouth Road,Falmouth,ME,04105,,,,
Farmingdale Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:farmingdale,Farmingdale Town ME,,(207) 582-2225,,289 Maine Ave.,Farmingdale,ME,04344,,,,
Farmington Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:farmington,Farmington Town ME,,(207) 778-6539,,153 Farmington Falls Road,Farmington,ME,04938,,,,
Fayette Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,04349,,,,
Fayette Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:fayette,Fayette Town ME,,(207) 685-4373,,2589 Main Street,Fayette,ME,04349,,,,
Fort Fairfield Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:fort_fairfield,Fort Fairfield Town ME,,(207) 472-3800,,18 Community Center Drive,Fort Fairfield,ME,04742,,,,
Fort Fairfield Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:fort_fairfield,Fort Fairfield Town ME,,(207) 472-3800,,18 Community Center Drive,Fort Fairfield,ME,04742,,,,
Fort Kent Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:fort_kent,Fort Kent Town ME,,(207) 834-3090,,416 West Main Street,Fort Kent,ME,04743,,,,
Frankfort Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:frankfort,Frankfort Town ME,,(207) 223-5546,,112 N. Searsport Road,Frankfort,ME,04438,,,,
Franklin Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:franklin,Franklin Town ME,,(207) 565-3323,,74 Hog Bay Road,Franklin,ME,04634,,,,
Franklin Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:franklin,Franklin Town ME,,(207) 565-3318,,40 Grist Mill Road,Franklin,ME,04634,,,,
Freedom Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:freedom,Freedom Town ME,,(207) 382-6177,,71 Pleasant Street,Freedom,ME,04941,,,,
Freeport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:freeport,Freeport Town ME,,(207) 865-4743,,30 Main St.,Freeport,ME,04032,,,,
Frenchboro Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:frenchboro,Frenchboro Town ME,,(207) 334-2933,,1 Executive Drive,Frenchboro,ME,04635,PO Box 100,Frenchboro,ME,04635
Frenchville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:frenchville,Frenchville Town ME,,(207) 543-7301,,285 US Rte 1,Frenchville,ME,04745,PO Box 97,Frenchville,ME,04745
Friendship Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:friendship,Friendship Town ME,,(207) 832-7644,,,,ME,,PO Box 207,Friendship,ME,04547
Frye Island Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:frye_island,Frye Island Town ME,,(207) 655-4551,,One Sunset Road,Frye Island,ME,04071,,,,
Frye Island Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:frye_island,Frye Island Town ME,,(207) 655-4551,,One Sunset Road,Frye Island,ME,04071,,,,
Fryeburg Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:fryeburg,Fryeburg Town ME,,(207) 935-2805,,16 Lovewell Pond Road,Fryeburg,ME,04037,,,,
Fryeburg Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:fryeburg,Fryeburg Town ME,,(207) 935-2805,,16 Lovewell Pond Road,Fryeburg,ME,04037,,,,
Gardiner City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:gardiner,Gardiner City ME,,(207) 582-4200,,6 Church St,Gardiner,ME,04345,,,,
Garfield Plantation,Municiple Clerk,:election,ocd-division/country:us/state:me/place:garfield,Garfield Plantation ME,,(207) 435-2142,,,,ME,,PO Box 704,Ashland,ME,04732
Garfield Plantation,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:garfield,Garfield Plantation ME,,(207) 435-6540,,258 Garfield Road,Garfield Plt.,ME,04732,,,,
Garland Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:garland,Garland Town ME,,(207) 924-3163,,5 Dexter Road,Garland,ME,04939,PO Box 36,Garland,ME,04939
Garland Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:garland,Garland Town ME,,(207) 924-3163,,5 Dexter Road,Garland,ME,04939,PO Box 36,Garland,ME,04939
Georgetown Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:georgetown,Georgetown Town ME,,(207) 371-2820,,50 Bay Point Road,Georgetown,ME,04548,PO Box 436,Georgetown,ME,04548
Gilead Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:gilead,Gilead Town ME,,(207) 836-2115,,8 Depot,Gilead,ME,04217,,,,
Glenburn Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:glenburn,Glenburn Town ME,,(207) 942-2905,,144 Lakeview Road,Glenburn,ME,04401,,,,
Glenwood Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:glenwood,Glenwood Plantation ME,,(207) 521-0343,,,,ME,,PO Box 1040,Houlton,ME,04730
Gorham Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:gorham,Gorham Town ME,,(207) 222-1670,,75 South Street,Gorham,ME,04038,,,,
Gouldsboro Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:gouldsboro,Gouldsboro Town ME,,(207) 963-5589,,59 Main Street,Prospect Harbor,ME,04669,PO Box 68,Prospect Harbor,ME,04669
Grand Isle Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:grand_isle,Grand Isle Town ME,,(207) 895-3420,,366 Main Street,Grand Isle,ME,04746,,,,
Grand Lake Stream Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:grand_lake_stream,Grand Lake Stream Plantation ME,,(207) 796-2001,,198 Milford Rd,Grand Lake Stream,ME,04637,,,,
Gray Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,04039,,,,
Gray Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:gray,Gray Town ME,,(207) 657-3339,,24 Main Street,Gray,ME,04039,,,,
Great Pond Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:great_pond,Great Pond Town ME,,(207) 584-5860,,1348 Great Pond Road,Aurora,ME,04408,PO Box 27,Aurora,ME,04408
Greenbush Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:greenbush,Greenbush Town ME,,(207) 826-2050,,132 Military Rd,Greenbush,ME,04418,PO Box 230,Greenbush,ME,04418
Greene Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:greene,Greene Town ME,,(207) 946-5146,,220 Main St,Greene,ME,04236,PO Box 510,Greene,ME,04236
Greene Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:greene,Greene Town ME,,(207) 946-5146,,220 Main St,Greene,ME,04236,PO Box 510,Greene,ME,04236
Greenville Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:greenville,Greenville Town ME,,(207) 695-2421,,7 Minden Street,Greenville,ME,04441,PO Box 1109,Greenville,ME,04441
Greenville Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:greenville,Greenville Town ME,,(207) 695-2421,,7 Minden Street,Greenville,ME,04441,PO Box 1109,Greenville,ME,04441
Greenwood Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:greenwood,Greenwood Town ME,,(207) 875-2773,,593 Gore Road,Greenwood,ME,04255,,,,
Guilford Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:guilford,Guilford Town ME,,(207) 876-2202,,4 School Street,Guilford,ME,04443,PO Box 355,Guilford,ME,04443
Hallowell City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hallowell,Hallowell City ME,,(207) 623-4021,,1 Winthrop Street,Hallowell,ME,04347,,,,
Hamlin Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hamlin,Hamlin Town ME,,(207) 868-2740,,1074 Hamlin Road,Hamlin,ME,04785,,,,
Hammond Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hammond,Hammond Town ME,,(207) 532-1104,,13 Burnt Brow Road,Hammond,ME,04730,,,,
Hampden Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hampden,Hampden Town ME,,(207) 862-3034,,106 Western Avenue,Hampden,ME,04444,,,,
Hancock Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hancock,Hancock Town ME,,(207) 422-3393,,18 Point Road,Hancock,ME,04640,PO Box 68,Hancock,ME,04640
Hanover Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hanover,Hanover Town ME,,(207) 364-8200,,21 Ferry Road,Hanover,ME,04237,PO Box 70,Hanover,ME,04237
Harmony Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:harmony,Harmony Town ME,,(207) 683-5681,,3 Water,Harmony,ME,04942,PO Box 14,Harmony,ME,04942
Harpswell Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:harpswell,Harpswell Town ME,,(207) 833-5822,,263 Mountain Road,Harpswell,ME,04079,PO Box 39,Harpswell,ME,04079
Harrington Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:harrington,Harrington Town ME,,(207) 483-2061,,114 East Main Street,Harrington,ME,04643,PO Box 142,Harrington,ME,04643
Harrison Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:harrison,Harrison Town ME,,(207) 583-2241,,20 Front St,Harrison,ME,04040,PO Box 300,Harrison,ME,04040
Hartford Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hartford,Hartford Town ME,,(207) 388-2674,,1196 Main Street,Hartford,ME,04220,,,,
Hartland Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hartland,Hartland Town ME,,(207) 938-4401,,21 Academy,Hartland,ME,04943,PO Box 280,Hartland,ME,04943
Haynesville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:haynesville,Haynesville Town ME,,(207) 448-2239,,,,ME,,PO Box 116,Wytopitlock,ME,04497
Hebron Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hebron,Hebron Town ME,,(207) 966-3284,,351 Paris Road,Hebron,ME,04238,PO Box 304,Hebron,ME,04238
Hermon Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:hermon,Hermon Town ME,,(207) 848-1010,,333 Billings Road,Hermon,ME,04401,PO Box 6300,Hermon,ME,04401
Hermon Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:hermon,Hermon Town ME,,(207) 848-1010,,333 Billings Road,Hermon,ME,04401,PO Box 6300,Hermon,ME,04401
Hersey Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hersey,Hersey Town ME,,(207) 528-2215,,,,ME,,PO Box 236,Patten,ME,04765
Highland Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:highland,Highland Plantation ME,,(207) 628-4234,,130 Howard Hill Road,Highland Plantation,ME,04961,,,,
Hiram Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hiram,Hiram Town ME,,(207) 625-4663,,25 Allard Circle,Hiram,ME,04041,,,,
Hodgdon Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hodgdon,Hodgdon Town ME,,(207) 532-6498,,179 Hodgdon Mills Rd.,Hodgdon,ME,04730,,,,
Holden Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:holden,Holden Town ME,,(207) 843-5151,,570 Main Rd,Holden,ME,04429,,,,
Hollis Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Rd,Hollis,ME,04042,,,,
Hollis Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:hollis,Hollis Town ME,,(207) 929-8552,,34 Town Farm Road,Hollis,ME,04042,,,,
Hope Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,04847,,,,
Hope Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:hope,Hope Town ME,,(207) 763-4199,,441 Camden Road,Hope,ME,04847,,,,
Houlton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:houlton,Houlton Town ME,,(207) 532-7111,,21 Water Street,Houlton,ME,04730,,,,
Howland Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,04448,PO Box 386,Howland,ME,04448
Howland Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:howland,Howland Town ME,,(207) 732-4112,,8 Main Street,Howland,ME,04448,PO Box 386,Howland,ME,04448
Hudson Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:hudson,Hudson Town ME,,(207) 327-1284,,2334 Hudson Rd,Hudson,ME,04449,,,,
Indian Township,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:indian,Indian Township ME,,(207) 796-6101,,11 Kennebasis,Indian Township,ME,04668,PO Box 301,Indian Township,ME,04668
Industry Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:industry,Industry Town ME,,(207) 778-5050,,1033 Industry Road,Industry,ME,04938,,,,
Island Falls Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:island_falls,Island Falls Town ME,,(207) 463-2246,,,,ME,,PO Box 100,Island Falls,ME,04747
Isle Au Haut Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:isle_au_haut,Isle Au Haut Town ME,,(207) 335-5001,,,,ME,,PO Box 81,Isle Au Haut,ME,04645
Islesboro Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:islesboro,Islesboro Town ME,,(207) 734-2253,,150 Main Road,Islesboro,ME,04848,,,,
Jackman Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:jackman,Jackman Town ME,,(207) 668-2111,,369 Main Street,Jackman,ME,04945,PO Box 269,Jackman,ME,04945
Jackson Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:jackson,Jackson Town ME,,(207) 722-3439,,Moosehead Trail,Brooks,ME,04921,PO Box 393,Brooks,ME,04921
Jay Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:jay,Jay Town ME,,(207) 897-6785,,340 Main St.,Jay,ME,04239,,,,
Jefferson Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:jefferson,Jefferson Town ME,,(207) 549-7401,,,,ME,,PO Box 77,Jefferson,ME,04348
Jefferson Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:jefferson,Jefferson Town ME,,(207) 549-7401,,,,ME,,PO Box 77,Jefferson,ME,04750
Jonesboro Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:jonesboro,Jonesboro Town ME,,(207) 434-5141,,,,ME,,PO Box 86,Jonesboro,ME,04648
Jonesboro Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:jonesboro,Jonesboro Town ME,,(207) 434-2729,,14 Jonesboro Hts Apt 5,Jonesboro,ME,04648,,,,
Jonesport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:jonesport,Jonesport Town ME,,(207) 497-5926,,"70 Snare Creek Lane, Lower Level",Jonesport,ME,04649,,,,
Kenduskeag Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,04450,PO Box 308,Kenduskeag,ME,04450
Kenduskeag Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:kenduskeag,Kenduskeag Town ME,,(207) 884-7947,,4010 Broadway,Kenduskeag,ME,04450,PO Box 308,Kenduskeag,ME,04450
Kennebunk Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:kennebunk,Kennebunk Town ME,,(207) 607-1326,,1 Summer Street,Kennebunk,ME,04043,,,,
Kennebunkport Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:kennebunkport,Kennebunkport Town ME,,(207) 967-4243,,,,ME,,PO Box 566,Kennebunkport,ME,04046
Kingfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:kingfield,Kingfield Town ME,,(207) 265-4637,,38 School Street,Kingfield,ME,04947,,,,
Kingman Township,Municiple Clerk,:election,ocd-division/country:us/state:me/place:kingman,Kingman Township ME,,(207) 403-0551,,778 Tucker Ridge Road,Webster Plt.,ME,04487,,,,
Kingman Township,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:kingman,Kingman Township ME,,(207) 765-2107,,511 Tucker Ridge Road,Webster Plt.,ME,04487,,,,
Kingsbury Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:kingsbury,Kingsbury Plantation ME,,(207) 631-8585,,1069 Douty Hill Road Apt 4,Sangerville,ME,04479,,,,
Kittery Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:kittery,Kittery Town ME,,(207) 475-1328,,200 Rogers Road,Kittery,ME,03904,,,,
Knox Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:knox,Knox Town ME,,(207) 568-3907,,10 Abbott Road,Knox,ME,04986,,,,
Knox Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:knox,Knox Town ME,,(207) 568-3907,,10 Abbott Road,Knox,ME,04986,,,,
Lagrange Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lagrange,Lagrange Town ME,,(207) 943-2085,,,,ME,,PO Box 40,Lagrange,ME,04453
Lake View Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lake_view,Lake View Plantation ME,,(207) 943-5538,,2061 Lakview Road,Lake View Plantation,ME,04463,,,,
Lakeville Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lakeville,Lakeville Town ME,,(207) 738-2329,,1337 Bottle Lake Road,Lakeville,ME,04487,,,,
Lamoine Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lamoine,Lamoine Town ME,,(207) 667-2242,,606 Douglas Highway,Lamoine,ME,04605,,,,
Lebanon Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,04027,,,,
Lebanon Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,04027,,,,
Lee Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lee,Lee Town ME,,(207) 738-2134,,29 Winn Road,Lee,ME,04455,,,,
Leeds Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:leeds,Leeds Town ME,,(207) 524-5171,,8 Community Drive,Leeds,ME,04263,PO Box 206,Leeds,ME,04263
Levant Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:levant,Levant Town ME,,(207) 884-7660,,,,ME,,PO Box 220,Levant,ME,04456
Levant Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:levant,Levant Town ME,,(207) 884-7660,,,,ME,,PO Box 220,Levant,ME,04456
Lewiston City,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lewiston,Lewiston City ME,,(207) 513-3124,,27 Pine Street,Lewiston,ME,04240,,,,
Liberty Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:liberty,Liberty Town ME,,(207) 589-4318,,7 Water Street,Liberty,ME,04949,PO Box 116,Liberty,ME,04949
Limerick Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:limerick,Limerick Town ME,,(207) 793-2166,,55 Washington St,Limerick,ME,04048,,,,
Limestone Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:limestone,Limestone Town ME,,(207) 325-4704,,93 Main Street,Limestone,ME,04750,,,,
Limington Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:limington,Limington Town ME,,(207) 637-2171,,,,ME,,PO Box 240,Limington,ME,04049
Limington Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:limington,Limington Town ME,,(207) 637-2171,,,,ME,,PO Box 240,Limington,ME,04049
Lincoln Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lincoln,Lincoln Town ME,,(207) 486-9333,,226 Wilsons Mills Road,Errol,ME,03579,,,,
Lincoln Plantation,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lincoln_plantation,Lincoln Plantation ME,,(207) 794-3372,,63 Main Street,Lincoln,ME,04457,,,,
Lincolnville Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:lincolnville,Lincolnville Town ME,,(207) 763-3555,,493 Hope Rd,Lincolnville,ME,04849,,,,
Lincolnville Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:lincolnville,Lincolnville Town ME,,(207) 763-3555,,493 Hope Rd,Lincolnville,ME,04849,,,,
Linneus Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:linneus,Linneus Town ME,,(207) 532-6182,,1185 Hodgdon Mills Rd,Linneus,ME,04730,,,,
Lisbon Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:lisbon,Lisbon Town ME,,(207) 353-3000,,300 Lisbon St,Lisbon,ME,04250,,,,
Litchfield Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:litchfield,Litchfield Town ME,,(207) 268-4721,,2400 Hallowell Road,Litchfield,ME,04350,,,,
Littleton Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:littleton,Littleton Town ME,,(207) 538-9862,,1536 US Hwy 1,Littleton,ME,04730,,,,
Livermore Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,04254,,,,
Livermore Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:livermore,Livermore Town ME,,(207) 897-3321,,2 Main St,Livermore Falls,ME,04254,,,,
Livermore Falls Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,04253,,,,
Livermore Falls Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:livermore_falls,Livermore Falls Town ME,,(207) 897-3207,,10 Crash Road,Livermore,ME,04253,,,,
Long Island Town,Municiple Clerk,":election,:registration",ocd-division/country:us/state:me/place:long_island,Long Island Town ME,,(207) 766-5820,,105 Wharf Street,Long Island,ME,04050,PO Box 263,Long Island,ME,04050
Lovell Town,Municiple Clerk,:election,ocd-division/country:us/state:me/place:lovell,Lovell Town ME,,(207) 925-6272,,,,ME,,PO Box 236,Center Lovell,ME,04016
Lovell Town,Municipal Registrar,:registration,ocd-division/country:us/state:me/place:lovell,Lovell Town ME,,(207) 925-6272,,,,ME,,PO Box 236,Center Lovell,ME,04016
