officename,Name,Address,Address2,directions,city,state,zip,start time,end time,Start date,End date,Is by appointment,ocdid
Chevak City,CHEVAK CITY CLERK'S OFFICE, 136 LAKESIDE RD,,,Chevak,AK,99563,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Chevak City,CHEVAK CITY CLERK'S OFFICE, 136 LAKESIDE RD,,,Chevak,AK,99563,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Chevak City,CHEVAK CITY CLERK'S OFFICE, 136 LAKESIDE RD,,,Chevak,AK,99563,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Brevig Mission City,City of Brevig Mission Clerk's Office,3 Port Clarence View,,,Brevig Mission,AK,99785,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Brevig Mission City,City of Brevig Mission Clerk's Office,3 Port Clarence View,,,Brevig Mission,AK,99785,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Brevig Mission City,City of Brevig Mission Clerk's Office,3 Port Clarence View,,,Brevig Mission,AK,99785,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Elim City,ELIM CITY CLERK'S OFFICE, 101 HILLSIDE STREET,,,Elim City,AK,99739,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Elim City,ELIM CITY CLERK'S OFFICE, 101 HILLSIDE STREET,,,Elim City,AK,99739,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Elim City,ELIM CITY CLERK'S OFFICE, 101 HILLSIDE STREET,,,Elim City,AK,99739,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Emmonak City,EMMONAK CITY CLERK'S OFFICE, 9 KWIGUK STREET,,,Emmonak City,AK,99581,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Emmonak City,EMMONAK CITY CLERK'S OFFICE, 9 KWIGUK STREET,,,Emmonak City,AK,99581,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Emmonak City,EMMONAK CITY CLERK'S OFFICE, 9 KWIGUK STREET,,,Emmonak City,AK,99581,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Galena City,GALENA CITY CLERKS OFFICE, 149 Antoski Rd,,,Galena,AK,99741,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Galena City,GALENA CITY CLERKS OFFICE, 149 Antoski Rd,,,Galena,AK,99741,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Galena City,GALENA CITY CLERKS OFFICE, 149 Antoski Rd,,,Galena,AK,99741,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Gambell City,GAMBELL CITY CLERK'S OFFICE,189 Troutman Drive,,,Gambell,AK,99742,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Gambell City,GAMBELL CITY CLERK'S OFFICE,189 Troutman Drive,,,Gambell,AK,99742,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Gambell City,GAMBELL CITY CLERK'S OFFICE,189 Troutman Drive,,,Gambell,AK,99742,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Golovin City ,Golovin City Clerk's Office,"103 Front Street, Suite 230",,,Nome,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Golovin City ,Golovin City Clerk's Office,"103 Front Street, Suite 230",,,Nome,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Golovin City ,Golovin City Clerk's Office,"103 Front Street, Suite 230",,,Nome,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Huslia City ,Huslia City Councilξ,58 Dakli St,,,Huslia,AK,99746,08:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Huslia City ,Huslia City Councilξ,58 Dakli St,,,Huslia,AK,99746,08:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Huslia City ,Huslia City Councilξ,58 Dakli St,,,Huslia,AK,99746,08:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Diomede City,Nome State Office Building, 103 Front Street, Suite 230,,Nome,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
Diomede City,Nome State Office Building, 103 Front Street, Suite 230,,Nome,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
Diomede City,Nome State Office Building, 103 Front Street, Suite 230,,Nome,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
Buckland City,BUCKLAND CITY CLERK'S OFFICE, 49 3RD AVENUE,,,Buckland City,AK,99727,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:40
Buckland City,BUCKLAND CITY CLERK'S OFFICE, 49 3RD AVENUE,,,Buckland City,AK,99727,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:40
Buckland City,BUCKLAND CITY CLERK'S OFFICE, 49 3RD AVENUE,,,Buckland City,AK,99727,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:40
Ambler City,City of Ambler,1 Airport Road,,,Ambler,AK,99786,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:40
Ambler City,City of Ambler,1 Airport Road,,,Ambler,AK,99786,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:40
Ambler City,City of Ambler,1 Airport Road,,,Ambler,AK,99786,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:40
Ktovik City ,KAKTOVIK CITY CLERK'S OFFICE,2051 BARTER AVE,,,Kaktovik,AK,99747,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:40
Ktovik City ,KAKTOVIK CITY CLERK'S OFFICE,2051 BARTER AVE,,,Kaktovik,AK,99747,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:40
Ktovik City ,KAKTOVIK CITY CLERK'S OFFICE,2051 BARTER AVE,,,Kaktovik,AK,99747,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:40
Kiana,KIANA CITY CLERK'S OFFICE,Casonoff St,,Casonoff St & W Willow St,Kiana,AK,99749,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:40
Kiana,KIANA CITY CLERK'S OFFICE,Casonoff St,,Casonoff St & W Willow St,Kiana,AK,99749,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:40
Kiana,KIANA CITY CLERK'S OFFICE,Casonoff St,,Casonoff St & W Willow St,Kiana,AK,99749,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:40
Deering City,MOTO-KARL RESIDENCE, 64 W ABBIE RD,,,Deering,AK,99736,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:40
Deering City,MOTO-KARL RESIDENCE, 64 W ABBIE RD,,,Deering,AK,99736,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:40
Deering City,MOTO-KARL RESIDENCE, 64 W ABBIE RD,,,Deering,AK,99736,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:40
Barrow City,NORTH SLOPE BOROUGH CLERK'S OFFICE, 1274 AGVIK ST,,,Barrow,AK,99723,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:40
Barrow City,NORTH SLOPE BOROUGH CLERK'S OFFICE, 1274 AGVIK ST,,,Barrow,AK,99723,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:40
Barrow City,NORTH SLOPE BOROUGH CLERK'S OFFICE, 1274 AGVIK ST,,,Barrow,AK,99723,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:40
Anchorage Municipality,ANCHORAGE CITY HALL, 632 W 6TH AVE,,,Anchorage,AK,99501,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak
Anchorage Municipality,ANCHORAGE CITY HALL, 632 W 6TH AVE,,,Anchorage,AK,99501,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak
Anchorage Municipality,ANCHORAGE CITY HALL, 632 W 6TH AVE,,,Anchorage,AK,99501,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak
Juneau City ,REGION I ELECTIONS OFFICE,9109 Mendenhall Mall Road,Ste 3,,JUNEAU,AK,99801,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak
Juneau City ,REGION I ELECTIONS OFFICE,9109 Mendenhall Mall Road,Ste 3,,JUNEAU,AK,99801,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak
Juneau City ,REGION I ELECTIONS OFFICE,9109 Mendenhall Mall Road,Ste 3,,JUNEAU,AK,99801,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak
Anchorage Municipality,Region II Elections Office,2525 Gambell Street, Suite 100,,Anchorage,AK,99503-2838,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak
Anchorage Municipality,Region II Elections Office,2525 Gambell Street, Suite 100,,Anchorage,AK,99503-2838,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak
Anchorage Municipality,Region II Elections Office,2525 Gambell Street, Suite 100,,Anchorage,AK,99503-2838,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak
WASILLA,REGION II ELECTIONS OFFICE MAT-SU,1700 E BOGARD ROAD,,,Wasilla,AK,99654,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak
WASILLA,REGION II ELECTIONS OFFICE MAT-SU,1700 E BOGARD ROAD,,,Wasilla,AK,99654,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak
WASILLA,REGION II ELECTIONS OFFICE MAT-SU,1700 E BOGARD ROAD,,,Wasilla,AK,99654,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak
Fairbanks City,Region III Elections Office,675 7th Avenue, Suite H3,,Fairbanks,AK,99701-4542,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak
NOME,REGION IV ELECTIONS OFFICE,103 E FRONT STREET STE 230,,,NOME,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak
NOME,REGION IV ELECTIONS OFFICE,103 E FRONT STREET STE 230,,,NOME,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak
NOME,REGION IV ELECTIONS OFFICE,103 E FRONT STREET STE 230,,,NOME,AK,99762,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak
Juneau City ,STATE OFFICE BUILDING,333 WILLOUGHBY AVE ,8th Floor,,JUNEAU,AK,99801,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak
Juneau City ,STATE OFFICE BUILDING,333 WILLOUGHBY AVE ,8th Floor,,JUNEAU,AK,99801,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak
Juneau City ,STATE OFFICE BUILDING,333 WILLOUGHBY AVE ,8th Floor,,JUNEAU,AK,99801,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak
PALMER,ξMatanuska Susitna  Borough Building,350 E DAHLIA AVE,,,PALMER,AK,99645,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:7
PALMER,ξMatanuska Susitna  Borough Building,350 E DAHLIA AVE,,,PALMER,AK,99645,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:7
PALMER,ξMatanuska Susitna  Borough Building,350 E DAHLIA AVE,,,PALMER,AK,99645,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:7
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:29
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:29
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:29
KENAI,KENAI CITY CLERK'S OFFICE,210 FIDALGO AVE,,,Kenai,AK,99611,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:29
KENAI,KENAI CITY CLERK'S OFFICE,210 FIDALGO AVE,,,Kenai,AK,99611,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:29
KENAI,KENAI CITY CLERK'S OFFICE,210 FIDALGO AVE,,,Kenai,AK,99611,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:29
SOLDOTNA,KPB RISK MANAGEMENT BUILDING,162 PARK AVENUE,,,SOLDOTNA,AK,99669,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:29
SOLDOTNA,KPB RISK MANAGEMENT BUILDING,162 PARK AVENUE,,,SOLDOTNA,AK,99669,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:29
SOLDOTNA,KPB RISK MANAGEMENT BUILDING,162 PARK AVENUE,,,SOLDOTNA,AK,99669,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:29
PALMER,MAT-SU BOROUGH BUILDING,350 E DAHLIA AVE,,,,AK,,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:12
PALMER,MAT-SU BOROUGH BUILDING,350 E DAHLIA AVE,,,,AK,,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:12
PALMER,MAT-SU BOROUGH BUILDING,350 E DAHLIA AVE,,,,AK,,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:12
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32
Homer City ,HOMER CITY CLERK'S OFFICE,491 E PIONEER AVE,,,Homer,AK,99603,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32
KENAI,KENAI CITY CLERK'S OFFICE,210 FIDALGO AVE,,,Kenai,AK,99611,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32
KENAI,KENAI CITY CLERK'S OFFICE,210 FIDALGO AVE,,,Kenai,AK,99611,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32
KENAI,KENAI CITY CLERK'S OFFICE,210 FIDALGO AVE,,,Kenai,AK,99611,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32
SOLDOTNA,KPB RISK MANAGEMENT BUILDING,162 PARK AVENUE,,,,AK,,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32
SOLDOTNA,KPB RISK MANAGEMENT BUILDING,162 PARK AVENUE,,,,AK,,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32
SOLDOTNA,KPB RISK MANAGEMENT BUILDING,162 PARK AVENUE,,,,AK,,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32
VALDEZ,VALDEZ CITY CLERKS OFFICE,212 CHENEGA DRIVE,,,Valdez,AK,99686,08:30:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:9
VALDEZ,VALDEZ CITY CLERKS OFFICE,212 CHENEGA DRIVE,,,Valdez,AK,99686,08:30:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:9
VALDEZ,VALDEZ CITY CLERKS OFFICE,212 CHENEGA DRIVE,,,Valdez,AK,99686,08:30:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:9
RUBY,RUBY CITY HALL,90 Wildberry Rd,,,RUBY,AK,99768,08:30:00 - 08:00,17:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39
RUBY,RUBY CITY HALL,90 Wildberry Rd,,,RUBY,AK,99768,08:30:00 - 08:00,17:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39
RUBY,RUBY CITY HALL,90 Wildberry Rd,,,RUBY,AK,99768,08:30:00 - 08:00,17:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39
CHUGIAK City,CHUGIAK-EAGLE RIVER SENIOR CENTER, 22424 BIRCHWOOD LOOP RD,,,CHUGIAK,AK,99567,08:30:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:12
CHUGIAK City,CHUGIAK-EAGLE RIVER SENIOR CENTER, 22424 BIRCHWOOD LOOP RD,,,CHUGIAK,AK,99567,08:30:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:12
CHUGIAK City,CHUGIAK-EAGLE RIVER SENIOR CENTER, 22424 BIRCHWOOD LOOP RD,,,CHUGIAK,AK,99567,08:30:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:14
CHUGIAK City,CHUGIAK-EAGLE RIVER SENIOR CENTER, 22424 BIRCHWOOD LOOP RD,,,CHUGIAK,AK,99567,08:30:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:14
Arctic Village,Arctic Village Traditional Council,Mile 190 Dalton Hwy ,,"Approximately 2 hours from Fairbanks, past the Arctic Village Airport",Arctic Village,AK,99722,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
Arctic Village,Arctic Village Traditional Council,Mile 190 Dalton Hwy ,,"Approximately 2 hours from Fairbanks, past the Arctic Village Airport",Arctic Village,AK,99722,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
Arctic Village,Arctic Village Traditional Council,Mile 190 Dalton Hwy ,,"Approximately 2 hours from Fairbanks, past the Arctic Village Airport",Arctic Village,AK,99722,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
Fort Yukon City,CITY OF FORT YUKON CITY OFFICE, E 7th Ave,,,Fort Yukon City,AK,99740,09:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
Fort Yukon City,CITY OF FORT YUKON CITY OFFICE, E 7th Ave,,,Fort Yukon City,AK,99740,09:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
Fort Yukon City,CITY OF FORT YUKON CITY OFFICE, E 7th Ave,,,Fort Yukon City,AK,99740,09:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
Healy City ,DENALI BOROUGH CLERKS OFFICE,"Mile .5, Healy Spur Rd",,,HEALY,AK,99743,09:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/27/16,,ocd-division/country:us/state:ak/sldl:6
Healy City ,DENALI BOROUGH CLERKS OFFICE,"Mile .5, Healy Spur Rd",,,HEALY,AK,99743,09:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/3/16,,ocd-division/country:us/state:ak/sldl:6
Healy City ,DENALI BOROUGH CLERKS OFFICE,"Mile .5, Healy Spur Rd",,,HEALY,AK,99743,09:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
Gulkana City ,Gulkana Village Councilξ,Mile 127 Richardson Hwy,,,Gakona,AK,99586,09:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
Gulkana City ,Gulkana Village Councilξ,Mile 127 Richardson Hwy,,,Gakona,AK,99586,09:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
Gulkana City ,Gulkana Village Councilξ,Mile 127 Richardson Hwy,,,Gakona,AK,99586,09:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
TOK,TOK DISTRICT COURT,MILE 1313.5 ALASKA HWY,,,Tok,AK,99780,09:00:00 - 08:00,12:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6
TOK,TOK DISTRICT COURT,MILE 1313.5 ALASKA HWY,,,Tok,AK,99780,09:00:00 - 08:00,12:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6
TOK,TOK DISTRICT COURT,MILE 1313.5 ALASKA HWY,,,Tok,AK,99780,09:00:00 - 08:00,12:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6
Houston City ,HOUSTON CITY HALL,13878 W ARMSTRONG RD,,,HOUSTON,AK,99694,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:10
Houston City ,HOUSTON CITY HALL,13878 W ARMSTRONG RD,,,HOUSTON,AK,99694,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:10
Houston City ,HOUSTON CITY HALL,13878 W ARMSTRONG RD,,,HOUSTON,AK,99694,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:10
KODIAK,KODIAK BOROUGH CLERK'S OFFICE,710 MILL BAY ROAD RM 234,,,Kodiak,AK,99615,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32
KODIAK,KODIAK BOROUGH CLERK'S OFFICE,710 MILL BAY ROAD RM 234,,,Kodiak,AK,99615,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32
KODIAK,KODIAK BOROUGH CLERK'S OFFICE,710 MILL BAY ROAD RM 234,,,Kodiak,AK,99615,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,10/24/16,10/24/16,,ocd-division/country:us/state:ak/sldl:32
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,10/26/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,10/31/16,10/31/16,,ocd-division/country:us/state:ak/sldl:32
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,11/2/16,11/2/16,,ocd-division/country:us/state:ak/sldl:32
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,11/4/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32
PORT GRAHAM,PORT GRAHAM COMMUNITY HALL,5510 Graham Rd ,,,PORT GRAHAM,AK,99603,09:00:00 - 08:00,13:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32
