address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,County,voter_services,start_date,end_date,start_time,end_time
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,10/29/16,10/29/16,09:00:00-6:00,15:00:00-6:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,10/31/16,10/31/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,11/1/16,11/1/16,10:00:00-6:00,19:00:00-6:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,11/2/16,11/4/16,09:00:00-6:00,17:00:00-6:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
Arapahoe County Elections Facility,5251 S Federal Blvd,,,Littleton,CO,80123,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
St Mary Catholic Parish,6853 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,11/5/16,11/5/16,09:00:00-6:00,15:00:00-6:00
St Mary Catholic Parish,6853 S Prince St,,,Littleton,CO,80120,,Arapahoe,VSPC,11/7/16,11/7/16,09:00:00-7:00,17:00:00-7:00
County Election Office,449 San Juan St,,,Pagosa Springs,CO,80114,Lower level,Archuleta,VSPC,10/24/16,10/28/16,08:00:00-6:00,16:00:00-6:00
County Election Office,449 San Juan St,,,Pagosa Springs,CO,80114,Lower level,Archuleta,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
County Election Office,449 San Juan St,,,Pagosa Springs,CO,80114,Lower level,Archuleta,VSPC,10/31/16,11/4/16,08:00:00-6:00,16:00:00-6:00
County Election Office,449 San Juan St,,,Pagosa Springs,CO,80114,Lower level,Archuleta,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
County Election Office,449 San Juan St,,,Pagosa Springs,CO,80114,Lower level,Archuleta,VSPC,11/7/16,11/7/16,08:00:00-7:00,16:00:00-7:00
Baca County Courthouse,741 Main Street,,,Springfield,CO,81073,,Baca,VSPC,10/24/16,10/28/16,08:30:00-6:00,17:00:00-6:00
Baca County Courthouse,741 Main Street,,,Springfield,CO,81073,,Baca,VSPC,10/29/16,10/29/16,08:30:00-6:00,12:30:00-6:00
Baca County Courthouse,741 Main Street,,,Springfield,CO,81073,,Baca,VSPC,10/31/16,11/4/16,08:30:00-6:00,17:00:00-6:00
Baca County Courthouse,741 Main Street,,,Springfield,CO,81073,,Baca,VSPC,11/5/16,11/5/16,08:30:00-6:00,12:30:00-6:00
Baca County Courthouse,741 Main Street,,,Springfield,CO,81073,,Baca,VSPC,11/7/16,11/7/16,08:30:00-7:00,17:00:00-7:00
Bent County Courthouse,725 Bent Ave,,,Las Animas,CO,81054,,Bent,VSPC,10/17/16,10/21/16,08:30:00-6:00,16:30:00-6:00
Bent County Courthouse,725 Bent Ave,,,Las Animas,CO,81054,,Bent,VSPC,10/24/16,10/28/16,08:30:00-6:00,16:30:00-6:00
Bent County Courthouse,725 Bent Ave,,,Las Animas,CO,81054,,Bent,VSPC,10/29/16,10/29/16,10:00:00-6:00,14:00:00-6:00
Bent County Courthouse,725 Bent Ave,,,Las Animas,CO,81054,,Bent,VSPC,10/31/16,11/4/16,08:30:00-6:00,16:30:00-6:00
Bent County Courthouse,725 Bent Ave,,,Las Animas,CO,81054,,Bent,VSPC,11/5/16,11/5/16,10:00:00-6:00,14:00:00-6:00
Bent County Courthouse,725 Bent Ave,,,Las Animas,CO,81054,,Bent,VSPC,11/7/16,11/7/16,08:30:00-7:00,16:30:00-7:00
Boulder County Clerk & Recorder,1750 33rd Street ,,,Boulder,CO,80301,Houston Room,Boulder,VSPC,10/24/16,10/28/16,08:00:00-6:00,18:00:00-6:00
Boulder County Clerk & Recorder,1750 33rd Street ,,,Boulder,CO,80301,Houston Room,Boulder,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Boulder County Clerk & Recorder,1750 33rd Street ,,,Boulder,CO,80301,Houston Room,Boulder,VSPC,10/31/16,11/4/16,08:00:00-6:00,18:00:00-6:00
Boulder County Clerk & Recorder,1750 33rd Street,,,Boulder,CO,80301,Houston Room,Boulder,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Boulder County Clerk & Recorder,1750 33rd Street ,,,Boulder,CO,80301,Houston Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Longmont St Vrain Community Hub,515 Coffman Street ,,,Longmont,CO,80501,Conference Room,Boulder,VSPC,10/24/16,10/28/16,08:00:00-6:00,18:00:00-6:00
Longmont St Vrain Community Hub,515 Coffman Street ,,,Longmont,CO,80501,Conference Room,Boulder,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Longmont St Vrain Community Hub,515 Coffman Street ,,,Longmont,CO,80501,Conference Room,Boulder,VSPC,10/31/16,11/4/16,08:00:00-6:00,18:00:00-6:00
Longmont St Vrain Community Hub,515 Coffman Street ,,,Longmont,CO,80501,Conference Room,Boulder,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Longmont St Vrain Community Hub,515 Coffman Street ,,,Longmont,CO,80501,Conference Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Lafayette Clerk & Recorder's Office,1376 Miners Dr ,,,Lafayette,CO,80026,Conference Room,Boulder,VSPC,10/24/16,10/28/16,08:00:00-6:00,18:00:00-6:00
Lafayette Clerk & Recorder's Office,1376 Miners Dr ,,,Lafayette,CO,80026,Conference Room,Boulder,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Lafayette Clerk & Recorder's Office,1376 Miners Dr ,,,Lafayette,CO,80026,Conference Room,Boulder,VSPC,10/31/16,11/4/16,08:00:00-6:00,18:00:00-6:00
Lafayette Clerk & Recorder's Office,1376 Miners Dr ,,,Lafayette,CO,80026,Conference Room,Boulder,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Lafayette Clerk & Recorder's Office,1376 Miners Dr ,,,Lafayette,CO,80026,Conference Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
University Memorial Center University of Colorado,1669 Euclid Avenue ,,,Boulder,CO,80309,Aspen Room / Room 235,Boulder,VSPC,10/24/16,10/28/16,08:00:00-6:00,18:00:00-6:00
University Memorial Center University of Colorado,1669 Euclid Avenue ,,,Boulder,CO,80309,Aspen Room / Room 235,Boulder,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
University Memorial Center University of Colorado,1669 Euclid Avenue ,,,Boulder,CO,80309,Aspen Room / Room 235,Boulder,VSPC,10/31/16,11/4/16,08:00:00-6:00,18:00:00-6:00
University Memorial Center University of Colorado,1669 Euclid Avenue ,,,Boulder,CO,80309,Aspen Room / Room 236,Boulder,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
University Memorial Center University of Colorado,1669 Euclid Avenue ,,,Boulder,CO,80309,Aspen Room / Room 235,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Boulder Meadows,4500 19th Street ,,,Boulder,CO,80304,Community Room,Boulder,VSPC,10/24/16,10/28/16,08:00:00-6:00,18:00:00-6:00
Boulder Meadows,4500 19th Street ,,,Boulder,CO,80304,Community Room,Boulder,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Boulder Meadows,4500 19th Street ,,,Boulder,CO,80304,Community Room,Boulder,VSPC,10/31/16,11/4/16,08:00:00-6:00,18:00:00-6:00
Boulder Meadows,4500 19th Street ,,,Boulder,CO,80304,Community Room,Boulder,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Boulder Meadows,4500 19th Street ,,,Boulder,CO,80304,Community Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Longmont Fire Station #5,617 Barberry Drive,,,Longmont,CO,80503,Community Room,Boulder,VSPC,10/24/16,10/28/16,08:00:00-6:00,18:00:00-6:00
Longmont Fire Station #5,617 Barberry Drive,,,Longmont,CO,80503,Community Room,Boulder,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Longmont Fire Station #5,617 Barberry Drive,,,Longmont,CO,80503,Community Room,Boulder,VSPC,10/31/16,11/4/16,08:00:00-6:00,18:00:00-6:00
Longmont Fire Station #5,617 Barberry Drive,,,Longmont,CO,80503,Community Room,Boulder,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Longmont Fire Station #5,617 Barberry Drive,,,Longmont,CO,80503,Community Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Louisville Police Department,992 W Via Apia Way,,,Louisville,CO,80027,Training Room,Boulder,VSPC,10/24/16,10/28/16,08:00:00-6:00,18:00:00-6:00
Louisville Police Department,992 W Via Apia Way,,,Louisville,CO,80027,Training Room,Boulder,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Louisville Police Department,992 W Via Apia Way,,,Louisville,CO,80027,Training Room,Boulder,VSPC,10/31/16,11/4/16,08:00:00-6:00,18:00:00-6:00
Louisville Police Department,992 W Via Apia Way,,,Louisville,CO,80027,Training Room,Boulder,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Louisville Police Department,992 W Via Apia Way,,,Louisville,CO,80027,Training Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Lafayette Public Library,775 W Baseline Road ,,,Lafayette,CO,80026,Reading Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Life Bridge Christian Church,10345 Ute Highway,,,Longmont,CO,80504,Fellowship Hall,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Superior Town Hall,124 E Coal Creek Drive ,,,Superior,CO,80027,Council Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Nederland Community Center,750 N Highway 72 ,,,Nederland,CO,80466,Community Hall,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Golden West Assisted Living,1055 Adams Circle,,,Boulder,CO,80303,Community Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Hampton Inn & Suites,6333 Lookout Road,,,Boulder,CO,80301,Conference Center,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
St Paul United Methodist Churc,4215 Grinnell Avenue ,,,Boulder,CO,80305,Gym,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Longmont Fire Station #3,1000 Pace Street,,,Longmont,CO,80504,Community Room,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
Boulder Municipal Building,1777 Broadway,,,Boulder,CO,,,Boulder,VSPC,11/7/16,11/7/16,08:00:00-7:00,18:00:00-7:00
George Di Ciero City and County Building,1 DesCombes Drive ,,,Broomfield,CO,80020,,Broomfield,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
George Di Ciero City and County Building,1 DesCombes Drive ,,,Broomfield,CO,80020,,Broomfield,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
George Di Ciero City and County Building,1 DesCombes Drive ,,,Broomfield,CO,80020,,Broomfield,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
George Di Ciero City and County Building,1 DesCombes Drive ,,,Broomfield,CO,80020,,Broomfield,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
George Di Ciero City and County Building,1 DesCombes Drive ,,,Broomfield,CO,80020,,Broomfield,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Paul Derda Recreation Center,13201 Lowell Blvd ,,,Broomfield,CO,80020,,Broomfield,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Paul Derda Recreation Center,13201 Lowell Blvd ,,,Broomfield,CO,80020,,Broomfield,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Paul Derda Recreation Center,13201 Lowell Blvd ,,,Broomfield,CO,80020,,Broomfield,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Paul Derda Recreation Center,13201 Lowell Blvd ,,,Broomfield,CO,80020,,Broomfield,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Paul Derda Recreation Center,13201 Lowell Blvd ,,,Broomfield,CO,80020,,Broomfield,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Flatiron Marketplace,170 W Flatiron Crossing Dr,,,Broomfield,CO,80012,,Broomfield,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Flatiron Marketplace,170 W Flatiron Crossing Dr,,,Broomfield,CO,80012,,Broomfield,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Flatiron Marketplace,170 W Flatiron Crossing Dr,,,Broomfield,CO,80012,,Broomfield,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Flatiron Marketplace,170 W Flatiron Crossing Dr,,,Broomfield,CO,80012,,Broomfield,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Flatiron Marketplace,170 W Flatiron Crossing Dr,,,Broomfield,CO,80012,,Broomfield,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Salida VSPC,104 Crestone Ave,,,Salida,CO,,,Chaffee,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Salida VSPC,104 Crestone Ave,,,Salida,CO,,,Chaffee,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Salida VSPC,104 Crestone Ave,,,Salida,CO,,,Chaffee,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Salida VSPC,104 Crestone Ave,,,Salida,CO,,,Chaffee,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Salida VSPC,104 Crestone Ave,,,Salida,CO,,,Chaffee,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Buena Vista VSPC,112 Linderman Ave,,,Buena Vista,CO,,,Chaffee,VSPC,10/31/16,11/4/16,08:00:00-6:00,16:00:00-6:00
Buena Vista VSPC,112 Linderman Ave,,,Buena Vista,CO,,,Chaffee,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Buena Vista VSPC,112 Linderman Ave,,,Buena Vista,CO,,,Chaffee,VSPC,11/7/16,11/7/16,08:00:00-7:00,16:00:00-7:00
County Courthouse,51 S 1st St,,,Cheyenne Wells,CO,,,Cheyenne,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
County Courthouse,51 S 1st St,,,Cheyenne Wells,CO,,,Cheyenne,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Clear Creek County Clerks's Office,405 Argentine Street,,,Georgetown,CO,80444,,Clear Creek,VSPC,10/29/16,10/29/16,10:00:00-6:00,14:00:00-6:00
Clear Creek County Clerks's Office,405 Argentine Street,,,Georgetown,CO,80444,,Clear Creek,VSPC,11/5/16,11/5/16,10:00:00-6:00,14:00:00-6:00
Conejos County Clerk & Recorder,6683 County Road 13,,,Conejos,CO,81129,,Conejos,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Conejos County Clerk & Recorder,6683 County Road 13,,,Conejos,CO,81129,,Conejos,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Costilla County Clerk & Recorder,400 Gasper Street,,,San Luis,CO,81152,Suite 101,Costilla,VSPC,10/24/16,10/27/16,07:00:00-6:00,17:30:00-6:00
Costilla County Clerk & Recorder,400 Gasper Street,,,San Luis,CO,81152,Suite 101,Costilla,VSPC,10/28/16,10/28/16,08:00:00-6:00,16:00:00-6:00
Costilla County Clerk & Recorder,400 Gasper Street,,,San Luis,CO,81152,Suite 101,Costilla,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Costilla County Clerk & Recorder,400 Gasper Street,,,San Luis,CO,81152,Suite 101,Costilla,VSPC,10/31/16,11/3/16,07:00:00-6:00,17:30:00-6:00
Costilla County Clerk & Recorder,400 Gasper Street,,,San Luis,CO,81152,Suite 101,Costilla,VSPC,11/4/16,1/4/16,08:00:00-6:00,16:00:00-6:00
Costilla County Clerk & Recorder,400 Gasper Street,,,San Luis,CO,81152,Suite 101,Costilla,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Costilla County Clerk & Recorder,400 Gasper Street,,,San Luis,CO,81152,Suite 101,Costilla,VSPC,11/7/16,11/7/16,07:00:00-7:00,17:30:00-7:00
Crowley County Clerk's Office,631 Main Street,,,Ordway,CO,81063,Suite 102,Crowley,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Crowley County Clerk's Office,631 Main Street,,,Ordway,CO,81063,Suite 102,Crowley,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Custer County Courthouse,205 S 6th Street,,,Westcliffe,CO,81252,,Custer,VSPC,10/24/16,10/28/16,08:00:00-6:00,16:00:00-6:00
Custer County Courthouse,205 S 6th Street,,,Westcliffe,CO,81252,,Custer,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Custer County Courthouse,205 S 6th Street,,,Westcliffe,CO,81252,,Custer,VSPC,10/31/16,11/4/16,08:00:00-6:00,16:00:00-6:00
Custer County Courthouse,205 S 6th Street,,,Westcliffe,CO,81252,,Custer,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Custer County Courthouse,205 S 6th Street,,,Westcliffe,CO,81252,,Custer,VSPC,11/7/16,11/7/16,08:00:00-7:00,16:00:00-7:00
Delta County Courthouse,501 Palmer Street,,,Delta,CO,81416,,Delta,VSPC,10/24/16,10/28/16,08:30:00-6:00,04:30:00-6:00
Delta County Courthouse,501 Palmer Street,,,Delta,CO,81416,,Delta,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Delta County Courthouse,501 Palmer Street,,,Delta,CO,81416,,Delta,VSPC,10/31/16,11/4/16,08:30:00-6:00,04:30:00-6:00
Delta County Courthouse,501 Palmer Street,,,Delta,CO,81416,,Delta,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Delta County Courthouse,501 Palmer Street,,,Delta,CO,81416,,Delta,VSPC,11/7/16,11/7/16,08:30:00-7:00,04:30:00-7:00
North Fork Annex,196 W Hotchkiss Ave,,,Hotchkiss,CO,81419,,Delta,VSPC,11/4/16,11/4/16,08:30:00-6:00,12:30:00-6:00
North Fork Annex,196 W Hotchkiss Ave,,,Hotchkiss,CO,81419,,Delta,VSPC,11/4/16,11/4/16,13:30:00-6:00,16:30:00-6:00
North Fork Annex,196 W Hotchkiss Ave,,,Hotchkiss,CO,81419,,Delta,VSPC,11/7/16,11/7/16,08:30:00-7:00,12:30:00-7:00
North Fork Annex,196 W Hotchkiss Ave,,,Hotchkiss,CO,81419,,Delta,VSPC,11/7/16,11/7/16,13:30:00-7:00,16:30:00-7:00
Clerk's Office,409 N Main Street,,,Dove Creek ,CO,81324,,Dolores,VSPC,10/22/16,10/22/16,08:00:00-6:00,12:00:00-6:00
Clerk's Office,409 N Main Street,,,Dove Creek ,CO,81324,,Dolores,VSPC,10/29/16,10/29/16,08:00:00-6:00,12:00:00-6:00
Clerk's Office,409 N Main Street,,,Dove Creek ,CO,81324,,Dolores,VSPC,11/5/16,11/5/16,08:00:00-6:00,12:00:00-6:00
Douglas County Elections Office,125 Stephanie Place ,,,Castle Rock,CO,80109,,Douglas,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Douglas County Elections Office,125 Stephanie Place ,,,Castle Rock,CO,80109,,Douglas,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Douglas County Elections Office,125 Stephanie Place ,,,Castle Rock,CO,80109,,Douglas,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Douglas County Elections Office,125 Stephanie Place ,,,Castle Rock,CO,80109,,Douglas,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Douglas County Elections Office,125 Stephanie Place ,,,Castle Rock,CO,80109,,Douglas,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Highlands Ranch Sheriff's Substation,9250 Zotos Drive ,,,Highlands Ranch,CO,80129,,Douglas,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Highlands Ranch Sheriff's Substation,9250 Zotos Drive ,,,Highlands Ranch,CO,80129,,Douglas,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Highlands Ranch Sheriff's Substation,9250 Zotos Drive ,,,Highlands Ranch,CO,80129,,Douglas,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Highlands Ranch Sheriff's Substation,9250 Zotos Drive ,,,Highlands Ranch,CO,80129,,Douglas,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Highlands Ranch Sheriff's Substation,9250 Zotos Drive ,,,Highlands Ranch,CO,80129,,Douglas,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Larkspur Fire Protection District,9414 S Spruce Mountain Rd ,,,Larkspur,CO,80118,,Douglas,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Larkspur Fire Protection District,9414 S Spruce Mountain Rd ,,,Larkspur,CO,80118,,Douglas,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Larkspur Fire Protection District,9414 S Spruce Mountain Rd ,,,Larkspur,CO,80118,,Douglas,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Larkspur Fire Protection District,9414 S Spruce Mountain Rd ,,,Larkspur,CO,80118,,Douglas,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Larkspur Fire Protection District,9414 S Spruce Mountain Rd ,,,Larkspur,CO,80118,,Douglas,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Park Meadows Center (lower level),9350 Heritage Hills Circle ,,,Lone Tree,CO,80124,,Douglas,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Park Meadows Center (lower level),9350 Heritage Hills Circle ,,,Lone Tree,CO,80124,,Douglas,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Park Meadows Center (lower level),9350 Heritage Hills Circle ,,,Lone Tree,CO,80124,,Douglas,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Park Meadows Center (lower level),9350 Heritage Hills Circle ,,,Lone Tree,CO,80124,,Douglas,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Park Meadows Center (lower level),9350 Heritage Hills Circle ,,,Lone Tree,CO,80124,,Douglas,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Parker Recreation Center,17301 E Lincoln Avenue ,,,Parker,CO,80134,,Douglas,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Parker Recreation Center,17301 E Lincoln Avenue ,,,Parker,CO,80134,,Douglas,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Parker Recreation Center,17301 E Lincoln Avenue ,,,Parker,CO,80134,,Douglas,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Parker Recreation Center,17301 E Lincoln Avenue ,,,Parker,CO,80134,,Douglas,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Parker Recreation Center,17301 E Lincoln Avenue ,,,Parker,CO,80134,,Douglas,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Parker Town Hall,20120 E Mainstreet,,,Parker,CO,80138,,Douglas,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Parker Town Hall,20120 E Mainstreet,,,Parker,CO,80138,,Douglas,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Parker Town Hall,20120 E Mainstreet,,,Parker,CO,80138,,Douglas,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Parker Town Hall,20120 E Mainstreet,,,Parker,CO,80138,,Douglas,VSPC,11/5/16,11/5/16,09:00:00-6:00,13:00:00-6:00
Parker Town Hall,20120 E Mainstreet,,,Parker,CO,80138,,Douglas,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Eagle County Building,500 Broadway,,,Eagle,CO,81631,,Eagle,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Eagle County Building,500 Broadway,,,Eagle,CO,81631,,Eagle,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Eagle County Building,500 Broadway,,,Eagle,CO,81631,,Eagle,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Eagle County Building,500 Broadway,,,Eagle,CO,81631,,Eagle,VSPC,11/5/16,11/5/16,09:00:00-6:00,16:00:00-6:00
Eagle County Building,500 Broadway,,,Eagle,CO,81631,,Eagle,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Avon Center,100 W Beaver Creek Blvd ,,,Avon,CO,81620,,Eagle,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Avon Center,100 W Beaver Creek Blvd ,,,Avon,CO,81620,,Eagle,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Avon Center,100 W Beaver Creek Blvd ,,,Avon,CO,81620,,Eagle,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Avon Center,100 W Beaver Creek Blvd ,,,Avon,CO,81620,,Eagle,VSPC,11/5/16,11/5/16,09:00:00-6:00,16:00:00-6:00
Avon Center,100 W Beaver Creek Blvd ,,,Avon,CO,81620,,Eagle,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Eagle County Building,20 Eagle County Rd,,,El Jebel,CO,81623,,Eagle,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Eagle County Building,20 Eagle County Rd,,,El Jebel,CO,81623,,Eagle,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Eagle County Building,20 Eagle County Rd,,,El Jebel,CO,81623,,Eagle,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Eagle County Building,20 Eagle County Rd,,,El Jebel,CO,81623,,Eagle,VSPC,11/5/16,11/5/16,09:00:00-6:00,16:00:00-6:00
Eagle County Building,20 Eagle County Rd,,,El Jebel,CO,81623,,Eagle,VSPC,11/7/16,11/7/16,08:00:00-7:00,17:00:00-7:00
Grand View Room,Lionshead Parking Structure,,,Vail,CO,81657,,Eagle,VSPC,10/24/16,10/28/16,08:00:00-6:00,17:00:00-6:00
Grand View Room,Lionshead Parking Structure,,,Vail,CO,81657,,Eagle,VSPC,10/29/16,10/29/16,09:00:00-6:00,13:00:00-6:00
Grand View Room,Lionshead Parking Structure,,,Vail,CO,81657,,Eagle,VSPC,10/31/16,11/4/16,08:00:00-6:00,17:00:00-6:00
Grand View Room,Lionshead Parking Structure,,,Vail,CO,81657,,Eagle,VSPC,11/5/16,11/5/16,09:00:00-6:00,16:00:00-6:00
